Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	acm:3659542
Metric_Types	
Report_Filters	Data_Type=Database
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3030: No Usage Available for Requested Dates (Requested data between 2023-01-01 and 2023-10-31)
Reporting_Period	End_Date=2023-10-31; Begin_Date=2023-01-01
Created	2023-11-21T10:13:31Z
Created_By	Atypon Systems LLC.

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2023	Feb-2023	Mar-2023	Apr-2023	May-2023	Jun-2023	Jul-2023	Aug-2023	Sep-2023	Oct-2023
