Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	aaas:20351555
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-01-31; Begin_Date=2024-01-01
Created	2024-02-23T05:29:10Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024
A fly enters a virtual reality chamber, and insect science may never be the same	American Association for the Advancement of Science		aaas		2024-01-29		10.1126/science.zuri5sh						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Unique_Item_Investigations	1	1
A fly enters a virtual reality chamber, and insect science may never be the same	American Association for the Advancement of Science		aaas		2024-01-29		10.1126/science.zuri5sh						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Unique_Item_Requests	1	1
A fly enters a virtual reality chamber, and insect science may never be the same	American Association for the Advancement of Science		aaas		2024-01-29		10.1126/science.zuri5sh						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Total_Item_Investigations	1	1
A fly enters a virtual reality chamber, and insect science may never be the same	American Association for the Advancement of Science		aaas		2024-01-29		10.1126/science.zuri5sh						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Total_Item_Requests	1	1
A History Lesson for Stem Cells	American Association for the Advancement of Science		aaas	James M. Wilson; 	2021-04-27	VoR	10.1126/science.1174935						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2009	Controlled	Regular	Unique_Item_Investigations	1	1
A History Lesson for Stem Cells	American Association for the Advancement of Science		aaas	James M. Wilson; 	2021-04-27	VoR	10.1126/science.1174935						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2009	Controlled	Regular	Unique_Item_Requests	1	1
A History Lesson for Stem Cells	American Association for the Advancement of Science		aaas	James M. Wilson; 	2021-04-27	VoR	10.1126/science.1174935						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2009	Controlled	Regular	Total_Item_Investigations	1	1
A History Lesson for Stem Cells	American Association for the Advancement of Science		aaas	James M. Wilson; 	2021-04-27	VoR	10.1126/science.1174935						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2009	Controlled	Regular	Total_Item_Requests	1	1
Alzheimer’s disease may have been transmitted in now-banned hormone treatments	American Association for the Advancement of Science		aaas		2024-01-29		10.1126/science.zo8gnzv						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Unique_Item_Investigations	1	1
Alzheimer’s disease may have been transmitted in now-banned hormone treatments	American Association for the Advancement of Science		aaas		2024-01-29		10.1126/science.zo8gnzv						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Unique_Item_Requests	1	1
Alzheimer’s disease may have been transmitted in now-banned hormone treatments	American Association for the Advancement of Science		aaas		2024-01-29		10.1126/science.zo8gnzv						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Total_Item_Investigations	1	1
Alzheimer’s disease may have been transmitted in now-banned hormone treatments	American Association for the Advancement of Science		aaas		2024-01-29		10.1126/science.zo8gnzv						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Total_Item_Requests	1	1
An embryonic CaV?1 isoform promotes muscle mass maintenance via GDF5 signaling in adult mouse	American Association for the Advancement of Science		aaas	Arnaud Ferry, Bruno Cadot, Chiara Benedetto, Christel Gentil, France Piétri-Rouxel, Jean-Yves Hogrel, Laura Julien, Massiré Traoré, Mégane Lemaitre, Pierre De la Grange, Sestina Falcone, Sofia Benkhelifa-Ziyyat; 	2021-04-25	VoR	10.1126/scitranslmed.aaw1131						Science Translational Medicine				Journal	10.1126/stm	aaas:stm		1946-6234	1946-6242												Article	2019	Controlled	Regular	No_License	1	1
Another Phocine Distemper Outbreak in Europe	American Association for the Advancement of Science		aaas	Albert Osterhaus, Anne Sofie Hammer, Hans Henrik Dietz, Marco van de Bildt, Thijs Kuiken, Ths. Holmen Andersen, Trine Jensen; 	2021-04-24	VoR	10.1126/science.1075343						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2002	Controlled	Regular	Unique_Item_Investigations	1	1
Another Phocine Distemper Outbreak in Europe	American Association for the Advancement of Science		aaas	Albert Osterhaus, Anne Sofie Hammer, Hans Henrik Dietz, Marco van de Bildt, Thijs Kuiken, Ths. Holmen Andersen, Trine Jensen; 	2021-04-24	VoR	10.1126/science.1075343						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2002	Controlled	Regular	Unique_Item_Requests	1	1
Another Phocine Distemper Outbreak in Europe	American Association for the Advancement of Science		aaas	Albert Osterhaus, Anne Sofie Hammer, Hans Henrik Dietz, Marco van de Bildt, Thijs Kuiken, Ths. Holmen Andersen, Trine Jensen; 	2021-04-24	VoR	10.1126/science.1075343						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2002	Controlled	Regular	Total_Item_Investigations	1	1
Another Phocine Distemper Outbreak in Europe	American Association for the Advancement of Science		aaas	Albert Osterhaus, Anne Sofie Hammer, Hans Henrik Dietz, Marco van de Bildt, Thijs Kuiken, Ths. Holmen Andersen, Trine Jensen; 	2021-04-24	VoR	10.1126/science.1075343						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2002	Controlled	Regular	Total_Item_Requests	1	1
Antimalarial pantothenamide metabolites target acetyl–coenzyme A biosynthesis in Plasmodium falciparum	American Association for the Advancement of Science		aaas	Brice Campo, Christian Scheurer, Christien A. Beuckens-Schortinghuis, Christoph Fischli, Erik L. Allman, Floris P. J. T. Rutjes, Gabrielle Josling, Graham Trevitt, Helmi Pett, Iñigo Angulo-Barturen, Joost Schalkwijk, Judith M. Bolscher, Julie M. J. Verhoef, Karen Miller, Karin M. J. Koolen, Koen J. Dechering, Laura E. de Vries, Manuel Llinás, Mariá Belén Jiménez-Diaz, Martijn W. Vos, Patrick A. M. Jansen, Pedro H. H. Hermkens, Peter N. M. Botman, Richard H. Blaauw, Robert W. Sauerwein, Roger Bonnert, Sergio Wittlin, Sibylle Sax, Stacy A. Reeves, Suzanne Jackowski, Taco W. A. Kooij; 	2021-04-27	VoR	10.1126/scitranslmed.aas9917						Science Translational Medicine				Journal	10.1126/stm	aaas:stm		1946-6234	1946-6242												Article	2019	Controlled	Regular	Unique_Item_Investigations	1	1
Antimalarial pantothenamide metabolites target acetyl–coenzyme A biosynthesis in Plasmodium falciparum	American Association for the Advancement of Science		aaas	Brice Campo, Christian Scheurer, Christien A. Beuckens-Schortinghuis, Christoph Fischli, Erik L. Allman, Floris P. J. T. Rutjes, Gabrielle Josling, Graham Trevitt, Helmi Pett, Iñigo Angulo-Barturen, Joost Schalkwijk, Judith M. Bolscher, Julie M. J. Verhoef, Karen Miller, Karin M. J. Koolen, Koen J. Dechering, Laura E. de Vries, Manuel Llinás, Mariá Belén Jiménez-Diaz, Martijn W. Vos, Patrick A. M. Jansen, Pedro H. H. Hermkens, Peter N. M. Botman, Richard H. Blaauw, Robert W. Sauerwein, Roger Bonnert, Sergio Wittlin, Sibylle Sax, Stacy A. Reeves, Suzanne Jackowski, Taco W. A. Kooij; 	2021-04-27	VoR	10.1126/scitranslmed.aas9917						Science Translational Medicine				Journal	10.1126/stm	aaas:stm		1946-6234	1946-6242												Article	2019	Controlled	Regular	Unique_Item_Requests	1	1
Antimalarial pantothenamide metabolites target acetyl–coenzyme A biosynthesis in Plasmodium falciparum	American Association for the Advancement of Science		aaas	Brice Campo, Christian Scheurer, Christien A. Beuckens-Schortinghuis, Christoph Fischli, Erik L. Allman, Floris P. J. T. Rutjes, Gabrielle Josling, Graham Trevitt, Helmi Pett, Iñigo Angulo-Barturen, Joost Schalkwijk, Judith M. Bolscher, Julie M. J. Verhoef, Karen Miller, Karin M. J. Koolen, Koen J. Dechering, Laura E. de Vries, Manuel Llinás, Mariá Belén Jiménez-Diaz, Martijn W. Vos, Patrick A. M. Jansen, Pedro H. H. Hermkens, Peter N. M. Botman, Richard H. Blaauw, Robert W. Sauerwein, Roger Bonnert, Sergio Wittlin, Sibylle Sax, Stacy A. Reeves, Suzanne Jackowski, Taco W. A. Kooij; 	2021-04-27	VoR	10.1126/scitranslmed.aas9917						Science Translational Medicine				Journal	10.1126/stm	aaas:stm		1946-6234	1946-6242												Article	2019	Controlled	Regular	Total_Item_Investigations	2	2
Antimalarial pantothenamide metabolites target acetyl–coenzyme A biosynthesis in Plasmodium falciparum	American Association for the Advancement of Science		aaas	Brice Campo, Christian Scheurer, Christien A. Beuckens-Schortinghuis, Christoph Fischli, Erik L. Allman, Floris P. J. T. Rutjes, Gabrielle Josling, Graham Trevitt, Helmi Pett, Iñigo Angulo-Barturen, Joost Schalkwijk, Judith M. Bolscher, Julie M. J. Verhoef, Karen Miller, Karin M. J. Koolen, Koen J. Dechering, Laura E. de Vries, Manuel Llinás, Mariá Belén Jiménez-Diaz, Martijn W. Vos, Patrick A. M. Jansen, Pedro H. H. Hermkens, Peter N. M. Botman, Richard H. Blaauw, Robert W. Sauerwein, Roger Bonnert, Sergio Wittlin, Sibylle Sax, Stacy A. Reeves, Suzanne Jackowski, Taco W. A. Kooij; 	2021-04-27	VoR	10.1126/scitranslmed.aas9917						Science Translational Medicine				Journal	10.1126/stm	aaas:stm		1946-6234	1946-6242												Article	2019	Controlled	Regular	Total_Item_Requests	2	2
Aquatic animal telemetry: A panoramic window into the underwater world	American Association for the Advancement of Science		aaas	Aaron T. Fisk, Fred G. Whoriskey, Joanna E. Mills Flemming, John F. Kocik, Kim Aarestrup, Kim N. Holland, Nigel E. Hussey, Paul D. Cowley, Robert G. Harcourt, Sara J. Iverson, Steven J. Cooke, Steven T. Kessel; 	2021-04-25	VoR	10.1126/science.1255642						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2015	Controlled	Regular	Unique_Item_Investigations	1	1
