Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	aaas:20351555
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Article; Parent_Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T07:43:59Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A History Lesson for Stem Cells	American Association for the Advancement of Science		aaas	James M. Wilson; 	2021-04-27	VoR	10.1126/science.1174935					Science			10.1126/science	aaas:science	0036-8075	1095-9203		Controlled	Unique_Item_Requests	1	1	0
A History Lesson for Stem Cells	American Association for the Advancement of Science		aaas	James M. Wilson; 	2021-04-27	VoR	10.1126/science.1174935					Science			10.1126/science	aaas:science	0036-8075	1095-9203		Controlled	Total_Item_Requests	1	1	0
Adaptive immune determinants of viral clearance and protection in mouse models of SARS-CoV-2	American Association for the Advancement of Science		aaas	Akiko Iwasaki, Benjamin Israelow, Bridget Menasche, Eric Song, Jonathan Klein, Saad B. Omer, Tianyang Mao; 	2021-09-02	VoR	10.1126/sciimmunol.abl4509					Science Immunology			10.1126/sciimmunol	aaas:sciimmunol		2470-9468		OA_Gold	Unique_Item_Requests	1	0	1
Adaptive immune determinants of viral clearance and protection in mouse models of SARS-CoV-2	American Association for the Advancement of Science		aaas	Akiko Iwasaki, Benjamin Israelow, Bridget Menasche, Eric Song, Jonathan Klein, Saad B. Omer, Tianyang Mao; 	2021-09-02	VoR	10.1126/sciimmunol.abl4509					Science Immunology			10.1126/sciimmunol	aaas:sciimmunol		2470-9468		OA_Gold	Total_Item_Requests	1	0	1
An antibiotic preorganized for ribosomal binding overcomes antimicrobial resistance	American Association for the Advancement of Science		aaas	Egor A. Syroegin, Dominic N. Y. See, Ben I. C. Tresco, Priscilla Liow, Elena V. Aleksandrova, Giambattista Testolin, Maxim S. Svetlov, Richard Y. Liu, Yury S. Polikanov, Meiyi Yu, Andrew G. Myers, Kelvin J. Y. Wu, Matthew J. Mitcheltree, Antonio Ramkissoon, Georgia A. Dittemore; 	2024-02-15	VoR	10.1126/science.adk8013					Science			10.1126/science	aaas:science	0036-8075	1095-9203		Controlled	Unique_Item_Requests	1	0	1
An antibiotic preorganized for ribosomal binding overcomes antimicrobial resistance	American Association for the Advancement of Science		aaas	Egor A. Syroegin, Dominic N. Y. See, Ben I. C. Tresco, Priscilla Liow, Elena V. Aleksandrova, Giambattista Testolin, Maxim S. Svetlov, Richard Y. Liu, Yury S. Polikanov, Meiyi Yu, Andrew G. Myers, Kelvin J. Y. Wu, Matthew J. Mitcheltree, Antonio Ramkissoon, Georgia A. Dittemore; 	2024-02-15	VoR	10.1126/science.adk8013					Science			10.1126/science	aaas:science	0036-8075	1095-9203		Controlled	Total_Item_Requests	2	0	2
An Expressed Fgf4 Retrogene Is Associated with Breed-Defining Chondrodysplasia in Domestic Dogs	American Association for the Advancement of Science		aaas	Abdel Elkahloun, Bridgett M. VonHoldt, Carlos D. Bustamante, Cheryl L. Maslen, Dana S. Mosher, Elaine A. Ostrander, Elliott H. Margulies, Gregory M. Acland, Heidi G. Parker, Keiichi Kuroki, Michele Cargill, Nathan B. Sutter, Pascale Quignon, Paul G. Jones, Robert K. Wayne, Stephanie Shao, Tyrone C. Spady; 	2021-04-24	VoR	10.1126/science.1173275					Science			10.1126/science	aaas:science	0036-8075	1095-9203		Controlled	Unique_Item_Requests	1	0	1
An Expressed Fgf4 Retrogene Is Associated with Breed-Defining Chondrodysplasia in Domestic Dogs	American Association for the Advancement of Science		aaas	Abdel Elkahloun, Bridgett M. VonHoldt, Carlos D. Bustamante, Cheryl L. Maslen, Dana S. Mosher, Elaine A. Ostrander, Elliott H. Margulies, Gregory M. Acland, Heidi G. Parker, Keiichi Kuroki, Michele Cargill, Nathan B. Sutter, Pascale Quignon, Paul G. Jones, Robert K. Wayne, Stephanie Shao, Tyrone C. Spady; 	2021-04-24	VoR	10.1126/science.1173275					Science			10.1126/science	aaas:science	0036-8075	1095-9203		Controlled	Total_Item_Requests	1	0	1
Another Phocine Distemper Outbreak in Europe	American Association for the Advancement of Science		aaas	Albert Osterhaus, Anne Sofie Hammer, Hans Henrik Dietz, Marco van de Bildt, Thijs Kuiken, Ths. Holmen Andersen, Trine Jensen; 	2021-04-24	VoR	10.1126/science.1075343					Science			10.1126/science	aaas:science	0036-8075	1095-9203		Controlled	Unique_Item_Requests	1	1	0
Another Phocine Distemper Outbreak in Europe	American Association for the Advancement of Science		aaas	Albert Osterhaus, Anne Sofie Hammer, Hans Henrik Dietz, Marco van de Bildt, Thijs Kuiken, Ths. Holmen Andersen, Trine Jensen; 	2021-04-24	VoR	10.1126/science.1075343					Science			10.1126/science	aaas:science	0036-8075	1095-9203		Controlled	Total_Item_Requests	1	1	0
