Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	aaas:20351555
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-05T07:44:09Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Science	American Association for the Advancement of Science		aaas	10.1126/science	aaas:science	0036-8075	1095-9203		Controlled	Unique_Item_Investigations	94	52	42
Science	American Association for the Advancement of Science		aaas	10.1126/science	aaas:science	0036-8075	1095-9203		Controlled	Unique_Item_Requests	84	45	39
Science	American Association for the Advancement of Science		aaas	10.1126/science	aaas:science	0036-8075	1095-9203		Controlled	Total_Item_Requests	117	63	54
Science	American Association for the Advancement of Science		aaas	10.1126/science	aaas:science	0036-8075	1095-9203		Controlled	Total_Item_Investigations	130	71	59
Science Advances	American Association for the Advancement of Science		aaas	10.1126/sciadv	aaas:sciadv		2375-2548		OA_Gold	Unique_Item_Investigations	22	11	11
Science Advances	American Association for the Advancement of Science		aaas	10.1126/sciadv	aaas:sciadv		2375-2548		OA_Gold	Unique_Item_Requests	22	11	11
Science Advances	American Association for the Advancement of Science		aaas	10.1126/sciadv	aaas:sciadv		2375-2548		OA_Gold	Total_Item_Requests	24	13	11
Science Advances	American Association for the Advancement of Science		aaas	10.1126/sciadv	aaas:sciadv		2375-2548		OA_Gold	Total_Item_Investigations	24	13	11
Science Immunology	American Association for the Advancement of Science		aaas	10.1126/sciimmunol	aaas:sciimmunol		2470-9468		OA_Gold	Unique_Item_Investigations	1	0	1
Science Immunology	American Association for the Advancement of Science		aaas	10.1126/sciimmunol	aaas:sciimmunol		2470-9468		OA_Gold	Unique_Item_Requests	1	0	1
Science Immunology	American Association for the Advancement of Science		aaas	10.1126/sciimmunol	aaas:sciimmunol		2470-9468		OA_Gold	Total_Item_Requests	1	0	1
Science Immunology	American Association for the Advancement of Science		aaas	10.1126/sciimmunol	aaas:sciimmunol		2470-9468		OA_Gold	Total_Item_Investigations	1	0	1
Science Robotics	American Association for the Advancement of Science		aaas	10.1126/scirobotics	aaas:scirobotics		2470-9476		Controlled	Unique_Item_Investigations	3	0	3
Science Robotics	American Association for the Advancement of Science		aaas	10.1126/scirobotics	aaas:scirobotics		2470-9476		Controlled	Unique_Item_Requests	3	0	3
Science Robotics	American Association for the Advancement of Science		aaas	10.1126/scirobotics	aaas:scirobotics		2470-9476		Controlled	Total_Item_Requests	3	0	3
Science Robotics	American Association for the Advancement of Science		aaas	10.1126/scirobotics	aaas:scirobotics		2470-9476		Controlled	Total_Item_Investigations	3	0	3
Science Signaling	American Association for the Advancement of Science		aaas	10.1126/signaling	aaas:signaling	1945-0877	1937-9145		Controlled	Unique_Item_Investigations	4	4	0
Science Signaling	American Association for the Advancement of Science		aaas	10.1126/signaling	aaas:signaling	1945-0877	1937-9145		Controlled	Unique_Item_Requests	1	1	0
Science Signaling	American Association for the Advancement of Science		aaas	10.1126/signaling	aaas:signaling	1945-0877	1937-9145		Controlled	Total_Item_Requests	1	1	0
Science Signaling	American Association for the Advancement of Science		aaas	10.1126/signaling	aaas:signaling	1945-0877	1937-9145		Controlled	Total_Item_Investigations	5	5	0
Science Translational Medicine	American Association for the Advancement of Science		aaas	10.1126/stm	aaas:stm	1946-6234	1946-6242		Controlled	Unique_Item_Investigations	4	4	0
Science Translational Medicine	American Association for the Advancement of Science		aaas	10.1126/stm	aaas:stm	1946-6234	1946-6242		Controlled	Unique_Item_Requests	4	4	0
Science Translational Medicine	American Association for the Advancement of Science		aaas	10.1126/stm	aaas:stm	1946-6234	1946-6242		Controlled	Total_Item_Requests	5	5	0
Science Translational Medicine	American Association for the Advancement of Science		aaas	10.1126/stm	aaas:stm	1946-6234	1946-6242		Controlled	Total_Item_Investigations	5	5	0
