Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	
Institution_ID	AMS:UPEIS*CHA
Metric_Types	Limit_Exceeded; No_License; Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular; Data_Type=Book
Report_Attributes	
Exceptions	
Reporting_Period	
Created	2024-02-23T07:31:29-05:00
Created_By	American Mathematical Society

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024
