Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	physio:00015659
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-02T01:53:01Z
Created_By	Atypon Systems LLC.

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
The American Physiological Society	Platform	Regular	Searches_Platform	1	1	0
The American Physiological Society	Journal	Regular	Unique_Item_Investigations	43	43	0
The American Physiological Society	Journal	Regular	Unique_Item_Requests	40	40	0
The American Physiological Society	Journal	Regular	Total_Item_Requests	51	51	0
The American Physiological Society	Journal	Regular	Total_Item_Investigations	61	61	0
