Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	physio:00015659
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-05T07:46:45Z
Created_By	Atypon Systems LLC.

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
The American Physiological Society	Total_Item_Requests	104	51	53
The American Physiological Society	Searches_Platform	1	1	0
The American Physiological Society	Unique_Item_Requests	81	40	41
