Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	arrs:638004
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Parent_Data_Type=Journal; Access_Method=Regular; Data_Type=Article
Report_Attributes	
Exceptions	
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-05T07:47:34Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Abdominal Lymphangiomas: Imaging Features with Pathologic Correlation	American Roentgen Ray Society		American Roentgen Ray Society	Angela D. Levy, Markku Miettinen, Vito Cantisani; 	2012-11-23	VoR	10.2214/ajr.182.6.1821485					American Journal of Roentgenology			10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Unique_Item_Requests	1	0	1
Abdominal Lymphangiomas: Imaging Features with Pathologic Correlation	American Roentgen Ray Society		American Roentgen Ray Society	Angela D. Levy, Markku Miettinen, Vito Cantisani; 	2012-11-23	VoR	10.2214/ajr.182.6.1821485					American Journal of Roentgenology			10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Total_Item_Requests	2	0	2
Diagnostic Accuracy of Ultrasound for Assessment of Hemophilic Arthropathy: MRI Correlation	American Roentgen Ray Society		American Roentgen Ray Society	Alok Srivastava, Andrea S. Doria, Arun Mohanta, Jose Jarrin, M. L. Kavitha, Pamela Hilliard, Pradeep Poonnoose, Rahim Moineddin, Shyamkumar N. Keshava, Sridhar Gibikote, Victor Blanchette; 	2015-02-25	VoR	10.2214/AJR.14.12501					American Journal of Roentgenology			10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Unique_Item_Requests	1	1	0
Diagnostic Accuracy of Ultrasound for Assessment of Hemophilic Arthropathy: MRI Correlation	American Roentgen Ray Society		American Roentgen Ray Society	Alok Srivastava, Andrea S. Doria, Arun Mohanta, Jose Jarrin, M. L. Kavitha, Pamela Hilliard, Pradeep Poonnoose, Rahim Moineddin, Shyamkumar N. Keshava, Sridhar Gibikote, Victor Blanchette; 	2015-02-25	VoR	10.2214/AJR.14.12501					American Journal of Roentgenology			10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Total_Item_Requests	1	1	0
Imaging of Acute Small-Bowel Obstruction	American Roentgen Ray Society		American Roentgen Ray Society	Brian Kai, Jenny Su, Karim Ahamed, Savvas Nicolaou, Stephen Ho; 	2012-11-23	VoR	10.2214/AJR.04.0815					American Journal of Roentgenology			10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Unique_Item_Requests	1	1	0
Imaging of Acute Small-Bowel Obstruction	American Roentgen Ray Society		American Roentgen Ray Society	Brian Kai, Jenny Su, Karim Ahamed, Savvas Nicolaou, Stephen Ho; 	2012-11-23	VoR	10.2214/AJR.04.0815					American Journal of Roentgenology			10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Total_Item_Requests	1	1	0
What the Radiologist Needs to Know About Urolithiasis: Part 1???Pathogenesis, Types, Assessment, and Variant Anatomy	American Roentgen Ray Society		American Roentgen Ray Society	Matthew D. Dunn, Paymann Moin, Phillip M. Cheng, Vinay A. Duddalwar, William D. Boswell; 	2012-11-23	VoR	10.2214/AJR.10.7285					American Journal of Roentgenology			10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Unique_Item_Requests	1	0	1
What the Radiologist Needs to Know About Urolithiasis: Part 1???Pathogenesis, Types, Assessment, and Variant Anatomy	American Roentgen Ray Society		American Roentgen Ray Society	Matthew D. Dunn, Paymann Moin, Phillip M. Cheng, Vinay A. Duddalwar, William D. Boswell; 	2012-11-23	VoR	10.2214/AJR.10.7285					American Journal of Roentgenology			10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Controlled	Total_Item_Requests	1	0	1
