Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	arrs:638004
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T07:46:48Z
Created_By	Atypon Systems LLC.

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
American Roentgen Ray Society	Journal	Regular	Unique_Item_Investigations	5	3	2
American Roentgen Ray Society	Journal	Regular	Unique_Item_Requests	4	2	2
American Roentgen Ray Society	Journal	Regular	Total_Item_Requests	5	2	3
American Roentgen Ray Society	Journal	Regular	Total_Item_Investigations	6	3	3
