Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	arrs:638004
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Journal; Access_Type=Controlled
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T07:48:02Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
American Journal of Roentgenology	American Roentgen Ray Society		American Roentgen Ray Society	10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Unique_Item_Requests	4	2	2
American Journal of Roentgenology	American Roentgen Ray Society		American Roentgen Ray Society	10.2214/ajr	arrs:ajr	0361-803X	1546-3141		Total_Item_Requests	5	2	3
