Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	arrs:638004
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular; Access_Type=Controlled
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T22:54:22Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
American Journal of Roentgenology	American Roentgen Ray Society		American Roentgen Ray Society	10.2214/ajr	arrs:ajr	0361-803X	1546-3141		2005	Unique_Item_Requests	1	1	0
American Journal of Roentgenology	American Roentgen Ray Society		American Roentgen Ray Society	10.2214/ajr	arrs:ajr	0361-803X	1546-3141		2005	Total_Item_Requests	1	1	0
American Journal of Roentgenology	American Roentgen Ray Society		American Roentgen Ray Society	10.2214/ajr	arrs:ajr	0361-803X	1546-3141		2015	Unique_Item_Requests	1	1	0
American Journal of Roentgenology	American Roentgen Ray Society		American Roentgen Ray Society	10.2214/ajr	arrs:ajr	0361-803X	1546-3141		2015	Total_Item_Requests	1	1	0
