Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	Silverchair:3217
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Journal of Applied Mechanics	ASME		American Society of Mechanical Engineers Digital Collection		Silverchair:1000001	0021-8936	1528-9036		Controlled	Total_Item_Investigations	1	1	0
Journal of Applied Mechanics	ASME		American Society of Mechanical Engineers Digital Collection		Silverchair:1000001	0021-8936	1528-9036		Controlled	Unique_Item_Investigations	1	1	0
Journal of Engineering and Science in Medical Diagnostics and Therapy	ASME		American Society of Mechanical Engineers Digital Collection		Silverchair:1000031	2572-7958	2572-7966		Controlled	Total_Item_Investigations	1	1	0
Journal of Engineering and Science in Medical Diagnostics and Therapy	ASME		American Society of Mechanical Engineers Digital Collection		Silverchair:1000031	2572-7958	2572-7966		Controlled	Unique_Item_Investigations	1	1	0
Journal of Fluids Engineering	ASME		American Society of Mechanical Engineers Digital Collection		Silverchair:1000012	0098-2202	1528-901X		Controlled	Total_Item_Investigations	1	1	0
Journal of Fluids Engineering	ASME		American Society of Mechanical Engineers Digital Collection		Silverchair:1000012	0098-2202	1528-901X		Controlled	Unique_Item_Investigations	1	1	0
Journal of Manufacturing Science and Engineering	ASME		American Society of Mechanical Engineers Digital Collection		Silverchair:1000015	1087-1357	1528-8935		Controlled	Total_Item_Investigations	1	1	0
Journal of Manufacturing Science and Engineering	ASME		American Society of Mechanical Engineers Digital Collection		Silverchair:1000015	1087-1357	1528-8935		Controlled	Unique_Item_Investigations	1	1	0
Journal of Nuclear Engineering and Radiation Science	ASME		American Society of Mechanical Engineers Digital Collection		Silverchair:1000028	2332-8983	2332-8975		Controlled	Total_Item_Investigations	3	3	0
Journal of Nuclear Engineering and Radiation Science	ASME		American Society of Mechanical Engineers Digital Collection		Silverchair:1000028	2332-8983	2332-8975		Controlled	Unique_Item_Investigations	2	2	0
Journal of Tribology	ASME		American Society of Mechanical Engineers Digital Collection		Silverchair:1000023	0742-4787	1528-8897		Controlled	Total_Item_Investigations	2	2	0
Journal of Tribology	ASME		American Society of Mechanical Engineers Digital Collection		Silverchair:1000023	0742-4787	1528-8897		Controlled	Unique_Item_Investigations	2	2	0
