Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	Silverchair:19464
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True; Include_Component_Details=True
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
2022 AAHA Canine Vaccination Guidelines	Allen Press		Allen Press	John Ellis, DVM, PhD, DACVP, DACVM;  Elizabeth Marziani, DVM;  Chumkee Aziz, DVM, DABVP (Shelter Medicine Practice);  Catherine M. Brown, DVM, MSc, MPH;  Leah A. Cohn, DVM, PhD, DACVIM;  Christopher Lea, DVM, DABVP (Canine and Feline Practice);  George E. Moore, DVM, PhD, DACVIM, DACVPM;  Neha Taneja, MBA, MSHCM, LVT; 	2022-09-01		10.5326/JAAHA-MS-Canine-Vaccination-Guidelines	Silverchair:485754					Journal of the American Animal Hospital Association				Journal		Silverchair:1000033		0587-2871	1547-3317												Article	2022	Controlled	Regular	Unique_Item_Investigations	1	1	0
2022 AAHA Canine Vaccination Guidelines	Allen Press		Allen Press	John Ellis, DVM, PhD, DACVP, DACVM;  Elizabeth Marziani, DVM;  Chumkee Aziz, DVM, DABVP (Shelter Medicine Practice);  Catherine M. Brown, DVM, MSc, MPH;  Leah A. Cohn, DVM, PhD, DACVIM;  Christopher Lea, DVM, DABVP (Canine and Feline Practice);  George E. Moore, DVM, PhD, DACVIM, DACVPM;  Neha Taneja, MBA, MSHCM, LVT; 	2022-09-01		10.5326/JAAHA-MS-Canine-Vaccination-Guidelines	Silverchair:485754					Journal of the American Animal Hospital Association				Journal		Silverchair:1000033		0587-2871	1547-3317												Article	2022	Controlled	Regular	Unique_Item_Requests	1	1	0
An Unusual Case of Metastatic Seminoma in a Dog	Allen Press		Allen Press	Danielle R. Dugat, DACVS-SA;  Emily L. Medici, DVM;  Mark C. Rochat, DVM, MS;  Jason A. Arble, DVM, MSc;  Timothy A. Snider, DVM, PhD; 	2015-11-01		10.5326/JAAHA-MS-6263	Silverchair:183315					Journal of the American Animal Hospital Association				Journal		Silverchair:1000033		0587-2871	1547-3317												Article	2015	Controlled	Regular	Unique_Item_Investigations	1	1	0
An Unusual Case of Metastatic Seminoma in a Dog	Allen Press		Allen Press	Danielle R. Dugat, DACVS-SA;  Emily L. Medici, DVM;  Mark C. Rochat, DVM, MS;  Jason A. Arble, DVM, MSc;  Timothy A. Snider, DVM, PhD; 	2015-11-01		10.5326/JAAHA-MS-6263	Silverchair:183315					Journal of the American Animal Hospital Association				Journal		Silverchair:1000033		0587-2871	1547-3317												Article	2015	Controlled	Regular	Unique_Item_Requests	1	1	0
ANTIBIOTIC RESISTANT BACTERIA IN WILDLIFE: PERSPECTIVES ON TRENDS, ACQUISITION AND DISSEMINATION, DATA GAPS, AND FUTURE DIRECTIONS	Allen Press		Allen Press	Andrew M. Ramey;  Christina A. Ahlstrom; 	2019-09-30		10.7589/2019-04-099	Silverchair:442115					Journal of Wildlife Diseases				Journal		Silverchair:1000078		0090-3558	1943-3700												Article	2019	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
ANTIBIOTIC RESISTANT BACTERIA IN WILDLIFE: PERSPECTIVES ON TRENDS, ACQUISITION AND DISSEMINATION, DATA GAPS, AND FUTURE DIRECTIONS	Allen Press		Allen Press	Andrew M. Ramey;  Christina A. Ahlstrom; 	2019-09-30		10.7589/2019-04-099	Silverchair:442115					Journal of Wildlife Diseases				Journal		Silverchair:1000078		0090-3558	1943-3700												Article	2019	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Aorticopulmonary septal defect in a German shepherd dog	Allen Press		Allen Press	C Guglielmini;  M Pietra;  M Cipone; 	2001-09-01		10.5326/15473317-37-5-433	Silverchair:175676					Journal of the American Animal Hospital Association				Journal		Silverchair:1000033		0587-2871	1547-3317												Article	2001	Controlled	Regular	Unique_Item_Investigations	1	1	0
Aorticopulmonary septal defect in a German shepherd dog	Allen Press		Allen Press	C Guglielmini;  M Pietra;  M Cipone; 	2001-09-01		10.5326/15473317-37-5-433	Silverchair:175676					Journal of the American Animal Hospital Association				Journal		Silverchair:1000033		0587-2871	1547-3317												Article	2001	Controlled	Regular	Unique_Item_Requests	1	1	0
CHARACTERIZATION OF PROTEASES IN THE SKIN MUCUS OF ATLANTIC SALMON (<italic>SALMO SALAR)</italic> INFECTED WITH THE SALMON LOUSE (<italic>LEPEOPHTHEIRUS SALMONIS</italic>) AND IN WHOLE-BODY LOUSE HOMOGENATE	Allen Press		Allen Press	Kara J. Firth;  Stewart C. Johnson;  Neil W. Ross; 	2000-12-01		10.1645/0022-3395(2000)086[1199:COPITS]2.0.CO;2	Silverchair:5953					Journal of Parasitology				Journal		Silverchair:1000004		0022-3395	1937-2345												Article	2000	Controlled	Regular	Unique_Item_Investigations	1	1	0
Comparison of Aerobic Bacterial Culture Among Four Veterinary Microbiology Laboratories from Dogs with Superficial Pyoderma	Allen Press		Allen Press	Jason B. Pieper, DVM, MS, DACVD;  Kimberly Smart, DVM;  Darren J. Berger, DVM, DACVD; 	2024-01-01		10.5326/JAAHA-MS-7404	Silverchair:498119					Journal of the American Animal Hospital Association				Journal		Silverchair:1000033		0587-2871	1547-3317												Article	2024	Controlled	Regular	Unique_Item_Investigations	1	1	0
