Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	Silverchair:19464
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Parent_Data_Type=Journal; Data_Type=Article
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
2022 AAHA Canine Vaccination Guidelines	Allen Press		Allen Press		2022-09-01		10.5326/JAAHA-MS-Canine-Vaccination-Guidelines	Silverchair:485754				Journal of the American Animal Hospital Association				Silverchair:1000033	0587-2871	1547-3317		Controlled	Total_Item_Requests	1	1	0
2022 AAHA Canine Vaccination Guidelines	Allen Press		Allen Press		2022-09-01		10.5326/JAAHA-MS-Canine-Vaccination-Guidelines	Silverchair:485754				Journal of the American Animal Hospital Association				Silverchair:1000033	0587-2871	1547-3317		Controlled	Unique_Item_Requests	1	1	0
An Unusual Case of Metastatic Seminoma in a Dog	Allen Press		Allen Press		2015-11-01		10.5326/JAAHA-MS-6263	Silverchair:183315				Journal of the American Animal Hospital Association				Silverchair:1000033	0587-2871	1547-3317		Controlled	Total_Item_Requests	1	1	0
An Unusual Case of Metastatic Seminoma in a Dog	Allen Press		Allen Press		2015-11-01		10.5326/JAAHA-MS-6263	Silverchair:183315				Journal of the American Animal Hospital Association				Silverchair:1000033	0587-2871	1547-3317		Controlled	Unique_Item_Requests	1	1	0
ANTIBIOTIC RESISTANT BACTERIA IN WILDLIFE: PERSPECTIVES ON TRENDS, ACQUISITION AND DISSEMINATION, DATA GAPS, AND FUTURE DIRECTIONS	Allen Press		Allen Press		2019-09-30		10.7589/2019-04-099	Silverchair:442115				Journal of Wildlife Diseases				Silverchair:1000078	0090-3558	1943-3700		OA_Gold	Total_Item_Requests	1	1	0
ANTIBIOTIC RESISTANT BACTERIA IN WILDLIFE: PERSPECTIVES ON TRENDS, ACQUISITION AND DISSEMINATION, DATA GAPS, AND FUTURE DIRECTIONS	Allen Press		Allen Press		2019-09-30		10.7589/2019-04-099	Silverchair:442115				Journal of Wildlife Diseases				Silverchair:1000078	0090-3558	1943-3700		OA_Gold	Unique_Item_Requests	1	1	0
Aorticopulmonary septal defect in a German shepherd dog	Allen Press		Allen Press		2001-09-01		10.5326/15473317-37-5-433	Silverchair:175676				Journal of the American Animal Hospital Association				Silverchair:1000033	0587-2871	1547-3317		Controlled	Total_Item_Requests	1	1	0
Aorticopulmonary septal defect in a German shepherd dog	Allen Press		Allen Press		2001-09-01		10.5326/15473317-37-5-433	Silverchair:175676				Journal of the American Animal Hospital Association				Silverchair:1000033	0587-2871	1547-3317		Controlled	Unique_Item_Requests	1	1	0
Comparison of Aerobic Bacterial Culture Among Four Veterinary Microbiology Laboratories from Dogs with Superficial Pyoderma	Allen Press		Allen Press		2024-01-01		10.5326/JAAHA-MS-7404	Silverchair:498119				Journal of the American Animal Hospital Association				Silverchair:1000033	0587-2871	1547-3317		Controlled	Total_Item_Requests	1	1	0
Comparison of Aerobic Bacterial Culture Among Four Veterinary Microbiology Laboratories from Dogs with Superficial Pyoderma	Allen Press		Allen Press		2024-01-01		10.5326/JAAHA-MS-7404	Silverchair:498119				Journal of the American Animal Hospital Association				Silverchair:1000033	0587-2871	1547-3317		Controlled	Unique_Item_Requests	1	1	0
Complications and mortality associated with anesthesia in dogs and cats	Allen Press		Allen Press		1999-01-01		10.5326/15473317-35-1-13	Silverchair:175301				Journal of the American Animal Hospital Association				Silverchair:1000033	0587-2871	1547-3317		Controlled	Unique_Item_Requests	1	1	0
