Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	Silverchair:19464
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-01-31
Created	2024-02-23T00:00:00Z
Created_By	Silverchair

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024
Avian Diseases	Allen Press		Allen Press		Silverchair:1000105		0005-2086	1938-4351		Journal	Article	2010	Controlled	Regular	Total_Item_Investigations	1	1
Avian Diseases	Allen Press		Allen Press		Silverchair:1000105		0005-2086	1938-4351		Journal	Article	2010	Controlled	Regular	No_License	1	1
Avian Diseases	Allen Press		Allen Press		Silverchair:1000105		0005-2086	1938-4351		Journal	Article	2010	Controlled	Regular	Unique_Item_Investigations	1	1
Journal of Coastal Research	Allen Press		Allen Press		Silverchair:1000023		0749-0208	1551-5036		Journal	Article	2010	Controlled	Regular	Unique_Item_Investigations	1	1
Journal of Coastal Research	Allen Press		Allen Press		Silverchair:1000023		0749-0208	1551-5036		Journal	Article	2010	Controlled	Regular	Total_Item_Investigations	2	2
Journal of Graduate Medical Education	Allen Press		Allen Press		Silverchair:1000012		1949-8349	1949-8357		Journal	Article	2023	OA_Gold	Regular	Total_Item_Requests	1	1
Journal of Graduate Medical Education	Allen Press		Allen Press		Silverchair:1000012		1949-8349	1949-8357		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Investigations	1	1
Journal of Graduate Medical Education	Allen Press		Allen Press		Silverchair:1000012		1949-8349	1949-8357		Journal	Article	2023	OA_Gold	Regular	Total_Item_Investigations	1	1
Journal of Graduate Medical Education	Allen Press		Allen Press		Silverchair:1000012		1949-8349	1949-8357		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Requests	1	1
Journal of Green Building	Allen Press		Allen Press		Silverchair:1000088		1552-6100	1943-4618		Journal	Article	2016	OA_Gold	Regular	Unique_Item_Investigations	1	1
Journal of Green Building	Allen Press		Allen Press		Silverchair:1000088		1552-6100	1943-4618		Journal	Article	2016	OA_Gold	Regular	Total_Item_Investigations	2	2
Journal of Herpetological Medicine and Surgery	Allen Press		Allen Press		Silverchair:1000112		1529-9651	2374-9504		Journal	Article	2012	OA_Gold	Regular	Unique_Item_Investigations	1	1
Journal of Herpetological Medicine and Surgery	Allen Press		Allen Press		Silverchair:1000112		1529-9651	2374-9504		Journal	Article	2012	OA_Gold	Regular	Unique_Item_Requests	1	1
Journal of Herpetological Medicine and Surgery	Allen Press		Allen Press		Silverchair:1000112		1529-9651	2374-9504		Journal	Article	2012	OA_Gold	Regular	Total_Item_Requests	1	1
Journal of Herpetological Medicine and Surgery	Allen Press		Allen Press		Silverchair:1000112		1529-9651	2374-9504		Journal	Article	2012	OA_Gold	Regular	Total_Item_Investigations	1	1
Journal of Parasitology	Allen Press		Allen Press		Silverchair:1000004		0022-3395	1937-2345		Journal	Article	2000	Controlled	Regular	No_License	1	1
Journal of Parasitology	Allen Press		Allen Press		Silverchair:1000004		0022-3395	1937-2345		Journal	Article	2000	Controlled	Regular	Total_Item_Investigations	1	1
Journal of Parasitology	Allen Press		Allen Press		Silverchair:1000004		0022-3395	1937-2345		Journal	Article	2000	Controlled	Regular	Unique_Item_Investigations	1	1
Journal of Parasitology	Allen Press		Allen Press		Silverchair:1000004		0022-3395	1937-2345		Journal	Article	2010	Controlled	Regular	Total_Item_Investigations	2	2
Journal of Parasitology	Allen Press		Allen Press		Silverchair:1000004		0022-3395	1937-2345		Journal	Article	2010	Controlled	Regular	Unique_Item_Investigations	1	1
Journal of Raptor Research	Allen Press		Allen Press		Silverchair:1000186		0892-1016	2162-4569		Journal	Article	2017	Controlled	Regular	Total_Item_Investigations	2	2
