Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	Silverchair:19464
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Access_Type=Controlled; Data_Type=Journal
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-01-31
Created	2024-02-23T00:00:00Z
Created_By	Silverchair

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033	0587-2871	1547-3317		1996	Total_Item_Requests	4	4
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033	0587-2871	1547-3317		1996	Unique_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033	0587-2871	1547-3317		1998	Unique_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033	0587-2871	1547-3317		1998	Total_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033	0587-2871	1547-3317		1999	Unique_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033	0587-2871	1547-3317		1999	Total_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033	0587-2871	1547-3317		2001	Total_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033	0587-2871	1547-3317		2001	Unique_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033	0587-2871	1547-3317		2002	Total_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033	0587-2871	1547-3317		2002	Unique_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033	0587-2871	1547-3317		2003	Unique_Item_Requests	2	2
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033	0587-2871	1547-3317		2003	Total_Item_Requests	4	4
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033	0587-2871	1547-3317		2005	Unique_Item_Requests	1	1
Journal of the American Animal Hospital Association	Allen Press		Allen Press		Silverchair:1000033	0587-2871	1547-3317		2005	Total_Item_Requests	2	2
