Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ar:106712
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True
Exceptions	3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T07:45:32Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Review of Opportunities to Improve the Health of People Involved in the Criminal Justice System in the United States	Annual Reviews		Annual Reviews	Daliah Heller, Nicholas Freudenberg; 	2016-03-18	VoR	10.1146/annurev-publhealth-032315-021420						Annual Review of Public Health				Journal	10.1146/publhealth.717	ar:publhealth		0163-7525	1545-2093												Article	2016	Controlled	Regular	Unique_Item_Investigations	1	0	1
A Review of Opportunities to Improve the Health of People Involved in the Criminal Justice System in the United States	Annual Reviews		Annual Reviews	Daliah Heller, Nicholas Freudenberg; 	2016-03-18	VoR	10.1146/annurev-publhealth-032315-021420						Annual Review of Public Health				Journal	10.1146/publhealth.717	ar:publhealth		0163-7525	1545-2093												Article	2016	Controlled	Regular	Unique_Item_Requests	1	0	1
A Review of Opportunities to Improve the Health of People Involved in the Criminal Justice System in the United States	Annual Reviews		Annual Reviews	Daliah Heller, Nicholas Freudenberg; 	2016-03-18	VoR	10.1146/annurev-publhealth-032315-021420						Annual Review of Public Health				Journal	10.1146/publhealth.717	ar:publhealth		0163-7525	1545-2093												Article	2016	Controlled	Regular	Total_Item_Investigations	1	0	1
A Review of Opportunities to Improve the Health of People Involved in the Criminal Justice System in the United States	Annual Reviews		Annual Reviews	Daliah Heller, Nicholas Freudenberg; 	2016-03-18	VoR	10.1146/annurev-publhealth-032315-021420						Annual Review of Public Health				Journal	10.1146/publhealth.717	ar:publhealth		0163-7525	1545-2093												Article	2016	Controlled	Regular	Total_Item_Requests	1	0	1
Adaptive Designs in Implementation Science and Practice: Their Promise and the Need for Greater Understanding and Improved Communication	Annual Reviews		Annual Reviews	Amy Kilbourne, Daniel Almirall, Matthew Chinman, Shari Rogal; 	2023-11-06	VoR	10.1146/annurev-publhealth-060222-014438						Annual Review of Public Health				Journal	10.1146/publhealth.717	ar:publhealth		0163-7525	1545-2093												Article	2023	Controlled	Regular	Unique_Item_Investigations	3	0	3
Adaptive Designs in Implementation Science and Practice: Their Promise and the Need for Greater Understanding and Improved Communication	Annual Reviews		Annual Reviews	Amy Kilbourne, Daniel Almirall, Matthew Chinman, Shari Rogal; 	2023-11-06	VoR	10.1146/annurev-publhealth-060222-014438						Annual Review of Public Health				Journal	10.1146/publhealth.717	ar:publhealth		0163-7525	1545-2093												Article	2023	Controlled	Regular	Total_Item_Investigations	3	0	3
Advancing the Science and Application of Implementation Science to Promote Health Equity: Commentary on the Symposium	Annual Reviews		Annual Reviews	Rachel C. Shelton, Ross C. Brownson; 	2023-12-22	VoR	10.1146/annurev-publhealth-062723-055935						Annual Review of Public Health				Journal	10.1146/publhealth.717	ar:publhealth		0163-7525	1545-2093												Article	2023	Controlled	Regular	Unique_Item_Investigations	2	0	2
Advancing the Science and Application of Implementation Science to Promote Health Equity: Commentary on the Symposium	Annual Reviews		Annual Reviews	Rachel C. Shelton, Ross C. Brownson; 	2023-12-22	VoR	10.1146/annurev-publhealth-062723-055935						Annual Review of Public Health				Journal	10.1146/publhealth.717	ar:publhealth		0163-7525	1545-2093												Article	2023	Controlled	Regular	Total_Item_Investigations	2	0	2
Anorexia Nervosa: Recent Investigations	Annual Reviews		Annual Reviews	K A Halmi; 	2003-11-28	VoR	10.1146/annurev.me.29.020178.001033						Annual Review of Medicine				Journal	10.1146/med.704	ar:med		0066-4219	1545-326X												Article	1978	Controlled	Regular	Unique_Item_Investigations	1	0	1
Anorexia Nervosa: Recent Investigations	Annual Reviews		Annual Reviews	K A Halmi; 	2003-11-28	VoR	10.1146/annurev.me.29.020178.001033						Annual Review of Medicine				Journal	10.1146/med.704	ar:med		0066-4219	1545-326X												Article	1978	Controlled	Regular	Unique_Item_Requests	1	0	1
Anorexia Nervosa: Recent Investigations	Annual Reviews		Annual Reviews	K A Halmi; 	2003-11-28	VoR	10.1146/annurev.me.29.020178.001033						Annual Review of Medicine				Journal	10.1146/med.704	ar:med		0066-4219	1545-326X												Article	1978	Controlled	Regular	Total_Item_Investigations	1	0	1
Anorexia Nervosa: Recent Investigations	Annual Reviews		Annual Reviews	K A Halmi; 	2003-11-28	VoR	10.1146/annurev.me.29.020178.001033						Annual Review of Medicine				Journal	10.1146/med.704	ar:med		0066-4219	1545-326X												Article	1978	Controlled	Regular	Total_Item_Requests	1	0	1
Atmospheric Circulation of Tide-Locked Exoplanets	Annual Reviews		Annual Reviews	Mark Hammond, Raymond T. Pierrehumbert; 	2019-01-07	VoR	10.1146/annurev-fluid-010518-040516						Annual Review of Fluid Mechanics				Journal	10.1146/fluid.698	ar:fluid		0066-4189	1545-4479												Article	2019	Controlled	Regular	Unique_Item_Investigations	1	1	0
Atmospheric Circulation of Tide-Locked Exoplanets	Annual Reviews		Annual Reviews	Mark Hammond, Raymond T. Pierrehumbert; 	2019-01-07	VoR	10.1146/annurev-fluid-010518-040516						Annual Review of Fluid Mechanics				Journal	10.1146/fluid.698	ar:fluid		0066-4189	1545-4479												Article	2019	Controlled	Regular	Unique_Item_Requests	1	1	0
Atmospheric Circulation of Tide-Locked Exoplanets	Annual Reviews		Annual Reviews	Mark Hammond, Raymond T. Pierrehumbert; 	2019-01-07	VoR	10.1146/annurev-fluid-010518-040516						Annual Review of Fluid Mechanics				Journal	10.1146/fluid.698	ar:fluid		0066-4189	1545-4479												Article	2019	Controlled	Regular	Total_Item_Investigations	2	2	0
Atmospheric Circulation of Tide-Locked Exoplanets	Annual Reviews		Annual Reviews	Mark Hammond, Raymond T. Pierrehumbert; 	2019-01-07	VoR	10.1146/annurev-fluid-010518-040516						Annual Review of Fluid Mechanics				Journal	10.1146/fluid.698	ar:fluid		0066-4189	1545-4479												Article	2019	Controlled	Regular	Total_Item_Requests	2	2	0
Bayesian Additive Regression Trees: A Review and Look Forward	Annual Reviews		Annual Reviews	Antonio Linero, Jared Murray, Jennifer Hill; 	2020-03-09	VoR	10.1146/annurev-statistics-031219-041110						Annual Review of Statistics and Its Application				Journal	10.1146/statistics	ar:statistics		2326-8298	2326-831X												Article	2020	Controlled	Regular	Unique_Item_Investigations	1	0	1
Bayesian Additive Regression Trees: A Review and Look Forward	Annual Reviews		Annual Reviews	Antonio Linero, Jared Murray, Jennifer Hill; 	2020-03-09	VoR	10.1146/annurev-statistics-031219-041110						Annual Review of Statistics and Its Application				Journal	10.1146/statistics	ar:statistics		2326-8298	2326-831X												Article	2020	Controlled	Regular	Unique_Item_Requests	1	0	1
Bayesian Additive Regression Trees: A Review and Look Forward	Annual Reviews		Annual Reviews	Antonio Linero, Jared Murray, Jennifer Hill; 	2020-03-09	VoR	10.1146/annurev-statistics-031219-041110						Annual Review of Statistics and Its Application				Journal	10.1146/statistics	ar:statistics		2326-8298	2326-831X												Article	2020	Controlled	Regular	Total_Item_Investigations	4	0	4
Bayesian Additive Regression Trees: A Review and Look Forward	Annual Reviews		Annual Reviews	Antonio Linero, Jared Murray, Jennifer Hill; 	2020-03-09	VoR	10.1146/annurev-statistics-031219-041110						Annual Review of Statistics and Its Application				Journal	10.1146/statistics	ar:statistics		2326-8298	2326-831X												Article	2020	Controlled	Regular	Total_Item_Requests	3	0	3
BIOGEOGRAPHIC AREAS AND TRANSITION ZONES OF LATIN AMERICA AND THE CARIBBEAN ISLANDS BASED ON PANBIOGEOGRAPHIC AND CLADISTIC ANALYSES OF THE ENTOMOFAUNA	Annual Reviews		Annual Reviews	Juan J. Morrone; 	2005-12-06	VoR	10.1146/annurev.ento.50.071803.130447						Annual Review of Entomology				Journal	10.1146/ento.697	ar:ento		0066-4170	1545-4487												Article	2005	Controlled	Regular	Unique_Item_Investigations	1	0	1
BIOGEOGRAPHIC AREAS AND TRANSITION ZONES OF LATIN AMERICA AND THE CARIBBEAN ISLANDS BASED ON PANBIOGEOGRAPHIC AND CLADISTIC ANALYSES OF THE ENTOMOFAUNA	Annual Reviews		Annual Reviews	Juan J. Morrone; 	2005-12-06	VoR	10.1146/annurev.ento.50.071803.130447						Annual Review of Entomology				Journal	10.1146/ento.697	ar:ento		0066-4170	1545-4487												Article	2005	Controlled	Regular	Unique_Item_Requests	1	0	1
BIOGEOGRAPHIC AREAS AND TRANSITION ZONES OF LATIN AMERICA AND THE CARIBBEAN ISLANDS BASED ON PANBIOGEOGRAPHIC AND CLADISTIC ANALYSES OF THE ENTOMOFAUNA	Annual Reviews		Annual Reviews	Juan J. Morrone; 	2005-12-06	VoR	10.1146/annurev.ento.50.071803.130447						Annual Review of Entomology				Journal	10.1146/ento.697	ar:ento		0066-4170	1545-4487												Article	2005	Controlled	Regular	Total_Item_Investigations	1	0	1
BIOGEOGRAPHIC AREAS AND TRANSITION ZONES OF LATIN AMERICA AND THE CARIBBEAN ISLANDS BASED ON PANBIOGEOGRAPHIC AND CLADISTIC ANALYSES OF THE ENTOMOFAUNA	Annual Reviews		Annual Reviews	Juan J. Morrone; 	2005-12-06	VoR	10.1146/annurev.ento.50.071803.130447						Annual Review of Entomology				Journal	10.1146/ento.697	ar:ento		0066-4170	1545-4487												Article	2005	Controlled	Regular	Total_Item_Requests	1	0	1
Biomarkers in Veterinary Medicine*	Annual Reviews		Annual Reviews	Emily R. Smith, Michael J. Myers, Phillip G. Turfle; 	2017-02-15	VoR	10.1146/annurev-animal-021815-111431						Annual Review of Animal Biosciences				Journal	10.1146/animal	ar:animal		2165-8102	2165-8110												Article	2017	Controlled	Regular	Unique_Item_Investigations	1	1	0
Biomarkers in Veterinary Medicine*	Annual Reviews		Annual Reviews	Emily R. Smith, Michael J. Myers, Phillip G. Turfle; 	2017-02-15	VoR	10.1146/annurev-animal-021815-111431						Annual Review of Animal Biosciences				Journal	10.1146/animal	ar:animal		2165-8102	2165-8110												Article	2017	Controlled	Regular	Unique_Item_Requests	1	1	0
Biomarkers in Veterinary Medicine*	Annual Reviews		Annual Reviews	Emily R. Smith, Michael J. Myers, Phillip G. Turfle; 	2017-02-15	VoR	10.1146/annurev-animal-021815-111431						Annual Review of Animal Biosciences				Journal	10.1146/animal	ar:animal		2165-8102	2165-8110												Article	2017	Controlled	Regular	Total_Item_Investigations	2	2	0
