Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ar:106712
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-02T01:51:54Z
Created_By	Atypon Systems LLC.

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Annual Reviews	Journal	Regular	Unique_Item_Investigations	48	48	0
Annual Reviews	Journal	Regular	Unique_Item_Requests	41	41	0
Annual Reviews	Journal	Regular	Total_Item_Requests	61	61	0
Annual Reviews	Journal	Regular	Total_Item_Investigations	79	79	0
