Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ar:106712
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T07:45:02Z
Created_By	Atypon Systems LLC.

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Annual Reviews	Total_Item_Requests	123	61	62
Annual Reviews	Unique_Item_Requests	91	41	50
