Report_Name	Book Requests (Excluding OA_Gold)
Report_ID	TR_B1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ar:106712
Metric_Types	Total_Item_Requests; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	3030: No Usage Available for Requested Dates (Requested data between 2024-01-01 and 2024-01-31)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-01-31
Created	2024-02-29T02:47:08Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024
