Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ar:106712
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-05T07:45:58Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Annual Review of Public Health	Annual Reviews		Annual Reviews	10.1146/publhealth.717	ar:publhealth	0163-7525	1545-2093		No_License	3	0	3
Annual Review of Resource Economics	Annual Reviews		Annual Reviews	10.1146/resource	ar:resource	1941-1340	1941-1359		No_License	1	0	1
