Report_Name	Multimedia Item Requests
Report_ID	IR_M1
Release	5
Institution_Name	University of Prince Edward Island - Students
Institution_ID	Silverchair:134573
Metric_Types	Total_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Multimedia
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
1.1. Introduction	Wolters Kluwer		Wolters Kluwer		Silverchair:6091076		Total_Item_Requests	1	1	0
2.13. Musculoskeletal System	Wolters Kluwer		Wolters Kluwer		Silverchair:6091138		Total_Item_Requests	1	1	0
Entire Volume - Nervous System: Cranial Nerves and Motor System	Wolters Kluwer		Wolters Kluwer		Silverchair:6091072		Total_Item_Requests	1	1	0
Entire Volume - Skin	Wolters Kluwer		Wolters Kluwer		Silverchair:6091054		Total_Item_Requests	1	1	0
