Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	Univ Of Prince Edward Island
Institution_ID	cabi:59221
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Article; Parent_Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2022-04-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:39:01Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Australian veterans’ experience of pet ownership: Benefits, costs, and moderating factors	CABI		CABI Digital Library	Jono Tuke, Janette Young, Susan Hazel, Joshua Zoanetti, Torben Dahl Nielsen; 	2023-04-18	VoR	10.1079/hai.2023.0013					Human-Animal Interactions			10.1079/humananimalinteractions	cabi:hai		2957-9538		OA_Gold	Unique_Item_Requests	1	1	0
Australian veterans’ experience of pet ownership: Benefits, costs, and moderating factors	CABI		CABI Digital Library	Jono Tuke, Janette Young, Susan Hazel, Joshua Zoanetti, Torben Dahl Nielsen; 	2023-04-18	VoR	10.1079/hai.2023.0013					Human-Animal Interactions			10.1079/humananimalinteractions	cabi:hai		2957-9538		OA_Gold	Total_Item_Requests	1	1	0
Exploring diversity, equity, and inclusion perceptions among leadership in the field of Human-Animal Interaction	CABI		CABI Digital Library	Alan M. Beck, Clare L. Jensen, Marguerite E. O’Haire, Jennifer Ogeer; 	2023-04-26	VoR	10.1079/hai.2023.0012					Human-Animal Interactions			10.1079/humananimalinteractions	cabi:hai		2957-9538		OA_Gold	Unique_Item_Requests	3	3	0
Exploring diversity, equity, and inclusion perceptions among leadership in the field of Human-Animal Interaction	CABI		CABI Digital Library	Alan M. Beck, Clare L. Jensen, Marguerite E. O’Haire, Jennifer Ogeer; 	2023-04-26	VoR	10.1079/hai.2023.0012					Human-Animal Interactions			10.1079/humananimalinteractions	cabi:hai		2957-9538		OA_Gold	Total_Item_Requests	4	4	0
Pimenta dioica (allspice)	CABI		CABI Digital Library	Julissa Rojas-Sandoval; 	2023-05-19	VoR	10.1079/cabicompendium.42377					CABI Compendium			10.1079/cabicompendium	cabi:cabicompendium		2958-3969		OA_Gold	Unique_Item_Requests	1	1	0
Pimenta dioica (allspice)	CABI		CABI Digital Library	Julissa Rojas-Sandoval; 	2023-05-19	VoR	10.1079/cabicompendium.42377					CABI Compendium			10.1079/cabicompendium	cabi:cabicompendium		2958-3969		OA_Gold	Total_Item_Requests	1	1	0
Re-imagining Animal-Assisted Human Services (AAHS): Developing Canada’s first voluntary National Standard of Canada (NSC) for AAHS	CABI		CABI Digital Library	Joanne Moss; 	2024-01-16	VoR	10.1079/hai.2024.0001					Human-Animal Interactions			10.1079/humananimalinteractions	cabi:hai		2957-9538		OA_Gold	Unique_Item_Requests	3	3	0
Re-imagining Animal-Assisted Human Services (AAHS): Developing Canada’s first voluntary National Standard of Canada (NSC) for AAHS	CABI		CABI Digital Library	Joanne Moss; 	2024-01-16	VoR	10.1079/hai.2024.0001					Human-Animal Interactions			10.1079/humananimalinteractions	cabi:hai		2957-9538		OA_Gold	Total_Item_Requests	4	4	0
