Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	Univ Of Prince Edward Island
Institution_ID	cabi:59221
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T07:49:06Z
Created_By	Atypon Systems LLC.

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
CABI Digital Library	Platform	Regular	Searches_Platform	136	63	73
CABI Digital Library	Book	Regular	Unique_Title_Investigations	30	12	18
CABI Digital Library	Book	Regular	Unique_Title_Requests	20	10	10
CABI Digital Library	Book	Regular	Unique_Item_Investigations	38	12	26
CABI Digital Library	Book	Regular	Unique_Item_Requests	28	10	18
CABI Digital Library	Book	Regular	Total_Item_Requests	35	10	25
CABI Digital Library	Book	Regular	Total_Item_Investigations	46	12	34
CABI Digital Library	Database	Regular	Unique_Item_Investigations	94	16	78
CABI Digital Library	Database	Regular	Unique_Item_Requests	94	16	78
CABI Digital Library	Database	Regular	Total_Item_Requests	111	19	92
CABI Digital Library	Database	Regular	Total_Item_Investigations	111	19	92
CABI Digital Library	Journal	Regular	Unique_Item_Investigations	20	11	9
CABI Digital Library	Journal	Regular	Unique_Item_Requests	16	8	8
CABI Digital Library	Journal	Regular	Total_Item_Requests	19	10	9
CABI Digital Library	Journal	Regular	Total_Item_Investigations	23	13	10
