Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	Univ Of Prince Edward Island
Institution_ID	cabi:59221
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-05T07:49:04Z
Created_By	Atypon Systems LLC.

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
CABI Digital Library	Searches_Platform	136	63	73
CABI Digital Library	Unique_Item_Requests	138	34	104
CABI Digital Library	Total_Item_Requests	165	39	126
CABI Digital Library	Unique_Title_Requests	20	10	10
