Report_Name	Book Access Denied
Report_ID	TR_B2
Release	5
Institution_Name	Univ Of Prince Edward Island
Institution_ID	cabi:59221
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	3030: No Usage Available for Requested Dates (Requested data between 2024-01-01 and 2024-02-29)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-05T07:49:19Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
