Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	Univ Of Prince Edward Island
Institution_ID	cabi:59221
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T07:49:17Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Bacteria and fungi from fish and other aquatic animals: A practical identification manual	CABI		CABI Digital Library	10.1079/9781845938055.0000		978-1-78064-436-3				2014	Controlled	Unique_Item_Investigations	7	0	7
Bacteria and fungi from fish and other aquatic animals: A practical identification manual	CABI		CABI Digital Library	10.1079/9781845938055.0000		978-1-78064-436-3				2014	Controlled	Unique_Item_Requests	7	0	7
Bacteria and fungi from fish and other aquatic animals: A practical identification manual	CABI		CABI Digital Library	10.1079/9781845938055.0000		978-1-78064-436-3				2014	Controlled	Total_Item_Investigations	13	0	13
Bacteria and fungi from fish and other aquatic animals: A practical identification manual	CABI		CABI Digital Library	10.1079/9781845938055.0000		978-1-78064-436-3				2014	Controlled	Total_Item_Requests	13	0	13
Bacteria and fungi from fish and other aquatic animals: A practical identification manual	CABI		CABI Digital Library	10.1079/9781845938055.0000		978-1-78064-436-3				2014	Controlled	Unique_Title_Investigations	1	0	1
Bacteria and fungi from fish and other aquatic animals: A practical identification manual	CABI		CABI Digital Library	10.1079/9781845938055.0000		978-1-78064-436-3				2014	Controlled	Unique_Title_Requests	1	0	1
Bovine pathology: a text and color atlas	CABI		CABI Digital Library	10.1079/9781780646718.0000		978-1-78064-672-5				2017	Controlled	Unique_Item_Investigations	2	0	2
Bovine pathology: a text and color atlas	CABI		CABI Digital Library	10.1079/9781780646718.0000		978-1-78064-672-5				2017	Controlled	Total_Item_Investigations	2	0	2
Bovine pathology: a text and color atlas	CABI		CABI Digital Library	10.1079/9781780646718.0000		978-1-78064-672-5				2017	Controlled	Unique_Title_Investigations	2	0	2
Climate Change on Diseases and Disorders of Finfish in Cage Culture	CABI		CABI Digital Library	10.1079/9781800621640.0000		978-1-80062-163-3				2023	Controlled	Unique_Item_Investigations	4	2	2
Climate Change on Diseases and Disorders of Finfish in Cage Culture	CABI		CABI Digital Library	10.1079/9781800621640.0000		978-1-80062-163-3				2023	Controlled	Unique_Item_Requests	4	2	2
