Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	CUP:12159
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:38:24Z
Created_By	Cambridge Core

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Cambridge Core	Book	Regular	Total_Item_Investigations	1081	720	361
Cambridge Core	Book	Regular	Unique_Item_Investigations	879	594	285
Cambridge Core	Book	Regular	Unique_Title_Investigations	256	157	99
Cambridge Core	Book	Regular	Total_Item_Requests	743	502	241
Cambridge Core	Book	Regular	Unique_Item_Requests	656	452	204
Cambridge Core	Book	Regular	Unique_Title_Requests	155	92	63
Cambridge Core	Journal	Regular	Total_Item_Investigations	525	201	324
Cambridge Core	Journal	Regular	Unique_Item_Investigations	399	146	253
Cambridge Core	Journal	Regular	Total_Item_Requests	423	167	256
Cambridge Core	Journal	Regular	Unique_Item_Requests	328	123	205
Cambridge Core	Platform	Regular	Searches_Platform	41	14	27
Higher Education from Cambridge University Press	Book	Regular	Total_Item_Investigations	4	1	3
Higher Education from Cambridge University Press	Book	Regular	Unique_Item_Investigations	4	1	3
Higher Education from Cambridge University Press	Book	Regular	Unique_Title_Investigations	4	1	3
Higher Education from Cambridge University Press	Platform	Regular	Searches_Platform	1	1	0
