Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	CUP:12159
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T15:49:22Z
Created_By	Cambridge Core

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Cambridge Core	Searches_Platform	41	14	27
Cambridge Core	Total_Item_Requests	1166	669	497
Cambridge Core	Unique_Item_Requests	984	575	409
Cambridge Core	Unique_Title_Requests	155	92	63
Higher Education from Cambridge University Press	Searches_Platform	1	1	0
