Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	CUP:12159
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T15:49:35Z
Created_By	Cambridge Core

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Concise History of Japan	Cambridge University Press		Cambridge Core	10.1017/CBO9780511783043		978-0-511-78304-3			https://doi.org/10.1017/CBO9780511783043	2015	Controlled	Total_Item_Investigations	308	283	25
A Concise History of Japan	Cambridge University Press		Cambridge Core	10.1017/CBO9780511783043		978-0-511-78304-3			https://doi.org/10.1017/CBO9780511783043	2015	Controlled	Total_Item_Requests	218	197	21
A Concise History of Japan	Cambridge University Press		Cambridge Core	10.1017/CBO9780511783043		978-0-511-78304-3			https://doi.org/10.1017/CBO9780511783043	2015	Controlled	Unique_Item_Investigations	257	232	25
A Concise History of Japan	Cambridge University Press		Cambridge Core	10.1017/CBO9780511783043		978-0-511-78304-3			https://doi.org/10.1017/CBO9780511783043	2015	Controlled	Unique_Item_Requests	203	182	21
A Concise History of Japan	Cambridge University Press		Cambridge Core	10.1017/CBO9780511783043		978-0-511-78304-3			https://doi.org/10.1017/CBO9780511783043	2015	Controlled	Unique_Title_Investigations	63	54	9
A Concise History of Japan	Cambridge University Press		Cambridge Core	10.1017/CBO9780511783043		978-0-511-78304-3			https://doi.org/10.1017/CBO9780511783043	2015	Controlled	Unique_Title_Requests	43	34	9
A First Course in Fourier Analysis	Cambridge University Press		Cambridge Core	10.1017/CBO9780511619700		978-0-511-61970-0			https://doi.org/10.1017/CBO9780511619700	2008	Controlled	Total_Item_Investigations	1	1	0
A First Course in Fourier Analysis	Cambridge University Press		Cambridge Core	10.1017/CBO9780511619700		978-0-511-61970-0			https://doi.org/10.1017/CBO9780511619700	2008	Controlled	Unique_Item_Investigations	1	1	0
A First Course in Fourier Analysis	Cambridge University Press		Cambridge Core	10.1017/CBO9780511619700		978-0-511-61970-0			https://doi.org/10.1017/CBO9780511619700	2008	Controlled	Unique_Title_Investigations	1	1	0
A History of the Modernist Novel	Cambridge University Press		Cambridge Core	10.1017/CBO9781139542395		978-1-139-54239-5			https://doi.org/10.1017/CBO9781139542395	2015	Controlled	Total_Item_Investigations	1	0	1
A History of the Modernist Novel	Cambridge University Press		Cambridge Core	10.1017/CBO9781139542395		978-1-139-54239-5			https://doi.org/10.1017/CBO9781139542395	2015	Controlled	Unique_Item_Investigations	1	0	1
A History of the Modernist Novel	Cambridge University Press		Cambridge Core	10.1017/CBO9781139542395		978-1-139-54239-5			https://doi.org/10.1017/CBO9781139542395	2015	Controlled	Unique_Title_Investigations	1	0	1
