Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	CUP:12159
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T15:49:38Z
Created_By	Cambridge Core

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	Total_Item_Requests	8	1	7
Ageing & Society	Cambridge University Press		Cambridge Core		CUP:ASO	0144-686X	1469-1779	https://www.cambridge.org/core/product/identifier/ASO/type/journal	Unique_Item_Requests	6	1	5
American Antiquity	Cambridge University Press		Cambridge Core		CUP:AAQ	0002-7316	2325-5064	https://www.cambridge.org/core/product/identifier/AAQ/type/journal	Total_Item_Requests	2	0	2
American Antiquity	Cambridge University Press		Cambridge Core		CUP:AAQ	0002-7316	2325-5064	https://www.cambridge.org/core/product/identifier/AAQ/type/journal	Unique_Item_Requests	1	0	1
American Political Science Review	Cambridge University Press		Cambridge Core		CUP:PSR	0003-0554	1537-5943	https://www.cambridge.org/core/product/identifier/PSR/type/journal	Total_Item_Requests	8	0	8
American Political Science Review	Cambridge University Press		Cambridge Core		CUP:PSR	0003-0554	1537-5943	https://www.cambridge.org/core/product/identifier/PSR/type/journal	Unique_Item_Requests	4	0	4
animal	Cambridge University Press		Cambridge Core		CUP:ANM	1751-7311	1751-732X	https://www.cambridge.org/core/product/identifier/ANM/type/journal	Total_Item_Requests	1	0	1
animal	Cambridge University Press		Cambridge Core		CUP:ANM	1751-7311	1751-732X	https://www.cambridge.org/core/product/identifier/ANM/type/journal	Unique_Item_Requests	1	0	1
Animal Health Research Reviews	Cambridge University Press		Cambridge Core		CUP:AHR	1466-2523	1475-2654	https://www.cambridge.org/core/product/identifier/AHR/type/journal	Total_Item_Requests	1	1	0
Animal Health Research Reviews	Cambridge University Press		Cambridge Core		CUP:AHR	1466-2523	1475-2654	https://www.cambridge.org/core/product/identifier/AHR/type/journal	Unique_Item_Requests	1	1	0
Animal Welfare	Cambridge University Press		Cambridge Core		CUP:AWF	0962-7286	2054-1538	https://www.cambridge.org/core/product/identifier/AWF/type/journal	Total_Item_Requests	11	2	9
Animal Welfare	Cambridge University Press		Cambridge Core		CUP:AWF	0962-7286	2054-1538	https://www.cambridge.org/core/product/identifier/AWF/type/journal	Unique_Item_Requests	7	1	6
Annals of Actuarial Science	Cambridge University Press		Cambridge Core		CUP:AAS	1748-4995	1748-5002	https://www.cambridge.org/core/product/identifier/AAS/type/journal	Total_Item_Requests	1	1	0
Annals of Actuarial Science	Cambridge University Press		Cambridge Core		CUP:AAS	1748-4995	1748-5002	https://www.cambridge.org/core/product/identifier/AAS/type/journal	Unique_Item_Requests	1	1	0
Annual Review of Applied Linguistics	Cambridge University Press		Cambridge Core		CUP:APL	0267-1905	1471-6356	https://www.cambridge.org/core/product/identifier/APL/type/journal	Total_Item_Requests	6	1	5
Annual Review of Applied Linguistics	Cambridge University Press		Cambridge Core		CUP:APL	0267-1905	1471-6356	https://www.cambridge.org/core/product/identifier/APL/type/journal	Unique_Item_Requests	6	1	5
Antarctic Science	Cambridge University Press		Cambridge Core		CUP:ANS	0954-1020	1365-2079	https://www.cambridge.org/core/product/identifier/ANS/type/journal	Total_Item_Requests	1	1	0
Antarctic Science	Cambridge University Press		Cambridge Core		CUP:ANS	0954-1020	1365-2079	https://www.cambridge.org/core/product/identifier/ANS/type/journal	Unique_Item_Requests	1	1	0
Antiquity	Cambridge University Press		Cambridge Core		CUP:AQY	0003-598X	1745-1744	https://www.cambridge.org/core/product/identifier/AQY/type/journal	Total_Item_Requests	2	0	2
Antiquity	Cambridge University Press		Cambridge Core		CUP:AQY	0003-598X	1745-1744	https://www.cambridge.org/core/product/identifier/AQY/type/journal	Unique_Item_Requests	2	0	2
Architectural History	Cambridge University Press		Cambridge Core		CUP:ARH	0066-622X	2059-5670	https://www.cambridge.org/core/product/identifier/ARH/type/journal	Total_Item_Requests	1	1	0
Architectural History	Cambridge University Press		Cambridge Core		CUP:ARH	0066-622X	2059-5670	https://www.cambridge.org/core/product/identifier/ARH/type/journal	Unique_Item_Requests	1	1	0
ASTIN Bulletin: The Journal of the IAA	Cambridge University Press		Cambridge Core		CUP:ASB	0515-0361	1783-1350	https://www.cambridge.org/core/product/identifier/ASB/type/journal	Total_Item_Requests	1	0	1
ASTIN Bulletin: The Journal of the IAA	Cambridge University Press		Cambridge Core		CUP:ASB	0515-0361	1783-1350	https://www.cambridge.org/core/product/identifier/ASB/type/journal	Unique_Item_Requests	1	0	1
Australian Journal of Environmental Education	Cambridge University Press		Cambridge Core		CUP:AEE	0814-0626	2049-775X	https://www.cambridge.org/core/product/identifier/AEE/type/journal	Total_Item_Requests	5	0	5
Australian Journal of Environmental Education	Cambridge University Press		Cambridge Core		CUP:AEE	0814-0626	2049-775X	https://www.cambridge.org/core/product/identifier/AEE/type/journal	Unique_Item_Requests	5	0	5
Behavioral and Brain Sciences	Cambridge University Press		Cambridge Core		CUP:BBS	0140-525X	1469-1825	https://www.cambridge.org/core/product/identifier/BBS/type/journal	Total_Item_Requests	3	2	1
Behavioral and Brain Sciences	Cambridge University Press		Cambridge Core		CUP:BBS	0140-525X	1469-1825	https://www.cambridge.org/core/product/identifier/BBS/type/journal	Unique_Item_Requests	3	2	1
Behavioural and Cognitive Psychotherapy	Cambridge University Press		Cambridge Core		CUP:BCP	1352-4658	1469-1833	https://www.cambridge.org/core/product/identifier/BCP/type/journal	Total_Item_Requests	3	2	1
Behavioural and Cognitive Psychotherapy	Cambridge University Press		Cambridge Core		CUP:BCP	1352-4658	1469-1833	https://www.cambridge.org/core/product/identifier/BCP/type/journal	Unique_Item_Requests	2	1	1
British Journal of Music Education	Cambridge University Press		Cambridge Core		CUP:BME	0265-0517	1469-2104	https://www.cambridge.org/core/product/identifier/BME/type/journal	Total_Item_Requests	2	2	0
British Journal of Music Education	Cambridge University Press		Cambridge Core		CUP:BME	0265-0517	1469-2104	https://www.cambridge.org/core/product/identifier/BME/type/journal	Unique_Item_Requests	1	1	0
British Journal of Nutrition	Cambridge University Press		Cambridge Core		CUP:BJN	0007-1145	1475-2662	https://www.cambridge.org/core/product/identifier/BJN/type/journal	Total_Item_Requests	19	4	15
British Journal of Nutrition	Cambridge University Press		Cambridge Core		CUP:BJN	0007-1145	1475-2662	https://www.cambridge.org/core/product/identifier/BJN/type/journal	Unique_Item_Requests	14	4	10
Cambridge Journal of Postcolonial Literary Inquiry	Cambridge University Press		Cambridge Core		CUP:PLI	2052-2614	2052-2622	https://www.cambridge.org/core/product/identifier/PLI/type/journal	Total_Item_Requests	1	1	0
Cambridge Journal of Postcolonial Literary Inquiry	Cambridge University Press		Cambridge Core		CUP:PLI	2052-2614	2052-2622	https://www.cambridge.org/core/product/identifier/PLI/type/journal	Unique_Item_Requests	1	1	0
Canadian Journal of Emergency Medicine	Cambridge University Press		Cambridge Core		CUP:CEM	1481-8035	1481-8043	https://www.cambridge.org/core/product/identifier/CEM/type/journal	Total_Item_Requests	9	0	9
Canadian Journal of Emergency Medicine	Cambridge University Press		Cambridge Core		CUP:CEM	1481-8035	1481-8043	https://www.cambridge.org/core/product/identifier/CEM/type/journal	Unique_Item_Requests	7	0	7
Canadian Journal of Political Science/Revue canadienne de science politique	Cambridge University Press		Cambridge Core		CUP:CJP	0008-4239	1744-9324	https://www.cambridge.org/core/product/identifier/CJP/type/journal	Total_Item_Requests	2	0	2
Canadian Journal of Political Science/Revue canadienne de science politique	Cambridge University Press		Cambridge Core		CUP:CJP	0008-4239	1744-9324	https://www.cambridge.org/core/product/identifier/CJP/type/journal	Unique_Item_Requests	2	0	2
