Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	coherentdigital:university_of_prince_edward_island_ca
Metric_Types	
Report_Filters	Data_Type=Article|Book|Book_Segment|Dataset|Journal|Multimedia|Newspaper_or_Newsletter|Other|Repository_Item|Report|Thesis_or_Dissertation
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:40:11+00:00
Created_By	LibLynx LLC for Coherent Digital

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A narrative inquiry into the educational experiences of Aboriginal youth and their families	desLibris		Coherent Digital					artifact:1220026																										Repository_Item	2012	Controlled	Regular	Total_Item_Investigations	4	4	0
A narrative inquiry into the educational experiences of Aboriginal youth and their families	desLibris		Coherent Digital					artifact:1220026																										Repository_Item	2012	Controlled	Regular	Unique_Item_Investigations	1	1	0
A narrative inquiry into the educational experiences of Aboriginal youth and their families	desLibris		Coherent Digital					artifact:1220026																										Repository_Item	2012	Controlled	Regular	Total_Item_Requests	3	3	0
A narrative inquiry into the educational experiences of Aboriginal youth and their families	desLibris		Coherent Digital					artifact:1220026																										Repository_Item	2012	Controlled	Regular	Unique_Item_Requests	1	1	0
Appendix 1: Search Strategies of the Medline, EMBASE, Cochrane, and CINAHL Databases	Canadian Medical Association		Coherent Digital					artifact:1574999																										Repository_Item	2021	Controlled	Regular	Total_Item_Investigations	3	0	3
Appendix 1: Search Strategies of the Medline, EMBASE, Cochrane, and CINAHL Databases	Canadian Medical Association		Coherent Digital					artifact:1574999																										Repository_Item	2021	Controlled	Regular	Unique_Item_Investigations	2	0	2
Appendix 1: Search Strategies of the Medline, EMBASE, Cochrane, and CINAHL Databases	Canadian Medical Association		Coherent Digital					artifact:1574999																										Repository_Item	2021	Controlled	Regular	Total_Item_Requests	1	0	1
Appendix 1: Search Strategies of the Medline, EMBASE, Cochrane, and CINAHL Databases	Canadian Medical Association		Coherent Digital					artifact:1574999																										Repository_Item	2021	Controlled	Regular	Unique_Item_Requests	1	0	1
Asia Pacific Foundation of Canada	Coherent Digital		Coherent Digital					organization:asia-pacific-foundation-of-canada-ca																										Other	2020	Controlled	Regular	Total_Item_Investigations	1	0	1
Asia Pacific Foundation of Canada	Coherent Digital		Coherent Digital					organization:asia-pacific-foundation-of-canada-ca																										Other	2020	Controlled	Regular	Unique_Item_Investigations	1	0	1
Asia Pacific Foundation of Canada	Coherent Digital		Coherent Digital					organization:asia-pacific-foundation-of-canada-ca																										Other	2020	Controlled	Regular	Total_Item_Requests	1	0	1
Asia Pacific Foundation of Canada	Coherent Digital		Coherent Digital					organization:asia-pacific-foundation-of-canada-ca																										Other	2020	Controlled	Regular	Unique_Item_Requests	1	0	1
Assessing Prince Edward Island’s Fiscal Situation	Canadian Centre For Policy Alternatives		Coherent Digital					artifact:3343251																										Repository_Item	2004	Controlled	Regular	Total_Item_Investigations	1	1	0
Assessing Prince Edward Island’s Fiscal Situation	Canadian Centre For Policy Alternatives		Coherent Digital					artifact:3343251																										Repository_Item	2004	Controlled	Regular	Unique_Item_Investigations	1	1	0
Blood Fable	Book*hug Press		Coherent Digital					artifact:1878092																										Repository_Item	2017	Controlled	Regular	Total_Item_Investigations	3	3	0
Blood Fable	Book*hug Press		Coherent Digital					artifact:1878092																										Repository_Item	2017	Controlled	Regular	Unique_Item_Investigations	1	1	0
Blood Fable	Book*hug Press		Coherent Digital					artifact:1878092																										Repository_Item	2017	Controlled	Regular	Total_Item_Requests	1	1	0
