Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	coherentdigital:university_of_prince_edward_island_ca
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:39:35+00:00
Created_By	LibLynx LLC for Coherent Digital

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Coherent Digital	Searches_Platform	33	21	12
Coherent Digital	Total_Item_Requests	42	19	23
Coherent Digital	Unique_Item_Requests	38	16	22
