Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	nrc:51861-2359-csp
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:40:14Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A CLIMATIC MOISTURE INDEX FOR LAND AND SOIL CLASSIFICATION IN CANADA	NRC Research Press		Canadian Science Publishing	W. K. SLY; 	2011-03-19	VoR	10.4141/cjss70-040						Canadian Journal of Soil Science				Journal	10.4141/cjss	nrc:cjss		0008-4271	1918-1841												Article	1970	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
A CLIMATIC MOISTURE INDEX FOR LAND AND SOIL CLASSIFICATION IN CANADA	NRC Research Press		Canadian Science Publishing	W. K. SLY; 	2011-03-19	VoR	10.4141/cjss70-040						Canadian Journal of Soil Science				Journal	10.4141/cjss	nrc:cjss		0008-4271	1918-1841												Article	1970	OA_Gold	Regular	Unique_Item_Requests	1	1	0
A CLIMATIC MOISTURE INDEX FOR LAND AND SOIL CLASSIFICATION IN CANADA	NRC Research Press		Canadian Science Publishing	W. K. SLY; 	2011-03-19	VoR	10.4141/cjss70-040						Canadian Journal of Soil Science				Journal	10.4141/cjss	nrc:cjss		0008-4271	1918-1841												Article	1970	OA_Gold	Regular	Total_Item_Investigations	1	1	0
A CLIMATIC MOISTURE INDEX FOR LAND AND SOIL CLASSIFICATION IN CANADA	NRC Research Press		Canadian Science Publishing	W. K. SLY; 	2011-03-19	VoR	10.4141/cjss70-040						Canadian Journal of Soil Science				Journal	10.4141/cjss	nrc:cjss		0008-4271	1918-1841												Article	1970	OA_Gold	Regular	Total_Item_Requests	1	1	0
A Correlation between Bond Length and Ionic Bond Order. Application to the Ylide–Ylene Problem	NRC Research Press		Canadian Science Publishing	Fernando Bernardi, Myung-Hwan Whangbo, Saul Wolfe; 	2011-02-04	VoR	10.1139/v75-431						Canadian Journal of Chemistry				Journal	10.1139/cjc	nrc:cjc		0008-4042	1480-3291												Article	1975	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
A Correlation between Bond Length and Ionic Bond Order. Application to the Ylide–Ylene Problem	NRC Research Press		Canadian Science Publishing	Fernando Bernardi, Myung-Hwan Whangbo, Saul Wolfe; 	2011-02-04	VoR	10.1139/v75-431						Canadian Journal of Chemistry				Journal	10.1139/cjc	nrc:cjc		0008-4042	1480-3291												Article	1975	OA_Gold	Regular	Unique_Item_Requests	1	1	0
A Correlation between Bond Length and Ionic Bond Order. Application to the Ylide–Ylene Problem	NRC Research Press		Canadian Science Publishing	Fernando Bernardi, Myung-Hwan Whangbo, Saul Wolfe; 	2011-02-04	VoR	10.1139/v75-431						Canadian Journal of Chemistry				Journal	10.1139/cjc	nrc:cjc		0008-4042	1480-3291												Article	1975	OA_Gold	Regular	Total_Item_Investigations	1	1	0
A Correlation between Bond Length and Ionic Bond Order. Application to the Ylide–Ylene Problem	NRC Research Press		Canadian Science Publishing	Fernando Bernardi, Myung-Hwan Whangbo, Saul Wolfe; 	2011-02-04	VoR	10.1139/v75-431						Canadian Journal of Chemistry				Journal	10.1139/cjc	nrc:cjc		0008-4042	1480-3291												Article	1975	OA_Gold	Regular	Total_Item_Requests	1	1	0
A molecular assessment of infectious agents carried by Atlantic salmon at sea and in three eastern Canadian rivers, including aquaculture escapees and North American and European origin wild stocks	Canadian Science Publishing		Canadian Science Publishing	Amy Tabata, Amy K. Teffer, Angela Schulze, Carole-Anne Gillis, Denise Deschamps, Eric B. Brunsdon, Gideon Mordecai, Ian Bradbury, Jonathan Carr, Kristina M. Miller; 	2020-04-23	VoR	10.1139/facets-2019-0048						FACETS				Journal	10.1139/facets	nrc:facets			2371-1671												Article	2020	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
A molecular assessment of infectious agents carried by Atlantic salmon at sea and in three eastern Canadian rivers, including aquaculture escapees and North American and European origin wild stocks	Canadian Science Publishing		Canadian Science Publishing	Amy Tabata, Amy K. Teffer, Angela Schulze, Carole-Anne Gillis, Denise Deschamps, Eric B. Brunsdon, Gideon Mordecai, Ian Bradbury, Jonathan Carr, Kristina M. Miller; 	2020-04-23	VoR	10.1139/facets-2019-0048						FACETS				Journal	10.1139/facets	nrc:facets			2371-1671												Article	2020	OA_Gold	Regular	Unique_Item_Requests	1	1	0
