Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	nrc:51861-2359-csp
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:40:42Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Canadian Journal of Civil Engineering	NRC Research Press		Canadian Science Publishing	10.1139/cjce	nrc:cjce	0315-1468	1208-6029		No_License	1	1	0
Canadian Journal of Dietetic Practice and Research	Dietitians of Canada		Canadian Science Publishing	10.3148/cjdpr	nrc:cjdpr	1486-3847	2292-9592		No_License	1	1	0
Canadian Journal of Forest Research	NRC Research Press		Canadian Science Publishing	10.1139/cjfr	nrc:cjfr	0045-5067	1208-6037		No_License	1	1	0
