Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	nrc:51861-2359-csp
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Type=Controlled; Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:40:32Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Applied Physiology, Nutrition, and Metabolism	NRC Research Press		Canadian Science Publishing	10.1139/apnm	nrc:apnm	1715-5312	1715-5320		2010	Unique_Item_Requests	1	1	0
Applied Physiology, Nutrition, and Metabolism	NRC Research Press		Canadian Science Publishing	10.1139/apnm	nrc:apnm	1715-5312	1715-5320		2010	Total_Item_Requests	2	2	0
Applied Physiology, Nutrition, and Metabolism	NRC Research Press		Canadian Science Publishing	10.1139/apnm	nrc:apnm	1715-5312	1715-5320		2023	Unique_Item_Requests	2	2	0
Applied Physiology, Nutrition, and Metabolism	NRC Research Press		Canadian Science Publishing	10.1139/apnm	nrc:apnm	1715-5312	1715-5320		2023	Total_Item_Requests	3	3	0
Biochemistry and Cell Biology	NRC Research Press		Canadian Science Publishing	10.1139/bcb	nrc:bcb	0829-8211	1208-6002		2019	Unique_Item_Requests	1	1	0
Biochemistry and Cell Biology	NRC Research Press		Canadian Science Publishing	10.1139/bcb	nrc:bcb	0829-8211	1208-6002		2019	Total_Item_Requests	1	1	0
Botany	NRC Research Press		Canadian Science Publishing	10.1139/cjb	nrc:cjb	1916-2790	1916-2804		2009	Unique_Item_Requests	3	3	0
Botany	NRC Research Press		Canadian Science Publishing	10.1139/cjb	nrc:cjb	1916-2790	1916-2804		2009	Total_Item_Requests	3	3	0
Botany	NRC Research Press		Canadian Science Publishing	10.1139/cjb	nrc:cjb	1916-2790	1916-2804		2010	Unique_Item_Requests	2	2	0
Botany	NRC Research Press		Canadian Science Publishing	10.1139/cjb	nrc:cjb	1916-2790	1916-2804		2010	Total_Item_Requests	2	2	0
Botany	NRC Research Press		Canadian Science Publishing	10.1139/cjb	nrc:cjb	1916-2790	1916-2804		2011	Unique_Item_Requests	1	1	0
Botany	NRC Research Press		Canadian Science Publishing	10.1139/cjb	nrc:cjb	1916-2790	1916-2804		2011	Total_Item_Requests	1	1	0
Botany	NRC Research Press		Canadian Science Publishing	10.1139/cjb	nrc:cjb	1916-2790	1916-2804		2022	Unique_Item_Requests	2	2	0
Botany	NRC Research Press		Canadian Science Publishing	10.1139/cjb	nrc:cjb	1916-2790	1916-2804		2022	Total_Item_Requests	2	2	0
Canadian Geotechnical Journal	NRC Research Press		Canadian Science Publishing	10.1139/cgj	nrc:cgj	0008-3674	1208-6010		1994	Unique_Item_Requests	2	2	0
Canadian Geotechnical Journal	NRC Research Press		Canadian Science Publishing	10.1139/cgj	nrc:cgj	0008-3674	1208-6010		1994	Total_Item_Requests	2	2	0
Canadian Geotechnical Journal	NRC Research Press		Canadian Science Publishing	10.1139/cgj	nrc:cgj	0008-3674	1208-6010		1996	Unique_Item_Requests	2	2	0
Canadian Geotechnical Journal	NRC Research Press		Canadian Science Publishing	10.1139/cgj	nrc:cgj	0008-3674	1208-6010		1996	Total_Item_Requests	2	2	0
Canadian Geotechnical Journal	NRC Research Press		Canadian Science Publishing	10.1139/cgj	nrc:cgj	0008-3674	1208-6010		2022	Unique_Item_Requests	1	1	0
Canadian Geotechnical Journal	NRC Research Press		Canadian Science Publishing	10.1139/cgj	nrc:cgj	0008-3674	1208-6010		2022	Total_Item_Requests	1	1	0
Canadian Journal of Chemistry	NRC Research Press		Canadian Science Publishing	10.1139/cjc	nrc:cjc	0008-4042	1480-3291		2016	Unique_Item_Requests	1	1	0
Canadian Journal of Chemistry	NRC Research Press		Canadian Science Publishing	10.1139/cjc	nrc:cjc	0008-4042	1480-3291		2016	Total_Item_Requests	1	1	0
Canadian Journal of Dietetic Practice and Research	Dietitians of Canada		Canadian Science Publishing	10.3148/cjdpr	nrc:cjdpr	1486-3847	2292-9592		2018	Unique_Item_Requests	6	6	0
Canadian Journal of Dietetic Practice and Research	Dietitians of Canada		Canadian Science Publishing	10.3148/cjdpr	nrc:cjdpr	1486-3847	2292-9592		2018	Total_Item_Requests	6	6	0
Canadian Journal of Dietetic Practice and Research	Dietitians of Canada		Canadian Science Publishing	10.3148/cjdpr	nrc:cjdpr	1486-3847	2292-9592		2023	Unique_Item_Requests	1	1	0
Canadian Journal of Dietetic Practice and Research	Dietitians of Canada		Canadian Science Publishing	10.3148/cjdpr	nrc:cjdpr	1486-3847	2292-9592		2023	Total_Item_Requests	1	1	0
Canadian Journal of Earth Sciences	NRC Research Press		Canadian Science Publishing	10.1139/cjes	nrc:cjes	0008-4077	1480-3313		2010	Unique_Item_Requests	1	1	0
Canadian Journal of Earth Sciences	NRC Research Press		Canadian Science Publishing	10.1139/cjes	nrc:cjes	0008-4077	1480-3313		2010	Total_Item_Requests	1	1	0
Canadian Journal of Earth Sciences	NRC Research Press		Canadian Science Publishing	10.1139/cjes	nrc:cjes	0008-4077	1480-3313		2015	Unique_Item_Requests	3	3	0
Canadian Journal of Earth Sciences	NRC Research Press		Canadian Science Publishing	10.1139/cjes	nrc:cjes	0008-4077	1480-3313		2015	Total_Item_Requests	3	3	0
Canadian Journal of Fisheries and Aquatic Sciences	NRC Research Press		Canadian Science Publishing	10.1139/cjfas	nrc:cjfas	0706-652X	1205-7533		1996	Unique_Item_Requests	1	1	0
Canadian Journal of Fisheries and Aquatic Sciences	NRC Research Press		Canadian Science Publishing	10.1139/cjfas	nrc:cjfas	0706-652X	1205-7533		1996	Total_Item_Requests	1	1	0
Canadian Journal of Fisheries and Aquatic Sciences	NRC Research Press		Canadian Science Publishing	10.1139/cjfas	nrc:cjfas	0706-652X	1205-7533		1998	Unique_Item_Requests	2	2	0
Canadian Journal of Fisheries and Aquatic Sciences	NRC Research Press		Canadian Science Publishing	10.1139/cjfas	nrc:cjfas	0706-652X	1205-7533		1998	Total_Item_Requests	2	2	0
Canadian Journal of Fisheries and Aquatic Sciences	NRC Research Press		Canadian Science Publishing	10.1139/cjfas	nrc:cjfas	0706-652X	1205-7533		2008	Unique_Item_Requests	1	1	0
Canadian Journal of Fisheries and Aquatic Sciences	NRC Research Press		Canadian Science Publishing	10.1139/cjfas	nrc:cjfas	0706-652X	1205-7533		2008	Total_Item_Requests	1	1	0
