Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	UNIV OF PRINCE EDWARD ISLAND
Institution_ID	Silverchair:530
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True; Include_Component_Details=True
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Captives of Conquest: Slavery in the Early Modern Spanish Caribbean.	Duke University Press		Duke University Press	Thomas C. Anderson; 	2023-07-01		10.1215/00141801-10443501	Silverchair:381150					Ethnohistory				Journal		Silverchair:1000016		0014-1801	1527-5477												Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Colonial Diffractions in Illiberal Times: Forecasts on the Future	Duke University Press		Duke University Press	Ann Laura Stoler; 	2021-01-01		10.1215/08992363-8742184	Silverchair:173521					Public Culture				Journal		Silverchair:1000034		0899-2363	1527-8018												Article	2021	Controlled	Regular	Unique_Item_Investigations	2	2	0
Disjuncture and Difference in the Global Cultural Economy	Duke University Press		Duke University Press	Arjun Appadurai; 	1990-05-01		10.1215/08992363-2-2-1	Silverchair:32014					Public Culture				Journal		Silverchair:1000034		0899-2363	1527-8018												Article	1990	Controlled	Regular	Unique_Item_Investigations	1	1	0
Gender Dysphoria, Body Dysmorphia, and the Problematic of Body Modification	Penn State University Press		Duke University Press	Sean Bray; 	2015-07-01		10.5325/jspecphil.29.3.0424	Silverchair:247427					The Journal of Speculative Philosophy				Journal		Silverchair:1000205		0891-625X	1527-9383												Article	2015	Controlled	Regular	Unique_Item_Investigations	1	1	0
Health Insurance Loss during COVID-19 May Increase Support for Universal Health Coverage	Duke University Press		Duke University Press	Ashley Fox;  Yongjin Choi;  Heather Lanthorn;  Kevin Croke; 	2022-02-01		10.1215/03616878-9417428	Silverchair:174075					Journal of Health Politics, Policy and Law				Journal		Silverchair:1000002		0361-6878	1527-1927												Article	2022	Controlled	Regular	Unique_Item_Requests	1	1	0
Health Insurance Loss during COVID-19 May Increase Support for Universal Health Coverage	Duke University Press		Duke University Press	Ashley Fox;  Yongjin Choi;  Heather Lanthorn;  Kevin Croke; 	2022-02-01		10.1215/03616878-9417428	Silverchair:174075					Journal of Health Politics, Policy and Law				Journal		Silverchair:1000002		0361-6878	1527-1927												Article	2022	Controlled	Regular	Unique_Item_Investigations	1	1	0
Malintzin’s Origins: Slave? Or Cultural Confusion?	Duke University Press		Duke University Press	Rosamund E. Fitzmaurice; 	2023-07-01		10.1215/00141801-10443447	Silverchair:381156					Ethnohistory				Journal		Silverchair:1000016		0014-1801	1527-5477												Article	2023	Controlled	Regular	Unique_Item_Requests	3	3	0
Malintzin’s Origins: Slave? Or Cultural Confusion?	Duke University Press		Duke University Press	Rosamund E. Fitzmaurice; 	2023-07-01		10.1215/00141801-10443447	Silverchair:381156					Ethnohistory				Journal		Silverchair:1000016		0014-1801	1527-5477												Article	2023	Controlled	Regular	Unique_Item_Investigations	3	3	0
Manteo’s World: Native American Life in Carolina’s Sound Country before and after the Lost Colony	Duke University Press		Duke University Press	Peter Jakob Olsen-Harbich; 	2023-07-01		10.1215/00141801-10443555	Silverchair:381147					Ethnohistory				Journal		Silverchair:1000016		0014-1801	1527-5477												Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Microhistory and the Historical Imagination: New Frontiers	Duke University Press		Duke University Press	Thomas Robisheaux; 	2017-01-01		10.1215/10829636-3716554	Silverchair:1283					Journal of Medieval and Early Modern Studies				Journal		Silverchair:1000022		1082-9636	1527-8263												Article	2017	Controlled	Regular	Unique_Item_Investigations	1	1	0
