Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:00Z
Created_By	EBSCO Information Services

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
ABC-CLIO	Undefined		EBSCOhost	EBSCOhost:conclio	Database	Regular	Searches_Automated	78	78	0
ABC-CLIO eBooks	ABC-CLIO		EBSCOhost	EBSCOhost:edsclb	Database	Regular	Searches_Automated	15715	15715	0
ABC-CLIO Social Studies Databases, Academic Edition	ABC-CLIO		EBSCOhost	EBSCOhost:edsaca	Database	Regular	Searches_Automated	15683	15683	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Book	Regular	Total_Item_Investigations	2	2	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Book	Regular	Total_Item_Requests	1	1	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Book	Regular	Unique_Item_Investigations	1	1	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Book	Regular	Unique_Item_Requests	1	1	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Book	Regular	Unique_Title_Investigations	1	1	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Book	Regular	Unique_Title_Requests	1	1	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Database	Regular	Searches_Automated	22893	22893	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Database	Regular	Searches_Regular	890	890	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Journal	Regular	Total_Item_Investigations	1837	1837	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Journal	Regular	Total_Item_Requests	1200	1200	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Journal	Regular	Unique_Item_Investigations	1296	1296	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Journal	Regular	Unique_Item_Requests	946	946	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Newspaper_or_Newsletter	Regular	Total_Item_Investigations	8	8	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Newspaper_or_Newsletter	Regular	Total_Item_Requests	3	3	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Newspaper_or_Newsletter	Regular	Unique_Item_Investigations	6	6	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Newspaper_or_Newsletter	Regular	Unique_Item_Requests	2	2	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Other	Regular	Total_Item_Investigations	3	3	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Other	Regular	Unique_Item_Investigations	3	3	0
Academic Search Index	EBSCO Publishing		EBSCOhost	EBSCOhost:asx	Database	Regular	Searches_Automated	15957	15957	0
Academic Search Index	EBSCO Publishing		EBSCOhost	EBSCOhost:asx	Journal	Regular	Total_Item_Investigations	30	30	0
Academic Search Index	EBSCO Publishing		EBSCOhost	EBSCOhost:asx	Journal	Regular	Unique_Item_Investigations	27	27	0
AccessEngineering	McGraw-Hill Companies, Inc.		EBSCOhost	EBSCOhost:edsace	Database	Regular	Searches_Automated	15824	15824	0
Accessible Archives	Accessible Archives		EBSCOhost	EBSCOhost:edsaan	Database	Regular	Searches_Automated	15756	15756	0
Accessible Archives	Accessible Archives		EBSCOhost	EBSCOhost:edsaan	Other	Regular	Total_Item_Investigations	3	3	0
Accessible Archives	Accessible Archives		EBSCOhost	EBSCOhost:edsaan	Other	Regular	Unique_Item_Investigations	2	2	0
AccessScience	McGraw-Hill Companies, Inc.		EBSCOhost	EBSCOhost:edsasc	Book	Regular	Total_Item_Investigations	1	1	0
AccessScience	McGraw-Hill Companies, Inc.		EBSCOhost	EBSCOhost:edsasc	Book	Regular	Unique_Item_Investigations	1	1	0
AccessScience	McGraw-Hill Companies, Inc.		EBSCOhost	EBSCOhost:edsasc	Book	Regular	Unique_Title_Investigations	1	1	0
AccessScience	McGraw-Hill Companies, Inc.		EBSCOhost	EBSCOhost:edsasc	Database	Regular	Searches_Automated	15751	15751	0
ACLS Humanities Ebook	American Council of Learned Societies		EBSCOhost	EBSCOhost:edsacl	Book	Regular	Total_Item_Investigations	1	1	0
ACLS Humanities Ebook	American Council of Learned Societies		EBSCOhost	EBSCOhost:edsacl	Book	Regular	Unique_Item_Investigations	1	1	0
ACLS Humanities Ebook	American Council of Learned Societies		EBSCOhost	EBSCOhost:edsacl	Book	Regular	Unique_Title_Investigations	1	1	0
ACLS Humanities Ebook	American Council of Learned Societies		EBSCOhost	EBSCOhost:edsacl	Database	Regular	Searches_Automated	15758	15758	0
ACLS Humanities Ebook	American Council of Learned Societies		EBSCOhost	EBSCOhost:edsacl	Other	Regular	Total_Item_Investigations	3	3	0
ACLS Humanities Ebook	American Council of Learned Societies		EBSCOhost	EBSCOhost:edsacl	Other	Regular	Unique_Item_Investigations	3	3	0
ACM Full-Text Collection	Association for Computing Machinery		EBSCOhost	EBSCOhost:edscma	Database	Regular	Searches_Automated	15725	15725	0
ACM Full-Text Collection	Association for Computing Machinery		EBSCOhost	EBSCOhost:edscma	Journal	Regular	Total_Item_Investigations	7	7	0
ACM Full-Text Collection	Association for Computing Machinery		EBSCOhost	EBSCOhost:edscma	Journal	Regular	Unique_Item_Investigations	5	5	0
