Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:43:15Z
Created_By	EBSCO Information Services

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
AACN Bold Voices	American Association of Critical-Care Nurses		EBSCOhost		EBSCOhost:KBID:568370	1948-7088	1948-7096		Total_Item_Requests	1	1	0
AACN Bold Voices	American Association of Critical-Care Nurses		EBSCOhost		EBSCOhost:KBID:568370	1948-7088	1948-7096		Unique_Item_Requests	1	1	0
Abasyn University Journal of Social Sciences	Abasyn University		EBSCOhost		EBSCOhost:KBID:11047618	1998-152X			Total_Item_Requests	1	1	0
Abasyn University Journal of Social Sciences	Abasyn University		EBSCOhost		EBSCOhost:KBID:11047618	1998-152X			Unique_Item_Requests	1	1	0
About Campus	SAGE Publications		EBSCOhost		EBSCOhost:KBID:491	1086-4822	1536-0687		Total_Item_Requests	2	2	0
About Campus	SAGE Publications		EBSCOhost		EBSCOhost:KBID:491	1086-4822	1536-0687		Unique_Item_Requests	1	1	0
Academe: Bulletin of the AAUP	American Association of University Professors		EBSCOhost		EBSCOhost:KBID:583	0190-2946	2162-5247		Total_Item_Requests	1	1	0
Academe: Bulletin of the AAUP	American Association of University Professors		EBSCOhost		EBSCOhost:KBID:583	0190-2946	2162-5247		Unique_Item_Requests	1	1	0
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	Wiley-Blackwell		EBSCOhost		EBSCOhost:KBID:598	1069-6563	1553-2712		Total_Item_Requests	2	2	0
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	Wiley-Blackwell		EBSCOhost		EBSCOhost:KBID:598	1069-6563	1553-2712		Unique_Item_Requests	2	2	0
Academy of Management Journal	Academy of Management		EBSCOhost		EBSCOhost:KBID:628	0001-4273	1948-0989		Total_Item_Requests	6	6	0
Academy of Management Journal	Academy of Management		EBSCOhost		EBSCOhost:KBID:628	0001-4273	1948-0989		Unique_Item_Requests	3	3	0
Academy of Management Learning & Education	Academy of Management		EBSCOhost		EBSCOhost:KBID:88822	1537-260X	1944-9585		Total_Item_Requests	6	6	0
Academy of Management Learning & Education	Academy of Management		EBSCOhost		EBSCOhost:KBID:88822	1537-260X	1944-9585		Unique_Item_Requests	6	6	0
Academy of Management Review	Academy of Management		EBSCOhost		EBSCOhost:KBID:625	0363-7425	1930-3807		Total_Item_Requests	1	1	0
Academy of Management Review	Academy of Management		EBSCOhost		EBSCOhost:KBID:625	0363-7425	1930-3807		Unique_Item_Requests	1	1	0
Accounting and Finance: Journal of the Accounting Association of Australia and New Zealand	Wiley-Blackwell		EBSCOhost		EBSCOhost:KBID:715	0810-5391	1467-629X		Total_Item_Requests	2	2	0
Accounting and Finance: Journal of the Accounting Association of Australia and New Zealand	Wiley-Blackwell		EBSCOhost		EBSCOhost:KBID:715	0810-5391	1467-629X		Unique_Item_Requests	2	2	0
Accounting in Europe	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:184657	1744-9480	1744-9499		Total_Item_Requests	1	1	0
Accounting in Europe	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:184657	1744-9480	1744-9499		Unique_Item_Requests	1	1	0
ACME: An International Journal for Critical Geographies	Centre for Social, Spatial & Economic Justice		EBSCOhost		EBSCOhost:KBID:102715546	1492-9732	1492-9732		Total_Item_Requests	1	1	0
ACME: An International Journal for Critical Geographies	Centre for Social, Spatial & Economic Justice		EBSCOhost		EBSCOhost:KBID:102715546	1492-9732	1492-9732		Unique_Item_Requests	1	1	0
Acta biochimica polonica	Frontiers Media S.A		EBSCOhost		EBSCOhost:KBID:125085	0001-527X	1734-154X		Total_Item_Requests	2	2	0
Acta biochimica polonica	Frontiers Media S.A		EBSCOhost		EBSCOhost:KBID:125085	0001-527X	1734-154X		Unique_Item_Requests	2	2	0
Acta clinica Croatica	Sestre Milosrdnice Univ Hosp		EBSCOhost		EBSCOhost:KBID:128932	0353-9466	1333-9451		Total_Item_Requests	1	1	0
Acta clinica Croatica	Sestre Milosrdnice Univ Hosp		EBSCOhost		EBSCOhost:KBID:128932	0353-9466	1333-9451		Unique_Item_Requests	1	1	0
Acta Didactica Napocensia	Babes-Bolyai University (Romania)		EBSCOhost		EBSCOhost:KBID:471914		2065-1430		Total_Item_Requests	1	1	0
Acta Didactica Napocensia	Babes-Bolyai University (Romania)		EBSCOhost		EBSCOhost:KBID:471914		2065-1430		Unique_Item_Requests	1	1	0
Acta Neurochirurgica	Springer Science+Business Media		EBSCOhost		EBSCOhost:KBID:1242	0001-6268	0942-0940		Total_Item_Requests	1	1	0
Acta Neurochirurgica	Springer Science+Business Media		EBSCOhost		EBSCOhost:KBID:1242	0001-6268	0942-0940		Unique_Item_Requests	1	1	0
Acta Paediatrica	John Wiley & Sons, Inc		EBSCOhost		EBSCOhost:KBID:279571	0803-5253	1651-2227		Total_Item_Requests	1	1	0
Acta Paediatrica	John Wiley & Sons, Inc		EBSCOhost		EBSCOhost:KBID:279571	0803-5253	1651-2227		Unique_Item_Requests	1	1	0
Acta Zoologica	Wiley-Blackwell		EBSCOhost		EBSCOhost:KBID:1558	0001-7272	1463-6395		Total_Item_Requests	1	1	0
Acta Zoologica	Wiley-Blackwell		EBSCOhost		EBSCOhost:KBID:1558	0001-7272	1463-6395		Unique_Item_Requests	1	1	0
Addiction	John Wiley & Sons, Inc		EBSCOhost		EBSCOhost:KBID:1710	0965-2140	1360-0443		Total_Item_Requests	1	1	0
Addiction	John Wiley & Sons, Inc		EBSCOhost		EBSCOhost:KBID:1710	0965-2140	1360-0443		Unique_Item_Requests	1	1	0
Administration in social work	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:1750	0364-3107	1544-4376		Total_Item_Requests	1	1	0
Administration in social work	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:1750	0364-3107	1544-4376		Unique_Item_Requests	1	1	0
Administrative Science Quarterly	SAGE Publications		EBSCOhost		EBSCOhost:KBID:1763	0001-8392	1930-3815		Total_Item_Requests	2	2	0
Administrative Science Quarterly	SAGE Publications		EBSCOhost		EBSCOhost:KBID:1763	0001-8392	1930-3815		Unique_Item_Requests	2	2	0
Administrative Sciences	MDPI AG		EBSCOhost		EBSCOhost:KBID:927773		2076-3387		Total_Item_Requests	25	25	0
Administrative Sciences	MDPI AG		EBSCOhost		EBSCOhost:KBID:927773		2076-3387		Unique_Item_Requests	14	14	0
Administrative Theory & Praxis	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:123517	1084-1806	1949-0461		Total_Item_Requests	1	1	0
Administrative Theory & Praxis	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:123517	1084-1806	1949-0461		Unique_Item_Requests	1	1	0
Adolescence: An International quarterly devoted to the physiological, psychological, psychiatric, sociological, and education aspects of the second decade of human life	Libra Publishers Incorporated		EBSCOhost		EBSCOhost:KBID:1767	0001-8449			Total_Item_Requests	1	1	0
Adolescence: An International quarterly devoted to the physiological, psychological, psychiatric, sociological, and education aspects of the second decade of human life	Libra Publishers Incorporated		EBSCOhost		EBSCOhost:KBID:1767	0001-8449			Unique_Item_Requests	1	1	0
Adult Learning	SAGE Publications		EBSCOhost		EBSCOhost:KBID:1803	1045-1595	2162-4070		Total_Item_Requests	3	3	0
Adult Learning	SAGE Publications		EBSCOhost		EBSCOhost:KBID:1803	1045-1595	2162-4070		Unique_Item_Requests	1	1	0
Advances in consumer research	Association for Consumer Research		EBSCOhost		EBSCOhost:KBID:1925	0098-9258			Total_Item_Requests	1	1	0
Advances in consumer research	Association for Consumer Research		EBSCOhost		EBSCOhost:KBID:1925	0098-9258			Unique_Item_Requests	1	1	0
Advances in Medical Education and Practice	Dove Medical Press		EBSCOhost		EBSCOhost:KBID:757694		1179-7258		Total_Item_Requests	1	1	0
Advances in Medical Education and Practice	Dove Medical Press		EBSCOhost		EBSCOhost:KBID:757694		1179-7258		Unique_Item_Requests	1	1	0
Advances in Physiology Education	American Physiological Society		EBSCOhost		EBSCOhost:KBID:2053	1043-4046	1522-1229		Total_Item_Requests	1	1	0
Advances in Physiology Education	American Physiological Society		EBSCOhost		EBSCOhost:KBID:2053	1043-4046	1522-1229		Unique_Item_Requests	1	1	0
Advances in Structural Engineering	SAGE Publications		EBSCOhost		EBSCOhost:KBID:2096	1369-4332	2048-4011		Total_Item_Requests	2	2	0
Advances in Structural Engineering	SAGE Publications		EBSCOhost		EBSCOhost:KBID:2096	1369-4332	2048-4011		Unique_Item_Requests	1	1	0
Advances in Therapy	Springer Healthcare Communications		EBSCOhost		EBSCOhost:KBID:96591	0741-238X	1865-8652		Total_Item_Requests	1	1	0
Advances in Therapy	Springer Healthcare Communications		EBSCOhost		EBSCOhost:KBID:96591	0741-238X	1865-8652		Unique_Item_Requests	1	1	0
Advertising Age	Crain Communications Incorporated		EBSCOhost		EBSCOhost:KBID:2139	0001-8899	1557-7414		Total_Item_Requests	1	1	0
Advertising Age	Crain Communications Incorporated		EBSCOhost		EBSCOhost:KBID:2139	0001-8899	1557-7414		Unique_Item_Requests	1	1	0
Adweek (USA)	Adweek, LLC		EBSCOhost		EBSCOhost:KBID:2191	1549-9553			Total_Item_Requests	1	1	0
Adweek (USA)	Adweek, LLC		EBSCOhost		EBSCOhost:KBID:2191	1549-9553			Unique_Item_Requests	1	1	0
AEA Papers and Proceedings	American Economic Association		EBSCOhost		EBSCOhost:KBID:17628610	2574-0768	2574-0776		Total_Item_Requests	1	1	0
AEA Papers and Proceedings	American Economic Association		EBSCOhost		EBSCOhost:KBID:17628610	2574-0768	2574-0776		Unique_Item_Requests	1	1	0
African Business (Africa)	IC Publications Limited		EBSCOhost		EBSCOhost:KBID:2350	0141-3929	2059-3848		Total_Item_Requests	2	2	0
African Business (Africa)	IC Publications Limited		EBSCOhost		EBSCOhost:KBID:2350	0141-3929	2059-3848		Unique_Item_Requests	1	1	0
African Journal of Reproductive Health = La Revue Africaine de la Santé Reproductive	Women's Health and Action Research Centre		EBSCOhost		EBSCOhost:KBID:102692	1118-4841	2141-3606		Total_Item_Requests	1	1	0
African Journal of Reproductive Health = La Revue Africaine de la Santé Reproductive	Women's Health and Action Research Centre		EBSCOhost		EBSCOhost:KBID:102692	1118-4841	2141-3606		Unique_Item_Requests	1	1	0
Age and Ageing	Oxford University Press		EBSCOhost		EBSCOhost:KBID:2463	0002-0729	1468-2834		Total_Item_Requests	7	7	0
Age and Ageing	Oxford University Press		EBSCOhost		EBSCOhost:KBID:2463	0002-0729	1468-2834		Unique_Item_Requests	3	3	0
Aging & Mental Health	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:2516	1360-7863	1364-6915		Total_Item_Requests	10	10	0
Aging & Mental Health	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:2516	1360-7863	1364-6915		Unique_Item_Requests	7	7	0
Aging, Neuropsychology, and Cognition: A Journal on Normal and Dysfunctional Development	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:2519	1382-5585	1744-4128		Total_Item_Requests	6	6	0
Aging, Neuropsychology, and Cognition: A Journal on Normal and Dysfunctional Development	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:2519	1382-5585	1744-4128		Unique_Item_Requests	6	6	0
Agrarni Nauki	Agricultural Sciences		EBSCOhost		EBSCOhost:KBID:11047838	1313-6577			Total_Item_Requests	1	1	0
Agrarni Nauki	Agricultural Sciences		EBSCOhost		EBSCOhost:KBID:11047838	1313-6577			Unique_Item_Requests	1	1	0
Agriculture	MDPI AG		EBSCOhost		EBSCOhost:KBID:19193280		2077-0472		Total_Item_Requests	3	3	0
Agriculture	MDPI AG		EBSCOhost		EBSCOhost:KBID:19193280		2077-0472		Unique_Item_Requests	2	2	0
Agriculture & Food Security	BioMed Central		EBSCOhost		EBSCOhost:KBID:1248389		2048-7010		Total_Item_Requests	1	1	0
Agriculture & Food Security	BioMed Central		EBSCOhost		EBSCOhost:KBID:1248389		2048-7010		Unique_Item_Requests	1	1	0
AGRIS on-line Papers in Economics and Informatics	Faculty of Economics and Management CULS Prague		EBSCOhost		EBSCOhost:KBID:665540		1804-1930		Total_Item_Requests	1	1	0
AGRIS on-line Papers in Economics and Informatics	Faculty of Economics and Management CULS Prague		EBSCOhost		EBSCOhost:KBID:665540		1804-1930		Unique_Item_Requests	1	1	0
Agronomy	MDPI AG		EBSCOhost		EBSCOhost:KBID:1644109		2073-4395		Total_Item_Requests	5	5	0
Agronomy	MDPI AG		EBSCOhost		EBSCOhost:KBID:1644109		2073-4395		Unique_Item_Requests	2	2	0
Agrárinformatika Folyóirat	Hungarian Association of Agricultural Informatics		EBSCOhost		EBSCOhost:KBID:795180	2061-862X			Total_Item_Requests	1	1	0
Agrárinformatika Folyóirat	Hungarian Association of Agricultural Informatics		EBSCOhost		EBSCOhost:KBID:795180	2061-862X			Unique_Item_Requests	1	1	0
AI Practitioner	INSTITUUT INTERVENTION STUDIES		EBSCOhost		EBSCOhost:KBID:678779	1741-8224			Total_Item_Requests	1	1	0
AI Practitioner	INSTITUUT INTERVENTION STUDIES		EBSCOhost		EBSCOhost:KBID:678779	1741-8224			Unique_Item_Requests	1	1	0
AIDS Care: Psychological and Socio-medical Aspects of AIDS/HIV	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:2721	0954-0121	1360-0451		Total_Item_Requests	3	3	0
AIDS Care: Psychological and Socio-medical Aspects of AIDS/HIV	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:2721	0954-0121	1360-0451		Unique_Item_Requests	2	2	0
AIDS Education and Prevention	Guilford Press		EBSCOhost		EBSCOhost:KBID:2725	0899-9546	1943-2755		Total_Item_Requests	1	1	0
AIDS Education and Prevention	Guilford Press		EBSCOhost		EBSCOhost:KBID:2725	0899-9546	1943-2755		Unique_Item_Requests	1	1	0
Aircraft Value News (USA)	Access Intelligence		EBSCOhost		EBSCOhost:KBID:2810	1071-0655			Total_Item_Requests	1	1	0
Aircraft Value News (USA)	Access Intelligence		EBSCOhost		EBSCOhost:KBID:2810	1071-0655			Unique_Item_Requests	1	1	0
Alberta Journal of Educational Research	University of Alberta		EBSCOhost		EBSCOhost:KBID:93686	0002-4805	1923-1857		Total_Item_Requests	2	2	0
Alberta Journal of Educational Research	University of Alberta		EBSCOhost		EBSCOhost:KBID:93686	0002-4805	1923-1857		Unique_Item_Requests	2	2	0
Alcohol and Alcoholism	Oxford University Press		EBSCOhost		EBSCOhost:KBID:3023	0735-0414	1464-3502		Total_Item_Requests	1	1	0
Alcohol and Alcoholism	Oxford University Press		EBSCOhost		EBSCOhost:KBID:3023	0735-0414	1464-3502		Unique_Item_Requests	1	1	0
Alcoholism & Drug Abuse Weekly	John Wiley & Sons Incorporated		EBSCOhost		EBSCOhost:KBID:123727	1042-1394	1556-7591		Total_Item_Requests	2	2	0
Alcoholism & Drug Abuse Weekly	John Wiley & Sons Incorporated		EBSCOhost		EBSCOhost:KBID:123727	1042-1394	1556-7591		Unique_Item_Requests	1	1	0
Alcoholism: Clinical & Experimental Research	Lippincott, Williams & Wilkins		EBSCOhost		EBSCOhost:KBID:3038	0145-6008	1530-0277		Total_Item_Requests	1	1	0
Alcoholism: Clinical & Experimental Research	Lippincott, Williams & Wilkins		EBSCOhost		EBSCOhost:KBID:3038	0145-6008	1530-0277		Unique_Item_Requests	1	1	0
Alcoholism: Clinical and Experimental Research	John Wiley & Sons, Inc		EBSCOhost		EBSCOhost:KBID:102441	0145-6008	1530-0277		Total_Item_Requests	3	3	0
Alcoholism: Clinical and Experimental Research	John Wiley & Sons, Inc		EBSCOhost		EBSCOhost:KBID:102441	0145-6008	1530-0277		Unique_Item_Requests	3	3	0
Allergy, Asthma, and Clinical Immunology: Official Journal of the Canadian Society of Allergy and Clinical Immunology	BioMed Central		EBSCOhost		EBSCOhost:KBID:568841	1710-1484	1710-1492		Total_Item_Requests	1	1	0
Allergy, Asthma, and Clinical Immunology: Official Journal of the Canadian Society of Allergy and Clinical Immunology	BioMed Central		EBSCOhost		EBSCOhost:KBID:568841	1710-1484	1710-1492		Unique_Item_Requests	1	1	0
AMBIO: A Journal of the Human Environment	Springer Nature		EBSCOhost		EBSCOhost:KBID:3325	0044-7447	1654-7209		Total_Item_Requests	3	3	0
AMBIO: A Journal of the Human Environment	Springer Nature		EBSCOhost		EBSCOhost:KBID:3325	0044-7447	1654-7209		Unique_Item_Requests	2	2	0
American Communist History	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:79332	1474-3892	1474-3906		Total_Item_Requests	2	2	0
American Communist History	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:79332	1474-3892	1474-3906		Unique_Item_Requests	1	1	0
American Family Physician	American Academy of Family Physicians		EBSCOhost		EBSCOhost:KBID:3543	0002-838X	1532-0650		Total_Item_Requests	2	2	0
American Family Physician	American Academy of Family Physicians		EBSCOhost		EBSCOhost:KBID:3543	0002-838X	1532-0650		Unique_Item_Requests	2	2	0
American journal of audiology	American Speech-Language-Hearing Association		EBSCOhost		EBSCOhost:KBID:3659	1059-0889	1558-9137		Total_Item_Requests	1	1	0
American journal of audiology	American Speech-Language-Hearing Association		EBSCOhost		EBSCOhost:KBID:3659	1059-0889	1558-9137		Unique_Item_Requests	1	1	0
American journal of bioethics : AJOB	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:3660	1526-5161	1536-0075		Total_Item_Requests	3	3	0
American journal of bioethics : AJOB	Taylor & Francis		EBSCOhost		EBSCOhost:KBID:3660	1526-5161	1536-0075		Unique_Item_Requests	1	1	0
American Journal of Community Psychology	John Wiley & Sons, Inc		EBSCOhost		EBSCOhost:KBID:9964693	0091-0562	1573-2770		Total_Item_Requests	2	2	0
American Journal of Community Psychology	John Wiley & Sons, Inc		EBSCOhost		EBSCOhost:KBID:9964693	0091-0562	1573-2770		Unique_Item_Requests	2	2	0
American journal of critical care	American Association of Critical-Care Nurses		EBSCOhost		EBSCOhost:KBID:3689	1062-3264	1937-710X		Total_Item_Requests	1	1	0
American journal of critical care	American Association of Critical-Care Nurses		EBSCOhost		EBSCOhost:KBID:3689	1062-3264	1937-710X		Unique_Item_Requests	1	1	0
American journal of health behavior	PNG Publications		EBSCOhost		EBSCOhost:KBID:3723	1087-3244	1945-7359		Total_Item_Requests	1	1	0
American journal of health behavior	PNG Publications		EBSCOhost		EBSCOhost:KBID:3723	1087-3244	1945-7359		Unique_Item_Requests	1	1	0
American Journal of Health Promotion	SAGE Publications		EBSCOhost		EBSCOhost:KBID:96779	0890-1171	2168-6602		Total_Item_Requests	3	3	0
American Journal of Health Promotion	SAGE Publications		EBSCOhost		EBSCOhost:KBID:96779	0890-1171	2168-6602		Unique_Item_Requests	2	2	0
American journal of health-system pharmacy: AJHP: official journal of the American Society of Health-System Pharmacists	Oxford University Press		EBSCOhost		EBSCOhost:KBID:3732	1079-2082	1535-2900		Total_Item_Requests	3	3	0
American journal of health-system pharmacy: AJHP: official journal of the American Society of Health-System Pharmacists	Oxford University Press		EBSCOhost		EBSCOhost:KBID:3732	1079-2082	1535-2900		Unique_Item_Requests	1	1	0
American journal of men's health	SAGE Publications		EBSCOhost		EBSCOhost:KBID:199232	1557-9883	1557-9891		Total_Item_Requests	1	1	0
American journal of men's health	SAGE Publications		EBSCOhost		EBSCOhost:KBID:199232	1557-9883	1557-9891		Unique_Item_Requests	1	1	0
American Journal of Orthopsychiatry	American Psychological Association		EBSCOhost		EBSCOhost:KBID:3792	0002-9432	1939-0025		Total_Item_Requests	2	2	0
American Journal of Orthopsychiatry	American Psychological Association		EBSCOhost		EBSCOhost:KBID:3792	0002-9432	1939-0025		Unique_Item_Requests	1	1	0
American Journal of Physiology: Regulatory, Integrative and Comparative Physiology	American Physiological Society		EBSCOhost		EBSCOhost:KBID:3819	0363-6119	1522-1490		Total_Item_Requests	1	1	0
American Journal of Physiology: Regulatory, Integrative and Comparative Physiology	American Physiological Society		EBSCOhost		EBSCOhost:KBID:3819	0363-6119	1522-1490		Unique_Item_Requests	1	1	0
American Journal of Public Health	American Public Health Association		EBSCOhost		EBSCOhost:KBID:3865	0090-0036	1541-0048		Total_Item_Requests	2	2	0
American Journal of Public Health	American Public Health Association		EBSCOhost		EBSCOhost:KBID:3865	0090-0036	1541-0048		Unique_Item_Requests	2	2	0
American Libraries	American Library Association		EBSCOhost		EBSCOhost:KBID:3941	0002-9769	2163-5129		Total_Item_Requests	2	2	0
American Libraries	American Library Association		EBSCOhost		EBSCOhost:KBID:3941	0002-9769	2163-5129		Unique_Item_Requests	2	2	0
American Music Teacher	Music Teachers National Association		EBSCOhost		EBSCOhost:KBID:4047	0003-0112			Total_Item_Requests	1	1	0
American Music Teacher	Music Teachers National Association		EBSCOhost		EBSCOhost:KBID:4047	0003-0112			Unique_Item_Requests	1	1	0
American Psychologist	American Psychological Association		EBSCOhost		EBSCOhost:KBID:4106	0003-066X	1935-990X		Total_Item_Requests	5	5	0
American Psychologist	American Psychological Association		EBSCOhost		EBSCOhost:KBID:4106	0003-066X	1935-990X		Unique_Item_Requests	5	5	0
American Record Guide	Record Guide Publications		EBSCOhost		EBSCOhost:KBID:4114	0003-0716			Total_Item_Requests	69	69	0
American Record Guide	Record Guide Publications		EBSCOhost		EBSCOhost:KBID:4114	0003-0716			Unique_Item_Requests	66	66	0
American Review of Canadian Studies	Association for Canadian Studies in the United States		EBSCOhost		EBSCOhost:KBID:4118	0272-2011	1943-9954		Total_Item_Requests	1	1	0
American Review of Canadian Studies	Association for Canadian Studies in the United States		EBSCOhost		EBSCOhost:KBID:4118	0272-2011	1943-9954		Unique_Item_Requests	1	1	0
Animal Biology	Brill Academic Publishers		EBSCOhost		EBSCOhost:KBID:83891	1570-7555	1570-7563		Total_Item_Requests	3	3	0
Animal Biology	Brill Academic Publishers		EBSCOhost		EBSCOhost:KBID:83891	1570-7555	1570-7563		Unique_Item_Requests	1	1	0
Animal Cognition	Springer Nature		EBSCOhost		EBSCOhost:KBID:4721	1435-9448	1435-9456		Total_Item_Requests	1	1	0
Animal Cognition	Springer Nature		EBSCOhost		EBSCOhost:KBID:4721	1435-9448	1435-9456		Unique_Item_Requests	1	1	0
Animal Genetics	John Wiley & Sons, Inc		EBSCOhost		EBSCOhost:KBID:4725	0268-9146	1365-2052		Total_Item_Requests	1	1	0
