Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:43:35Z
Created_By	EBSCO Information Services

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
AACN Bold Voices	American Association of Critical-Care Nurses		EBSCOhost		EBSCOhost:KBID:568370	1948-7088	1948-7096		2012	Total_Item_Requests	1	1	0
AACN Bold Voices	American Association of Critical-Care Nurses		EBSCOhost		EBSCOhost:KBID:568370	1948-7088	1948-7096		2012	Unique_Item_Requests	1	1	0
Abasyn University Journal of Social Sciences	Abasyn University		EBSCOhost		EBSCOhost:KBID:11047618	1998-152X			2020	Total_Item_Requests	1	1	0
Abasyn University Journal of Social Sciences	Abasyn University		EBSCOhost		EBSCOhost:KBID:11047618	1998-152X			2020	Unique_Item_Requests	1	1	0
About Campus	SAGE Publications		EBSCOhost		EBSCOhost:KBID:491	1086-4822	1536-0687		2016	Total_Item_Requests	2	2	0
About Campus	SAGE Publications		EBSCOhost		EBSCOhost:KBID:491	1086-4822	1536-0687		2016	Unique_Item_Requests	1	1	0
Academe: Bulletin of the AAUP	American Association of University Professors		EBSCOhost		EBSCOhost:KBID:583	0190-2946	2162-5247		2010	Total_Item_Requests	1	1	0
Academe: Bulletin of the AAUP	American Association of University Professors		EBSCOhost		EBSCOhost:KBID:583	0190-2946	2162-5247		2010	Unique_Item_Requests	1	1	0
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	Wiley-Blackwell		EBSCOhost		EBSCOhost:KBID:598	1069-6563	1553-2712		2019	Total_Item_Requests	1	1	0
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	Wiley-Blackwell		EBSCOhost		EBSCOhost:KBID:598	1069-6563	1553-2712		2019	Unique_Item_Requests	1	1	0
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	Wiley-Blackwell		EBSCOhost		EBSCOhost:KBID:598	1069-6563	1553-2712		2022	Total_Item_Requests	1	1	0
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	Wiley-Blackwell		EBSCOhost		EBSCOhost:KBID:598	1069-6563	1553-2712		2022	Unique_Item_Requests	1	1	0
