Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	emeraldinsight:2e386820_7216_4455_9342_68bb65d29df0
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Article; Parent_Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage not ready for requested dates (No usage data after Jan 2024 is available)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:36+00:00
Created_By	LibLynx LLC for Emerald Insight

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A comprehensive guide to strategic management and its future	Emerald Insight		Emerald Insight				10.1108/SL-01-2022-0006					Strategy & Leadership			10.1108/SL		1087-8572			Controlled	Total_Item_Requests	1	1	0
A comprehensive guide to strategic management and its future	Emerald Insight		Emerald Insight				10.1108/SL-01-2022-0006					Strategy & Leadership			10.1108/SL		1087-8572			Controlled	Unique_Item_Requests	1	1	0
Book review: Positive Academic Leadership: How to Stop Putting Out Fires and Start Making a Difference	Emerald Insight		Emerald Insight				10.1108/LTHE-03-2021-055					Learning and Teaching in Higher Education: Gulf Perspectives			10.1108/LTHE		2077-5504			OA_Gold	Total_Item_Requests	1	1	0
Book review: Positive Academic Leadership: How to Stop Putting Out Fires and Start Making a Difference	Emerald Insight		Emerald Insight				10.1108/LTHE-03-2021-055					Learning and Teaching in Higher Education: Gulf Perspectives			10.1108/LTHE		2077-5504			OA_Gold	Unique_Item_Requests	1	1	0
Case study on the effects of a disability inclusive mindset in a large biotechnology company	Emerald Insight		Emerald Insight				10.1108/JWAM-06-2021-0045					Journal of Work-Applied Management			10.1108/JWAM		2205-2062			OA_Gold	Total_Item_Requests	4	4	0
Case study on the effects of a disability inclusive mindset in a large biotechnology company	Emerald Insight		Emerald Insight				10.1108/JWAM-06-2021-0045					Journal of Work-Applied Management			10.1108/JWAM		2205-2062			OA_Gold	Unique_Item_Requests	1	1	0
Climate impact assessment and “islandness”: Challenges and opportunities of knowledge production and decision-making for Small Island Developing States	Emerald Insight		Emerald Insight				10.1108/IJCCSM-06-2017-0142					International Journal of Climate Change Strategies and Management			10.1108/IJCCSM		1756-8692			OA_Gold	Total_Item_Requests	1	1	0
Climate impact assessment and “islandness”: Challenges and opportunities of knowledge production and decision-making for Small Island Developing States	Emerald Insight		Emerald Insight				10.1108/IJCCSM-06-2017-0142					International Journal of Climate Change Strategies and Management			10.1108/IJCCSM		1756-8692			OA_Gold	Unique_Item_Requests	1	1	0
Effects of social, environmental, and institutional factors on sustainability report assurance: evidence from European countries	Emerald Insight		Emerald Insight				10.1108/MEDAR-03-2019-0462					Meditari Accountancy Research			10.1108/MEDAR		2049-372X			OA_Gold	Total_Item_Requests	2	2	0
Effects of social, environmental, and institutional factors on sustainability report assurance: evidence from European countries	Emerald Insight		Emerald Insight				10.1108/MEDAR-03-2019-0462					Meditari Accountancy Research			10.1108/MEDAR		2049-372X			OA_Gold	Unique_Item_Requests	1	1	0
Evaluating the impact of cross-institutional teaching enhancement collaborations using a professional capital framework	Emerald Insight		Emerald Insight				10.1108/JPCC-03-2023-0021					Journal of Professional Capital and Community			10.1108/JPCC		2056-9548			OA_Gold	Total_Item_Requests	1	1	0
Evaluating the impact of cross-institutional teaching enhancement collaborations using a professional capital framework	Emerald Insight		Emerald Insight				10.1108/JPCC-03-2023-0021					Journal of Professional Capital and Community			10.1108/JPCC		2056-9548			OA_Gold	Unique_Item_Requests	1	1	0
Psychotherapy with persons with intellectual disabilities: a review of effectiveness research	Emerald Insight		Emerald Insight				10.1108/20441281111180673					Advances in Mental Health and Intellectual Disabilities			10.1108/AMHID		2044-1282			Controlled	Total_Item_Requests	2	2	0
Psychotherapy with persons with intellectual disabilities: a review of effectiveness research	Emerald Insight		Emerald Insight				10.1108/20441281111180673					Advances in Mental Health and Intellectual Disabilities			10.1108/AMHID		2044-1282			Controlled	Unique_Item_Requests	1	1	0
The educational impacts of young people's participation in organised sport: a systematic review	Emerald Insight		Emerald Insight				10.1108/JCS-04-2013-0014					Journal of Children's Services			10.1108/JCS		1746-6660			Controlled	Total_Item_Requests	2	2	0
The educational impacts of young people's participation in organised sport: a systematic review	Emerald Insight		Emerald Insight				10.1108/JCS-04-2013-0014					Journal of Children's Services			10.1108/JCS		1746-6660			Controlled	Unique_Item_Requests	1	1	0
The Role of Trust in Social Entrepreneurship: A Case Study of Global Brigades	Emerald Insight		Emerald Insight				10.1108/NEJE-20-01-2017-B004					New England Journal of Entrepreneurship			10.1108/NEJE		2574-8904			Controlled	Total_Item_Requests	1	1	0
The Role of Trust in Social Entrepreneurship: A Case Study of Global Brigades	Emerald Insight		Emerald Insight				10.1108/NEJE-20-01-2017-B004					New England Journal of Entrepreneurship			10.1108/NEJE		2574-8904			Controlled	Unique_Item_Requests	1	1	0
What’s not to like about evidence-based management: a hyper-rational fad?	Emerald Insight		Emerald Insight				10.1108/IJOA-06-2020-2278					International Journal of Organizational Analysis			10.1108/IJOA		1934-8835			OA_Gold	Total_Item_Requests	1	1	0
What’s not to like about evidence-based management: a hyper-rational fad?	Emerald Insight		Emerald Insight				10.1108/IJOA-06-2020-2278					International Journal of Organizational Analysis			10.1108/IJOA		1934-8835			OA_Gold	Unique_Item_Requests	1	1	0
