Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	emeraldinsight:2e386820_7216_4455_9342_68bb65d29df0
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage not ready for requested dates (No usage data after Jan 2024 is available)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:27+00:00
Created_By	LibLynx LLC for Emerald Insight

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Advances in Mental Health and Intellectual Disabilities	Emerald Insight		Emerald Insight	10.1108/AMHID		2044-1282	2044-1282		Controlled	Total_Item_Investigations	2	2	0
Advances in Mental Health and Intellectual Disabilities	Emerald Insight		Emerald Insight	10.1108/AMHID		2044-1282	2044-1282		Controlled	Unique_Item_Investigations	1	1	0
Advances in Mental Health and Intellectual Disabilities	Emerald Insight		Emerald Insight	10.1108/AMHID		2044-1282	2044-1282		Controlled	Total_Item_Requests	2	2	0
Advances in Mental Health and Intellectual Disabilities	Emerald Insight		Emerald Insight	10.1108/AMHID		2044-1282	2044-1282		Controlled	Unique_Item_Requests	1	1	0
Aircraft Engineering and Aerospace Technology	Emerald Insight		Emerald Insight	10.1108/AEAT		1748-8842	1748-8842		Controlled	Total_Item_Investigations	1	1	0
Aircraft Engineering and Aerospace Technology	Emerald Insight		Emerald Insight	10.1108/AEAT		1748-8842	1748-8842		Controlled	Unique_Item_Investigations	1	1	0
Benchmarking for Quality Management & Technology	Emerald Insight		Emerald Insight	10.1108/bqmt		1351-3036			Controlled	Total_Item_Investigations	1	1	0
Benchmarking for Quality Management & Technology	Emerald Insight		Emerald Insight	10.1108/bqmt		1351-3036			Controlled	Unique_Item_Investigations	1	1	0
Benchmarking: An International Journal	Emerald Insight		Emerald Insight	10.1108/BIJ		1463-5771			Controlled	Total_Item_Investigations	4	4	0
Benchmarking: An International Journal	Emerald Insight		Emerald Insight	10.1108/BIJ		1463-5771			Controlled	Unique_Item_Investigations	3	3	0
Career Development International	Emerald Insight		Emerald Insight	10.1108/CDI		1362-0436			Controlled	Total_Item_Investigations	4	4	0
Career Development International	Emerald Insight		Emerald Insight	10.1108/CDI		1362-0436			Controlled	Unique_Item_Investigations	4	4	0
Chinese Management Studies	Emerald Insight		Emerald Insight	10.1108/CMS		1750-614X	1750-614X		Controlled	Total_Item_Investigations	3	3	0
Chinese Management Studies	Emerald Insight		Emerald Insight	10.1108/CMS		1750-614X	1750-614X		Controlled	Unique_Item_Investigations	1	1	0
Cross Cultural Management: An International Journal	Emerald Insight		Emerald Insight	10.1108/ccm		1352-7606			Controlled	Total_Item_Investigations	3	3	0
Cross Cultural Management: An International Journal	Emerald Insight		Emerald Insight	10.1108/ccm		1352-7606			Controlled	Unique_Item_Investigations	2	2	0
Development and Learning in Organizations: An International Journal	Emerald Insight		Emerald Insight	10.1108/DLO		1477-7282	1477-7282		Controlled	Total_Item_Investigations	1	1	0
Development and Learning in Organizations: An International Journal	Emerald Insight		Emerald Insight	10.1108/DLO		1477-7282	1477-7282		Controlled	Unique_Item_Investigations	1	1	0
Engineering, Construction and Architectural Management	Emerald Insight		Emerald Insight	10.1108/ECAM		0969-9988			Controlled	Total_Item_Investigations	1	1	0
