Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	University of Prince Edward Island Robertson Library
Institution_ID	infobase:104142
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:47+00:00
Created_By	LibLynx LLC for Infobase

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Credo Reference	Infobase		Credo Reference	infobase:376	Database	Regular	No_License	1	0	1
Films On Demand	Infobase		Films On Demand	infobase:1001	Database	Regular	Searches_Regular	11	4	7
