Report_Name	Database Search and Item Usage
Report_ID	DR_D1
Release	5
Institution_Name	University of Prince Edward Island Robertson Library
Institution_ID	infobase:104142
Metric_Types	Searches_Automated; Searches_Federated; Searches_Regular; Total_Item_Investigations; Total_Item_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:50+00:00
Created_By	LibLynx LLC for Infobase

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Films On Demand	Infobase		Films On Demand	infobase:1001	Searches_Regular	11	4	7
