Report_Name	Database Search and Item Usage
Report_ID	DR_D1
Release	5
Institution_Name	UPEI
Institution_ID	Gale:otta0998
Metric_Types	Searches_Automated; Searches_Federated; Searches_Regular; Total_Item_Investigations; Total_Item_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:43:31Z
Created_By	Gale

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Eighteenth Century Collections Online 1	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ECCO-ALL	Searches_Regular	2	0	2
Eighteenth Century Collections Online 1	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ECCO-ALL	Total_Item_Investigations	4	4	0
Eighteenth Century Collections Online 1	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ECCO-ALL	Total_Item_Requests	4	4	0
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Searches_Regular	181	80	101
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Total_Item_Investigations	371	131	240
Gale Academic OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:AONE	Total_Item_Requests	369	129	240
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Searches_Regular	63	47	16
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Total_Item_Investigations	80	42	38
Gale Business: Insights	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GBIB	Total_Item_Requests	79	42	37
Gale General OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITOF	Searches_Regular	197	100	97
Gale General OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITOF	Total_Item_Investigations	238	141	97
Gale General OneFile	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITOF	Total_Item_Requests	238	141	97
Gale Health and Wellness	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:HWRC	Searches_Regular	8	0	8
Gale Health and Wellness	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:HWRC	Total_Item_Investigations	2	0	2
Gale Health and Wellness	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:HWRC	Total_Item_Requests	2	0	2
Gale In Context: Biography	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:BIC	Searches_Regular	6	3	3
Gale In Context: College	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CSIC	Searches_Regular	6	1	5
Gale In Context: College	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CSIC	Total_Item_Investigations	2	0	2
Gale In Context: College	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CSIC	Total_Item_Requests	2	0	2
Gale In Context: Environmental Studies	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GRNR	Searches_Regular	5	1	4
Gale In Context: Global Issues	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GIC	Searches_Regular	12	5	7
Gale In Context: Global Issues	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GIC	Total_Item_Investigations	2	1	1
Gale In Context: Global Issues	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GIC	Total_Item_Requests	1	0	1
Gale In Context: Opposing Viewpoints	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:OVIC	Searches_Regular	10	4	6
Gale In Context: Opposing Viewpoints	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:OVIC	Total_Item_Investigations	1	0	1
Gale In Context: Opposing Viewpoints	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:OVIC	Total_Item_Requests	1	0	1
Gale In Context: Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:SCIC	Searches_Regular	8	1	7
Gale In Context: Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:SCIC	Total_Item_Investigations	4	0	4
Gale In Context: Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:SCIC	Total_Item_Requests	4	0	4
Gale In Context: U.S. History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:UHIC	Searches_Regular	26	22	4
Gale In Context: U.S. History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:UHIC	Total_Item_Investigations	6	6	0
Gale In Context: U.S. History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:UHIC	Total_Item_Requests	6	6	0
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Searches_Regular	44	39	5
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Total_Item_Investigations	35	35	0
