Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	UPEI
Institution_ID	Gale:otta0998
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:43:24Z
Created_By	Gale

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Gale	Searches_Platform	833	453	380
Gale	Total_Item_Requests	1475	652	823
Gale	Unique_Item_Requests	1149	518	631
Gale	Unique_Title_Requests	82	63	19
