Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	Silverchair:2320
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True; Include_Component_Details=True
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
High primary productivity in an Ediacaran shallow marine basin influenced by strong seasonal to perennial upwelling	Cambridge University Press		GeoScienceWorld	A.H. Ansari;  S.K. Pandey;  Shamim Ahmad;  Mukund Sharma;  Pawan Govil;  Amritpal Singh Chaddha;  Anupam Sharma; 	2023-10-19		10.1017/S0016756823000614	Silverchair:628785					Geological Magazine				Journal		Silverchair:40		0016-7568	1469-5081												Article	2023	OA_Gold	Regular	Unique_Item_Requests	1	1	0
High primary productivity in an Ediacaran shallow marine basin influenced by strong seasonal to perennial upwelling	Cambridge University Press		GeoScienceWorld	A.H. Ansari;  S.K. Pandey;  Shamim Ahmad;  Mukund Sharma;  Pawan Govil;  Amritpal Singh Chaddha;  Anupam Sharma; 	2023-10-19		10.1017/S0016756823000614	Silverchair:628785					Geological Magazine				Journal		Silverchair:40		0016-7568	1469-5081												Article	2023	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Particle Leaching and Particle-Facilitated Transport of Phosphorus at Field Scale	Soil Science Society of America		GeoScienceWorld	L. W. de Jonge;  P. Moldrup;  G. H. Rubæk;  K. Schelde;  J. Djurhuus; 	2004-05-01		10.2113/3.2.462	Silverchair:91642					Vadose Zone Journal				Journal		Silverchair:74		1539-1663													Article	2004	Controlled	Regular	Unique_Item_Requests	3	3	0
Particle Leaching and Particle-Facilitated Transport of Phosphorus at Field Scale	Soil Science Society of America		GeoScienceWorld	L. W. de Jonge;  P. Moldrup;  G. H. Rubæk;  K. Schelde;  J. Djurhuus; 	2004-05-01		10.2113/3.2.462	Silverchair:91642					Vadose Zone Journal				Journal		Silverchair:74		1539-1663													Article	2004	Controlled	Regular	Unique_Item_Investigations	3	3	0
