Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	UNIV OF P E I
Institution_ID	slack:UNIV OF P E I
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2021-03-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:44:39Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
An Introduction to Multiple Personality Disorder	SLACK Incorporated		slack	Richard P Kluft; 	1984-01-01	VoR	10.3928/0048-5713-19840101-05						Psychiatric Annals				Journal	10.3928/PSYCH	slack:psych		0048-5713	1938-2456												Article	1984	Controlled	Regular	Unique_Item_Investigations	1	1	0
An Introduction to Multiple Personality Disorder	SLACK Incorporated		slack	Richard P Kluft; 	1984-01-01	VoR	10.3928/0048-5713-19840101-05						Psychiatric Annals				Journal	10.3928/PSYCH	slack:psych		0048-5713	1938-2456												Article	1984	Controlled	Regular	Total_Item_Investigations	2	2	0
Aspects of the Treatment of Multiple Personality Disorder	SLACK Incorporated		slack	Richard P Kluft; 	1984-01-01	VoR	10.3928/0048-5713-19840101-09						Psychiatric Annals				Journal	10.3928/PSYCH	slack:psych		0048-5713	1938-2456												Article	1984	Controlled	Regular	No_License	2	2	0
Aspects of the Treatment of Multiple Personality Disorder	SLACK Incorporated		slack	Richard P Kluft; 	1984-01-01	VoR	10.3928/0048-5713-19840101-09						Psychiatric Annals				Journal	10.3928/PSYCH	slack:psych		0048-5713	1938-2456												Article	1984	Controlled	Regular	Unique_Item_Investigations	1	1	0
Aspects of the Treatment of Multiple Personality Disorder	SLACK Incorporated		slack	Richard P Kluft; 	1984-01-01	VoR	10.3928/0048-5713-19840101-09						Psychiatric Annals				Journal	10.3928/PSYCH	slack:psych		0048-5713	1938-2456												Article	1984	Controlled	Regular	Total_Item_Investigations	1	1	0
Improving the Knowledge, Attitudes, and Behavioral Intentions of Perinatal Care Providers Toward Childbearing Individuals Identifying as LGBTQ: A Quasi-Experimental Study	SLACK Incorporated		slack	Betsy Crane, Edward P. Lemay, Randi Beth Singer, Sara Omary; 	2019-06-12	VoR	10.3928/00220124-20190612-05						The Journal of Continuing Education in Nursing				Journal	10.3928/JCEN	slack:jcen		0022-0124													Article	2019	Controlled	Regular	Unique_Item_Investigations	3	3	0
Improving the Knowledge, Attitudes, and Behavioral Intentions of Perinatal Care Providers Toward Childbearing Individuals Identifying as LGBTQ: A Quasi-Experimental Study	SLACK Incorporated		slack	Betsy Crane, Edward P. Lemay, Randi Beth Singer, Sara Omary; 	2019-06-12	VoR	10.3928/00220124-20190612-05						The Journal of Continuing Education in Nursing				Journal	10.3928/JCEN	slack:jcen		0022-0124													Article	2019	Controlled	Regular	Unique_Item_Requests	3	3	0
Improving the Knowledge, Attitudes, and Behavioral Intentions of Perinatal Care Providers Toward Childbearing Individuals Identifying as LGBTQ: A Quasi-Experimental Study	SLACK Incorporated		slack	Betsy Crane, Edward P. Lemay, Randi Beth Singer, Sara Omary; 	2019-06-12	VoR	10.3928/00220124-20190612-05						The Journal of Continuing Education in Nursing				Journal	10.3928/JCEN	slack:jcen		0022-0124													Article	2019	Controlled	Regular	Total_Item_Requests	4	4	0
Improving the Knowledge, Attitudes, and Behavioral Intentions of Perinatal Care Providers Toward Childbearing Individuals Identifying as LGBTQ: A Quasi-Experimental Study	SLACK Incorporated		slack	Betsy Crane, Edward P. Lemay, Randi Beth Singer, Sara Omary; 	2019-06-12	VoR	10.3928/00220124-20190612-05						The Journal of Continuing Education in Nursing				Journal	10.3928/JCEN	slack:jcen		0022-0124													Article	2019	Controlled	Regular	Total_Item_Investigations	7	7	0
Journal Clubs: A Strategy to Teach Civility to Nursing Students	SLACK Incorporated		slack	Cindy Kerber, MyoungJin Kim, Sheryl Jenkins, Wendy Woith; 	2012-03-23	VoR	10.3928/01484834-20120323-02						Journal of Nursing Education				Journal	10.3928/JNE	slack:jne		0148-4834	1938-2421												Article	2012	Controlled	Regular	Unique_Item_Investigations	1	1	0
