Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	UNIV OF P E I
Institution_ID	slack:UNIV OF P E I
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Article; Parent_Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2021-03-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:44:49Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Improving the Knowledge, Attitudes, and Behavioral Intentions of Perinatal Care Providers Toward Childbearing Individuals Identifying as LGBTQ: A Quasi-Experimental Study	SLACK Incorporated		slack	Betsy Crane, Edward P. Lemay, Randi Beth Singer, Sara Omary; 	2019-06-12	VoR	10.3928/00220124-20190612-05					The Journal of Continuing Education in Nursing			10.3928/JCEN	slack:jcen	0022-0124			Controlled	Unique_Item_Requests	3	3	0
Improving the Knowledge, Attitudes, and Behavioral Intentions of Perinatal Care Providers Toward Childbearing Individuals Identifying as LGBTQ: A Quasi-Experimental Study	SLACK Incorporated		slack	Betsy Crane, Edward P. Lemay, Randi Beth Singer, Sara Omary; 	2019-06-12	VoR	10.3928/00220124-20190612-05					The Journal of Continuing Education in Nursing			10.3928/JCEN	slack:jcen	0022-0124			Controlled	Total_Item_Requests	4	4	0
Journal Clubs: A Strategy to Teach Civility to Nursing Students	SLACK Incorporated		slack	Cindy Kerber, MyoungJin Kim, Sheryl Jenkins, Wendy Woith; 	2012-03-23	VoR	10.3928/01484834-20120323-02					Journal of Nursing Education			10.3928/JNE	slack:jne	0148-4834	1938-2421		Controlled	Unique_Item_Requests	1	1	0
Journal Clubs: A Strategy to Teach Civility to Nursing Students	SLACK Incorporated		slack	Cindy Kerber, MyoungJin Kim, Sheryl Jenkins, Wendy Woith; 	2012-03-23	VoR	10.3928/01484834-20120323-02					Journal of Nursing Education			10.3928/JNE	slack:jne	0148-4834	1938-2421		Controlled	Total_Item_Requests	1	1	0
Kirkpatrick's Evaluation of Teaching and Learning Approaches of Workplace Violence Education Programs for Undergraduate Nursing Students: A Systematic Review	SLACK Incorporated		slack	Amanda Fox, Sandra Johnston; 	2020-07-23	VoR	10.3928/01484834-20200723-04					Journal of Nursing Education			10.3928/JNE	slack:jne	0148-4834	1938-2421		Controlled	Unique_Item_Requests	1	1	0
Kirkpatrick's Evaluation of Teaching and Learning Approaches of Workplace Violence Education Programs for Undergraduate Nursing Students: A Systematic Review	SLACK Incorporated		slack	Amanda Fox, Sandra Johnston; 	2020-07-23	VoR	10.3928/01484834-20200723-04					Journal of Nursing Education			10.3928/JNE	slack:jne	0148-4834	1938-2421		Controlled	Total_Item_Requests	1	1	0
Product News	SLACK Incorporated		slack		2018-01-10	VoR	10.3928/00989134-20180110-02					Journal of Gerontological Nursing			10.3928/JGN	slack:jgn	0098-9134	1938-243X		Controlled	Unique_Item_Requests	1	1	0
Product News	SLACK Incorporated		slack		2018-01-10	VoR	10.3928/00989134-20180110-02					Journal of Gerontological Nursing			10.3928/JGN	slack:jgn	0098-9134	1938-243X		Controlled	Total_Item_Requests	2	2	0
Promoting Nurse-Led Mobility Protocols for Hospitalized Older Adults: A Systematic Review	SLACK Incorporated		slack	Deana Goldin, Laura Wolf Caba, Michele Wolf Marenus; 	2022-07-01	VoR	10.3928/00989134-20220606-04					Journal of Gerontological Nursing			10.3928/JGN	slack:jgn	0098-9134	1938-243X		Controlled	Unique_Item_Requests	1	1	0
Promoting Nurse-Led Mobility Protocols for Hospitalized Older Adults: A Systematic Review	SLACK Incorporated		slack	Deana Goldin, Laura Wolf Caba, Michele Wolf Marenus; 	2022-07-01	VoR	10.3928/00989134-20220606-04					Journal of Gerontological Nursing			10.3928/JGN	slack:jgn	0098-9134	1938-243X		Controlled	Total_Item_Requests	1	1	0
