Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	COLLECTIONS@UPEI.CA
Institution_ID	HighWire:COLLECTIONS@UPEI.CA
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Request could not be fulfilled in its entirety. Data that was available was returned. (Usage data has not been processed for all requested months.  Data is not yet available after 202401)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:45:10-08:00
Created_By	HighWire Press Inc.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
BMJ	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmj		1468-5833	1756-1833	http://www.bmj.com	Controlled	Total_Item_Investigations	42	42	0
BMJ	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmj		1468-5833	1756-1833	http://www.bmj.com	Controlled	Total_Item_Requests	36	36	0
BMJ	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmj		1468-5833	1756-1833	http://www.bmj.com	Controlled	Unique_Item_Investigations	32	32	0
BMJ	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmj		1468-5833	1756-1833	http://www.bmj.com	Controlled	Unique_Item_Requests	28	28	0
BMJ	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmj		1468-5833	1756-1833	http://www.bmj.com	OA_Gold	Total_Item_Investigations	20	20	0
BMJ	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmj		1468-5833	1756-1833	http://www.bmj.com	OA_Gold	Total_Item_Requests	20	20	0
BMJ	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmj		1468-5833	1756-1833	http://www.bmj.com	OA_Gold	Unique_Item_Investigations	14	14	0
BMJ	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmj		1468-5833	1756-1833	http://www.bmj.com	OA_Gold	Unique_Item_Requests	14	14	0
BMJ Open	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmjopen			2044-6055	http://bmjopen.bmj.com	Controlled	Total_Item_Investigations	8	8	0
BMJ Open	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmjopen			2044-6055	http://bmjopen.bmj.com	Controlled	Total_Item_Requests	6	6	0
BMJ Open	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmjopen			2044-6055	http://bmjopen.bmj.com	Controlled	Unique_Item_Investigations	2	2	0
BMJ Open	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmjopen			2044-6055	http://bmjopen.bmj.com	Controlled	Unique_Item_Requests	2	2	0
BMJ Open	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmjopen			2044-6055	http://bmjopen.bmj.com	OA_Gold	Total_Item_Investigations	52	52	0
BMJ Open	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmjopen			2044-6055	http://bmjopen.bmj.com	OA_Gold	Total_Item_Requests	32	32	0
BMJ Open	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmjopen			2044-6055	http://bmjopen.bmj.com	OA_Gold	Unique_Item_Investigations	26	26	0
BMJ Open	BMJ Publishing Group Ltd		HighWire Press	10.1136/bmjopen			2044-6055	http://bmjopen.bmj.com	OA_Gold	Unique_Item_Requests	26	26	0
Evidence-Based Nursing	BMJ Publishing Group Ltd, Royal College of Nursing		HighWire Press	10.1136/ebnurs		1367-6539	1468-9618	http://ebn.bmj.com	Controlled	Total_Item_Investigations	6	6	0
Evidence-Based Nursing	BMJ Publishing Group Ltd, Royal College of Nursing		HighWire Press	10.1136/ebnurs		1367-6539	1468-9618	http://ebn.bmj.com	Controlled	Total_Item_Requests	3	3	0
Evidence-Based Nursing	BMJ Publishing Group Ltd, Royal College of Nursing		HighWire Press	10.1136/ebnurs		1367-6539	1468-9618	http://ebn.bmj.com	Controlled	Unique_Item_Investigations	1	1	0
Evidence-Based Nursing	BMJ Publishing Group Ltd, Royal College of Nursing		HighWire Press	10.1136/ebnurs		1367-6539	1468-9618	http://ebn.bmj.com	Controlled	Unique_Item_Requests	1	1	0
Pharmacological Reviews	American Society for Pharmacology and Experimental Therapeutics		HighWire Press	10.1124/pr		0031-6997	1521-0081	http://pharmrev.aspetjournals.org	Controlled	Total_Item_Investigations	1	1	0
Pharmacological Reviews	American Society for Pharmacology and Experimental Therapeutics		HighWire Press	10.1124/pr		0031-6997	1521-0081	http://pharmrev.aspetjournals.org	Controlled	Total_Item_Requests	1	1	0
Pharmacological Reviews	American Society for Pharmacology and Experimental Therapeutics		HighWire Press	10.1124/pr		0031-6997	1521-0081	http://pharmrev.aspetjournals.org	Controlled	Unique_Item_Investigations	1	1	0
Pharmacological Reviews	American Society for Pharmacology and Experimental Therapeutics		HighWire Press	10.1124/pr		0031-6997	1521-0081	http://pharmrev.aspetjournals.org	Controlled	Unique_Item_Requests	1	1	0
