Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ieee:4172671
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:45:39Z
Created_By	MPS Limited

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
IEEE Xplore	Unique_Item_Requests	357	357	0
IEEE Xplore	Total_Item_Requests	615	615	0
IEEE Xplore	Searches_Platform	37	37	0
