Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	
Report_Filters	Data_Type=Book|Journal; Access_Method=Regular
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|YOP|Access_Type|Access_Method
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T01:46:10Z
Created_By	IGI Global e-Resources Platform

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Analyzing Global Social Media Consumption	IGI Global		IGI Global e-Resources Platform			978-1-7998-4718-2				Book	Chapter	2021	Controlled	Regular	Total_Item_Investigations	2	2	0
Analyzing Global Social Media Consumption	IGI Global		IGI Global e-Resources Platform			978-1-7998-4718-2				Book	Chapter	2021	Controlled	Regular	Unique_Item_Investigations	1	1	0
Analyzing Global Social Media Consumption	IGI Global		IGI Global e-Resources Platform			978-1-7998-4718-2				Book	Chapter	2021	Controlled	Regular	No_License	3	3	0
Analyzing Global Social Media Consumption	IGI Global		IGI Global e-Resources Platform			978-1-7998-4718-2				Book		2021	Controlled	Regular	Unique_Title_Investigations	1	1	0
Analyzing Global Social Media Consumption	IGI Global		IGI Global e-Resources Platform			978-1-7998-4718-2				Book		2021	Controlled	Regular	No_License	3	3	0
Emerging Trends in the Diagnosis and Intervention of Neurodevelopmental Disorders	IGI Global		IGI Global e-Resources Platform			978-1-5225-7004-2				Book	Chapter	2019	Controlled	Regular	Total_Item_Investigations	1	1	0
Emerging Trends in the Diagnosis and Intervention of Neurodevelopmental Disorders	IGI Global		IGI Global e-Resources Platform			978-1-5225-7004-2				Book	Chapter	2019	Controlled	Regular	Unique_Item_Investigations	1	1	0
Emerging Trends in the Diagnosis and Intervention of Neurodevelopmental Disorders	IGI Global		IGI Global e-Resources Platform			978-1-5225-7004-2				Book		2019	Controlled	Regular	Unique_Title_Investigations	1	1	0
Influences of Social Media on Consumer Decision-Making Processes in the Food and Grocery Industry	IGI Global		IGI Global e-Resources Platform			978-1-6684-8868-3				Book	Chapter	2023	Controlled	Regular	Total_Item_Investigations	2	2	0
Influences of Social Media on Consumer Decision-Making Processes in the Food and Grocery Industry	IGI Global		IGI Global e-Resources Platform			978-1-6684-8868-3				Book	Chapter	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Influences of Social Media on Consumer Decision-Making Processes in the Food and Grocery Industry	IGI Global		IGI Global e-Resources Platform			978-1-6684-8868-3				Book	Chapter	2023	Controlled	Regular	No_License	2	2	0
Influences of Social Media on Consumer Decision-Making Processes in the Food and Grocery Industry	IGI Global		IGI Global e-Resources Platform			978-1-6684-8868-3				Book		2023	Controlled	Regular	Unique_Title_Investigations	1	1	0
Influences of Social Media on Consumer Decision-Making Processes in the Food and Grocery Industry	IGI Global		IGI Global e-Resources Platform			978-1-6684-8868-3				Book		2023	Controlled	Regular	No_License	2	2	0
International Journal of Applied Management Theory and Research (IJAMTR)	IGI Global		IGI Global e-Resources Platform				2572-4819	2572-4827		Journal	Article	2022	OA_Gold	Regular	Total_Item_Investigations	3	0	3
International Journal of Applied Management Theory and Research (IJAMTR)	IGI Global		IGI Global e-Resources Platform				2572-4819	2572-4827		Journal	Article	2022	OA_Gold	Regular	Unique_Item_Investigations	1	0	1
International Journal of Applied Management Theory and Research (IJAMTR)	IGI Global		IGI Global e-Resources Platform				2572-4819	2572-4827		Journal	Article	2022	OA_Gold	Regular	Total_Item_Requests	2	0	2
International Journal of Applied Management Theory and Research (IJAMTR)	IGI Global		IGI Global e-Resources Platform				2572-4819	2572-4827		Journal	Article	2022	OA_Gold	Regular	Unique_Item_Requests	1	0	1
International Journal of Asian Business and Information Management (IJABIM)	IGI Global		IGI Global e-Resources Platform				1947-9638	1947-9646		Journal	Article	2021	OA_Gold	Regular	Total_Item_Investigations	7	0	7
International Journal of Asian Business and Information Management (IJABIM)	IGI Global		IGI Global e-Resources Platform				1947-9638	1947-9646		Journal	Article	2021	OA_Gold	Regular	Unique_Item_Investigations	2	0	2
International Journal of Asian Business and Information Management (IJABIM)	IGI Global		IGI Global e-Resources Platform				1947-9638	1947-9646		Journal	Article	2021	OA_Gold	Regular	Total_Item_Requests	3	0	3
International Journal of Asian Business and Information Management (IJABIM)	IGI Global		IGI Global e-Resources Platform				1947-9638	1947-9646		Journal	Article	2021	OA_Gold	Regular	Unique_Item_Requests	1	0	1
International Journal of E-Business Research (IJEBR)	IGI Global		IGI Global e-Resources Platform				1548-1131	1548-114X		Journal	Article	2022	OA_Gold	Regular	Total_Item_Investigations	2	1	1
International Journal of E-Business Research (IJEBR)	IGI Global		IGI Global e-Resources Platform				1548-1131	1548-114X		Journal	Article	2022	OA_Gold	Regular	Unique_Item_Investigations	2	1	1
International Journal of Game-Based Learning (IJGBL)	IGI Global		IGI Global e-Resources Platform				2155-6849	2155-6857		Journal	Article	2023	OA_Gold	Regular	Total_Item_Investigations	17	0	17
International Journal of Game-Based Learning (IJGBL)	IGI Global		IGI Global e-Resources Platform				2155-6849	2155-6857		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Investigations	7	0	7
International Journal of Game-Based Learning (IJGBL)	IGI Global		IGI Global e-Resources Platform				2155-6849	2155-6857		Journal	Article	2023	OA_Gold	Regular	Total_Item_Requests	11	0	11
International Journal of Game-Based Learning (IJGBL)	IGI Global		IGI Global e-Resources Platform				2155-6849	2155-6857		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Requests	4	0	4
International Journal of Information Systems and Social Change (IJISSC)	IGI Global		IGI Global e-Resources Platform				1941-868X	1941-8698		Journal	Article	2023	OA_Gold	Regular	Total_Item_Investigations	1	0	1
International Journal of Information Systems and Social Change (IJISSC)	IGI Global		IGI Global e-Resources Platform				1941-868X	1941-8698		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Investigations	1	0	1
International Journal of Information Systems and Social Change (IJISSC)	IGI Global		IGI Global e-Resources Platform				1941-868X	1941-8698		Journal	Article	2023	OA_Gold	Regular	Total_Item_Requests	1	0	1
International Journal of Information Systems and Social Change (IJISSC)	IGI Global		IGI Global e-Resources Platform				1941-868X	1941-8698		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Requests	1	0	1
International Journal of Sociotechnology and Knowledge Development (IJSKD)	IGI Global		IGI Global e-Resources Platform				1941-6253	1941-6261		Journal	Article	2018	Controlled	Regular	Total_Item_Investigations	5	0	5
International Journal of Sociotechnology and Knowledge Development (IJSKD)	IGI Global		IGI Global e-Resources Platform				1941-6253	1941-6261		Journal	Article	2018	Controlled	Regular	Unique_Item_Investigations	3	0	3
International Journal of Sociotechnology and Knowledge Development (IJSKD)	IGI Global		IGI Global e-Resources Platform				1941-6253	1941-6261		Journal	Article	2018	Controlled	Regular	Total_Item_Requests	3	0	3
