Report_Name	Book Access Denied
Report_ID	TR_B2
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T01:46:16Z
Created_By	IGI Global e-Resources Platform

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Analyzing Global Social Media Consumption	IGI Global		IGI Global e-Resources Platform			978-1-7998-4718-2				2021	No_License	3	3	0
Influences of Social Media on Consumer Decision-Making Processes in the Food and Grocery Industry	IGI Global		IGI Global e-Resources Platform			978-1-6684-8868-3				2023	No_License	2	2	0
IT and the Development of Digital Skills and Competences in Education	IGI Global		IGI Global e-Resources Platform			978-1-7998-4972-8				2021	No_License	2	2	0
New Models for Technical and Vocational Education and Training	IGI Global		IGI Global e-Resources Platform			978-1-7998-2607-1				2021	No_License	1	0	1
