Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	
Report_Filters	Access_Method=Regular
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T01:45:24Z
Created_By	IGI Global e-Resources Platform

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
IGI Global e-Resources Platform	Journal	Regular	Total_Item_Investigations	96	28	68
IGI Global e-Resources Platform	Journal	Regular	Unique_Item_Investigations	48	21	27
IGI Global e-Resources Platform	Journal	Regular	Total_Item_Requests	59	22	37
IGI Global e-Resources Platform	Journal	Regular	Unique_Item_Requests	39	19	20
IGI Global e-Resources Platform	Book	Regular	Total_Item_Investigations	15	7	8
IGI Global e-Resources Platform	Book	Regular	Unique_Item_Investigations	8	4	4
IGI Global e-Resources Platform	Book	Regular	Unique_Title_Investigations	8	4	4
IGI Global e-Resources Platform	Book	Regular	Total_Item_Requests	5	0	5
IGI Global e-Resources Platform	Book	Regular	Unique_Item_Requests	3	0	3
IGI Global e-Resources Platform	Book	Regular	Unique_Title_Requests	3	0	3
