Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of PEI (Prince Edward Island)
Institution_ID	connect:peican
Metric_Types	No_License; Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Parent_Data_Type=Book|Journal; Data_Type=Article|Book|Book_Segment
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True
Exceptions	3031: Usage Not Ready for Requested Dates(Investigation Usage is available up to 2024-01-31.Request Usage is available up to 2024-01-31.No License Usage is available up to 2024-01-31.) ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:47:25Z
Created_By	ingentaconnect

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Research Note on Relationships Between the Vertical Jump and Standing Broad Jump in Law Enforcement Recruits: Implications for Lower-Body Power Testing	Wolters Kluwer		connect	Lockie; Robert G. and Moreno; Mathew R. and Dawes; J. Jay; 		VoR	10.1519/jsc.0000000000003821			1064-8011		https://www.ingentaconnect.com/content/wk/jsc/2022/00000036/00000008/art00039	Journal of Strength and Conditioning Research			VoR					1064-8011		https://www.ingentaconnect.com/content/wk/jsc											Article	2022	Controlled	Regular	Total_Item_Investigations	1	1	0
A Research Note on Relationships Between the Vertical Jump and Standing Broad Jump in Law Enforcement Recruits: Implications for Lower-Body Power Testing	Wolters Kluwer		connect	Lockie; Robert G. and Moreno; Mathew R. and Dawes; J. Jay; 		VoR	10.1519/jsc.0000000000003821			1064-8011		https://www.ingentaconnect.com/content/wk/jsc/2022/00000036/00000008/art00039	Journal of Strength and Conditioning Research			VoR					1064-8011		https://www.ingentaconnect.com/content/wk/jsc											Article	2022	Controlled	Regular	Unique_Item_Investigations	1	1	0
A Research Note on Relationships Between the Vertical Jump and Standing Broad Jump in Law Enforcement Recruits: Implications for Lower-Body Power Testing	Wolters Kluwer		connect	Lockie; Robert G. and Moreno; Mathew R. and Dawes; J. Jay; 		VoR	10.1519/jsc.0000000000003821			1064-8011		https://www.ingentaconnect.com/content/wk/jsc/2022/00000036/00000008/art00039	Journal of Strength and Conditioning Research			VoR					1064-8011		https://www.ingentaconnect.com/content/wk/jsc											Article	2022	Controlled	Regular	No_License	1	1	0
Archives of Sexuality and Gender: LGBTQ History and Culture Since 1940, Part I	Annual Reviews		annurev	Hennessey; Christina L.; 		VoR	10.5260/chara.18.3.9			1525-4011	1525-4003	https://www.ingentaconnect.com/content/annurev/tca/2017/00000018/00000003/art00005	The Charleston Advisor			VoR					1525-4011	1525-4003	https://www.ingentaconnect.com/content/annurev/tca											Article	2017	Controlled	Regular	Total_Item_Investigations	1	1	0
Archives of Sexuality and Gender: LGBTQ History and Culture Since 1940, Part I	Annual Reviews		annurev	Hennessey; Christina L.; 		VoR	10.5260/chara.18.3.9			1525-4011	1525-4003	https://www.ingentaconnect.com/content/annurev/tca/2017/00000018/00000003/art00005	The Charleston Advisor			VoR					1525-4011	1525-4003	https://www.ingentaconnect.com/content/annurev/tca											Article	2017	Controlled	Regular	Unique_Item_Investigations	1	1	0
Archives of Sexuality and Gender: LGBTQ History and Culture Since 1940, Part I	Annual Reviews		annurev	Hennessey; Christina L.; 		VoR	10.5260/chara.18.3.9			1525-4011	1525-4003	https://www.ingentaconnect.com/content/annurev/tca/2017/00000018/00000003/art00005	The Charleston Advisor			VoR					1525-4011	1525-4003	https://www.ingentaconnect.com/content/annurev/tca											Article	2017	Controlled	Regular	No_License	1	1	0
Associations Between Technology Use, Responsive Feeding, and Child Temperament Among Prior Prenatal Intervention Participants	Wolters Kluwer		connect	Ventura; Alison K. and Hart; Chantelle N. and Phelan; Suzanne and Jelalian; Elissa and Wing; Rena R.; 		VoR	10.1097/dbp.0000000000001174			0196-206X		https://www.ingentaconnect.com/content/wk/dbp/2023/00000044/00000004/art00010	Journal of Developmental & Behavioral Pediatrics			VoR					0196-206X		https://www.ingentaconnect.com/content/wk/dbp											Article	2023	Controlled	Regular	Total_Item_Investigations	1	1	0
Associations Between Technology Use, Responsive Feeding, and Child Temperament Among Prior Prenatal Intervention Participants	Wolters Kluwer		connect	Ventura; Alison K. and Hart; Chantelle N. and Phelan; Suzanne and Jelalian; Elissa and Wing; Rena R.; 		VoR	10.1097/dbp.0000000000001174			0196-206X		https://www.ingentaconnect.com/content/wk/dbp/2023/00000044/00000004/art00010	Journal of Developmental & Behavioral Pediatrics			VoR					0196-206X		https://www.ingentaconnect.com/content/wk/dbp											Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Associations Between Technology Use, Responsive Feeding, and Child Temperament Among Prior Prenatal Intervention Participants	Wolters Kluwer		connect	Ventura; Alison K. and Hart; Chantelle N. and Phelan; Suzanne and Jelalian; Elissa and Wing; Rena R.; 		VoR	10.1097/dbp.0000000000001174			0196-206X		https://www.ingentaconnect.com/content/wk/dbp/2023/00000044/00000004/art00010	Journal of Developmental & Behavioral Pediatrics			VoR					0196-206X		https://www.ingentaconnect.com/content/wk/dbp											Article	2023	Controlled	Regular	No_License	1	1	0
Comparison of Systemic Extended-release Buprenorphine and Local Extended-release Bupivacaine-Meloxicam as Analgesics for Laparotomy in Mice	American Association for Laboratory Animal Science		connect	Yang; Peggy and Hish; Gerry and Lester; Patrick A; 		VoR	10.30802/aalas-jaalas-22-000107			1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas/2023/00000062/00000005/art00005	Journal of the American Association for Laboratory Animal Science			VoR					1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas											Article	2023	Controlled	Regular	Total_Item_Investigations	1	1	0
