Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University of PEI (Prince Edward Island)
Institution_ID	connect:peican
Metric_Types	Searches_Platform; Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Article|Book|Book_Segment|Journal|Platform
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3031: Usage Not Ready for Requested Dates(Search Usage is available up to 2024-01-31.Investigation Usage is available up to 2024-01-31.Request Usage is available up to 2024-01-31.) ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:46:24Z
Created_By	ingentaconnect

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
annurev	Article	Regular	Total_Item_Investigations	1	1	0
annurev	Article	Regular	Unique_Item_Investigations	1	1	0
connect	Article	Regular	Total_Item_Investigations	29	29	0
connect	Article	Regular	Total_Item_Requests	2	2	0
connect	Article	Regular	Unique_Item_Investigations	25	25	0
connect	Article	Regular	Unique_Item_Requests	2	2	0
connect	Platform	Regular	Searches_Platform	2	2	0
