Report_Name	Book Access Denied
Report_ID	TR_B2
Release	5
Institution_Name	University of PEI (Prince Edward Island)
Institution_ID	connect:peican
Metric_Types	No_License; Limit_Exceeded
Report_Filters	Access_Method=Regular; Data_Type=Book
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates(No License Usage is available up to 2024-01-31.) ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:47:55Z
Created_By	ingentaconnect

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
