Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	University of PEI (Prince Edward Island)
Institution_ID	connect:peican
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Journal; Access_Type=Controlled
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates(Request Usage is available up to 2024-01-31.) ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:46:44Z
Created_By	ingentaconnect

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Bulletin of Marine Science	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect			0007-4977	1553-6955	https://www.ingentaconnect.com/content/umrsmas/bullmar	Total_Item_Requests	1	1	0
Bulletin of Marine Science	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect			0007-4977	1553-6955	https://www.ingentaconnect.com/content/umrsmas/bullmar	Unique_Item_Requests	1	1	0
