Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	University of PEI (Prince Edward Island)
Institution_ID	connect:peican
Metric_Types	No_License; Limit_Exceeded
Report_Filters	Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates(No License Usage is available up to 2024-01-31.) ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:47:02Z
Created_By	ingentaconnect

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Advances in Neonatal Care	Wolters Kluwer		connect			1536-0903	1536-0911	https://www.ingentaconnect.com/content/wk/anc	No_License	1	1	0
Current Nutrition & Food Science	Bentham Science Publishers		connect			1573-4013		https://www.ingentaconnect.com/content/ben/cnf	No_License	1	1	0
Endocrine, Metabolic & Immune Disorders-Drug Targets (Formerly Current Drug Targets - Immune, Endocrine & Metabolic Disorders)	Bentham Science Publishers		connect			1871-5303		https://www.ingentaconnect.com/content/ben/emiddt	No_License	1	1	0
Environmental Values	White Horse Press		connect			0963-2719	1752-7015	https://www.ingentaconnect.com/content/whp/ev	No_License	2	2	0
Journal of Addiction Medicine	Wolters Kluwer		connect			1932-0620		https://www.ingentaconnect.com/content/wk/adm	No_License	1	1	0
Journal of Ambulatory Care Management	Wolters Kluwer		connect			0148-9917	1550-3267	https://www.ingentaconnect.com/content/wk/jac	No_License	1	1	0
Journal of Consciousness Studies	Imprint Academic		connect			1355-8250		https://www.ingentaconnect.com/content/imp/jcs	No_License	1	1	0
Journal of Developmental & Behavioral Pediatrics	Wolters Kluwer		connect			0196-206X		https://www.ingentaconnect.com/content/wk/dbp	No_License	1	1	0
Journal of Strength and Conditioning Research	Wolters Kluwer		connect			1064-8011		https://www.ingentaconnect.com/content/wk/jsc	No_License	1	1	0
Journal of the American Association for Laboratory Animal Science	American Association for Laboratory Animal Science		connect			1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas	No_License	1	1	0
Social Behavior and Personality: an international journal	Scientific Journal Publishers		connect			0301-2212		https://www.ingentaconnect.com/content/sbp/sbp	No_License	2	2	0
The Canadian Veterinary Journal	Canadian Veterinary Medical Association		connect			0008-5286		https://www.ingentaconnect.com/content/cvma/cvj	No_License	1	1	0
The Charleston Advisor	Annual Reviews		annurev			1525-4011	1525-4003	https://www.ingentaconnect.com/content/annurev/tca	No_License	1	1	0
The Clinical Journal of Pain	Wolters Kluwer		connect			0749-8047	1536-5409	https://www.ingentaconnect.com/content/wk/cjpn	No_License	1	1	0
Topics in Clinical Nutrition	Wolters Kluwer		connect			0883-5691	1550-5146	https://www.ingentaconnect.com/content/wk/tin	No_License	1	1	0
Tourism Review International	Cognizant Communication Corporation		connect			1544-2721	1943-4421	https://www.ingentaconnect.com/content/cog/tri	No_License	5	5	0
