Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	Silverchair:35310
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True; Include_Component_Details=True
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Brief Measure for Assessing Generalized Anxiety Disorder<subtitle>The GAD-7</subtitle>	American Medical Association		American Medical Association	Robert L. Spitzer, MD;  Kurt Kroenke, MD;  Janet B. W. Williams, DSW;  Bernd Löwe, MD, PhD; 	2006-05-22		10.1001/archinte.166.10.1092	Silverchair:410326					JAMA Internal Medicine				Journal		Silverchair:71		2168-6106	2168-6114												Article	2006	Controlled	Regular	Unique_Item_Requests	1	1	0
A Brief Measure for Assessing Generalized Anxiety Disorder<subtitle>The GAD-7</subtitle>	American Medical Association		American Medical Association	Robert L. Spitzer, MD;  Kurt Kroenke, MD;  Janet B. W. Williams, DSW;  Bernd Löwe, MD, PhD; 	2006-05-22		10.1001/archinte.166.10.1092	Silverchair:410326					JAMA Internal Medicine				Journal		Silverchair:71		2168-6106	2168-6114												Article	2006	Controlled	Regular	Unique_Item_Investigations	1	1	0
"Addressing Social Determinants of Health in Federal Programs<alt-title alt-title-type=""running-head"">JAMA Forum</alt-title>"	American Medical Association		American Medical Association	Nancy De Lew, MA, MPA;  Benjamin D. Sommers, MD, PhD; 	2022-03-31		10.1001/jamahealthforum.2022.1064	Silverchair:2790811					JAMA Health Forum				Journal		Silverchair:185			2689-0186												Article	2022	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
"Addressing Social Determinants of Health in Federal Programs<alt-title alt-title-type=""running-head"">JAMA Forum</alt-title>"	American Medical Association		American Medical Association	Nancy De Lew, MA, MPA;  Benjamin D. Sommers, MD, PhD; 	2022-03-31		10.1001/jamahealthforum.2022.1064	Silverchair:2790811					JAMA Health Forum				Journal		Silverchair:185			2689-0186												Article	2022	OA_Gold	Regular	Unique_Item_Requests	1	1	0
"Addressing Social Determinants of Health in Federal Programs<alt-title alt-title-type=""running-head"">JAMA Forum</alt-title>"	American Medical Association		American Medical Association	Nancy De Lew, MA, MPA;  Benjamin D. Sommers, MD, PhD; 	2022-03-31		10.1001/jamahealthforum.2022.1064	Silverchair:2790811					JAMA Health Forum				Journal		Silverchair:185			2689-0186												Article	2022	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
"Addressing Social Determinants of Health in Federal Programs<alt-title alt-title-type=""running-head"">JAMA Forum</alt-title>"	American Medical Association		American Medical Association	Nancy De Lew, MA, MPA;  Benjamin D. Sommers, MD, PhD; 	2022-03-31		10.1001/jamahealthforum.2022.1064	Silverchair:2790811					JAMA Health Forum				Journal		Silverchair:185			2689-0186												Article	2022	OA_Gold	Regular	Unique_Item_Requests	1	1	0
"Amanda<alt-title alt-title-type=""headline"">Amanda</alt-title><alt-title alt-title-type=""running-head"">Poetry and Medicine</alt-title>"	American Medical Association		American Medical Association	James Austin, MBChB; 	2024-01-09		10.1001/jama.2023.22723	Silverchair:2813771					JAMA				Journal		Silverchair:67		0098-7484	1538-3598												Article	2024	Controlled	Regular	Unique_Item_Requests	1	1	0
"Amanda<alt-title alt-title-type=""headline"">Amanda</alt-title><alt-title alt-title-type=""running-head"">Poetry and Medicine</alt-title>"	American Medical Association		American Medical Association	James Austin, MBChB; 	2024-01-09		10.1001/jama.2023.22723	Silverchair:2813771					JAMA				Journal		Silverchair:67		0098-7484	1538-3598												Article	2024	Controlled	Regular	Unique_Item_Investigations	1	1	0
"Amanda<alt-title alt-title-type=""headline"">Amanda</alt-title><alt-title alt-title-type=""running-head"">Poetry and Medicine</alt-title>"	American Medical Association		American Medical Association	James Austin, MBChB; 	2024-01-09		10.1001/jama.2023.22723	Silverchair:2813771					JAMA				Journal		Silverchair:67		0098-7484	1538-3598												Article	2024	Controlled	Regular	Unique_Item_Investigations	1	1	0
"Amanda<alt-title alt-title-type=""headline"">Amanda</alt-title><alt-title alt-title-type=""running-head"">Poetry and Medicine</alt-title>"	American Medical Association		American Medical Association	James Austin, MBChB; 	2024-01-09		10.1001/jama.2023.22723	Silverchair:2813771					JAMA				Journal		Silverchair:67		0098-7484	1538-3598												Article	2024	Controlled	Regular	Unique_Item_Requests	1	1	0
"Association Between Repeated Exposure to Hurricanes and Mental Health in a Representative Sample of Florida Residents<alt-title alt-title-type=""headline"">Repeated Exposure to Hurricanes and Mental Health Among Florida Residents</alt-title><alt-title alt-title-type=""running-head"">Repeated Exposure to Hurricanes and Mental Health Among Florida Residents</alt-title>"	American Medical Association		American Medical Association	Dana Rose Garfin, PhD;  Rebecca R. Thompson, PhD;  E. Alison Holman, PhD;  Gabrielle Wong-Parodi, PhD;  Roxane Cohen Silver, PhD; 	2022-06-16		10.1001/jamanetworkopen.2022.17251	Silverchair:2793482					JAMA Network Open				Journal		Silverchair:187			2574-3805												Article	2022	OA_Gold	Regular	Unique_Item_Requests	1	1	0
"Association Between Repeated Exposure to Hurricanes and Mental Health in a Representative Sample of Florida Residents<alt-title alt-title-type=""headline"">Repeated Exposure to Hurricanes and Mental Health Among Florida Residents</alt-title><alt-title alt-title-type=""running-head"">Repeated Exposure to Hurricanes and Mental Health Among Florida Residents</alt-title>"	American Medical Association		American Medical Association	Dana Rose Garfin, PhD;  Rebecca R. Thompson, PhD;  E. Alison Holman, PhD;  Gabrielle Wong-Parodi, PhD;  Roxane Cohen Silver, PhD; 	2022-06-16		10.1001/jamanetworkopen.2022.17251	Silverchair:2793482					JAMA Network Open				Journal		Silverchair:187			2574-3805												Article	2022	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
"Association Between Repeated Exposure to Hurricanes and Mental Health in a Representative Sample of Florida Residents<alt-title alt-title-type=""headline"">Repeated Exposure to Hurricanes and Mental Health Among Florida Residents</alt-title><alt-title alt-title-type=""running-head"">Repeated Exposure to Hurricanes and Mental Health Among Florida Residents</alt-title>"	American Medical Association		American Medical Association	Dana Rose Garfin, PhD;  Rebecca R. Thompson, PhD;  E. Alison Holman, PhD;  Gabrielle Wong-Parodi, PhD;  Roxane Cohen Silver, PhD; 	2022-06-16		10.1001/jamanetworkopen.2022.17251	Silverchair:2793482					JAMA Network Open				Journal		Silverchair:187			2574-3805												Article	2022	OA_Gold	Regular	Unique_Item_Requests	1	1	0
"Association Between Repeated Exposure to Hurricanes and Mental Health in a Representative Sample of Florida Residents<alt-title alt-title-type=""headline"">Repeated Exposure to Hurricanes and Mental Health Among Florida Residents</alt-title><alt-title alt-title-type=""running-head"">Repeated Exposure to Hurricanes and Mental Health Among Florida Residents</alt-title>"	American Medical Association		American Medical Association	Dana Rose Garfin, PhD;  Rebecca R. Thompson, PhD;  E. Alison Holman, PhD;  Gabrielle Wong-Parodi, PhD;  Roxane Cohen Silver, PhD; 	2022-06-16		10.1001/jamanetworkopen.2022.17251	Silverchair:2793482					JAMA Network Open				Journal		Silverchair:187			2574-3805												Article	2022	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
"Association of Group B Meningococcal Vaccine Receipt With Reduced Gonorrhea Incidence Among University Students<alt-title alt-title-type=""headline"">Association of Meningococcal Vaccine Receipt With Reduced Gonorrhea Incidence</alt-title><alt-title alt-title-type=""running-head"">Association of Meningococcal Vaccine Receipt With Reduced Gonorrhea Incidence</alt-title>"	American Medical Association		American Medical Association	Steve G. Robison, MPH;  Richard F. Leman, MD, MPH; 	2023-08-31		10.1001/jamanetworkopen.2023.31742	Silverchair:2808945					JAMA Network Open				Journal		Silverchair:187			2574-3805												Article	2023	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
"Association of Group B Meningococcal Vaccine Receipt With Reduced Gonorrhea Incidence Among University Students<alt-title alt-title-type=""headline"">Association of Meningococcal Vaccine Receipt With Reduced Gonorrhea Incidence</alt-title><alt-title alt-title-type=""running-head"">Association of Meningococcal Vaccine Receipt With Reduced Gonorrhea Incidence</alt-title>"	American Medical Association		American Medical Association	Steve G. Robison, MPH;  Richard F. Leman, MD, MPH; 	2023-08-31		10.1001/jamanetworkopen.2023.31742	Silverchair:2808945					JAMA Network Open				Journal		Silverchair:187			2574-3805												Article	2023	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Auditory Brain-Stem Response in Determination of Brain Death	American Medical Association		American Medical Association	James W. Hall III, PhD;  Judy R. Mackey-Hargadine, MD;  E. Edmund Kim, MD; 	1985-09-01		10.1001/archotol.1985.00800110091010	Silverchair:612637					JAMA Otolaryngology–Head & Neck Surgery				Journal		Silverchair:74		2168-6181	2168-619X												Article	1985	Controlled	Regular	Unique_Item_Investigations	1	1	0
Auditory Brain-Stem Response in Determination of Brain Death	American Medical Association		American Medical Association	James W. Hall III, PhD;  Judy R. Mackey-Hargadine, MD;  E. Edmund Kim, MD; 	1985-09-01		10.1001/archotol.1985.00800110091010	Silverchair:612637					JAMA Otolaryngology–Head & Neck Surgery				Journal		Silverchair:74		2168-6181	2168-619X												Article	1985	Controlled	Regular	Unique_Item_Investigations	1	1	0
"Blood-Borne Revitalization of the Aged Brain<alt-title alt-title-type=""headline"">Blood-Borne Revitalization of the Aged Brain</alt-title><alt-title alt-title-type=""running-head"">Blood-Borne Revitalization of the Aged Brain</alt-title>"	American Medical Association		American Medical Association	Joseph M. Castellano, PhD;  Elizabeth D. Kirby, PhD;  Tony Wyss-Coray, PhD; 	2015-10-01		10.1001/jamaneurol.2015.1616	Silverchair:2398915					JAMA Neurology				Journal		Silverchair:72		2168-6149	2168-6157												Article	2015	Controlled	Regular	Unique_Item_Investigations	1	1	0
"Blood-Borne Revitalization of the Aged Brain<alt-title alt-title-type=""headline"">Blood-Borne Revitalization of the Aged Brain</alt-title><alt-title alt-title-type=""running-head"">Blood-Borne Revitalization of the Aged Brain</alt-title>"	American Medical Association		American Medical Association	Joseph M. Castellano, PhD;  Elizabeth D. Kirby, PhD;  Tony Wyss-Coray, PhD; 	2015-10-01		10.1001/jamaneurol.2015.1616	Silverchair:2398915					JAMA Neurology				Journal		Silverchair:72		2168-6149	2168-6157												Article	2015	Controlled	Regular	Unique_Item_Requests	1	1	0
