Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	Silverchair:35310
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Parent_Data_Type=Journal; Data_Type=Article
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Brief Measure for Assessing Generalized Anxiety Disorder<subtitle>The GAD-7</subtitle>	American Medical Association		American Medical Association		2006-05-22		10.1001/archinte.166.10.1092	Silverchair:410326				JAMA Internal Medicine				Silverchair:71	2168-6106	2168-6114		Controlled	Total_Item_Requests	1	1	0
A Brief Measure for Assessing Generalized Anxiety Disorder<subtitle>The GAD-7</subtitle>	American Medical Association		American Medical Association		2006-05-22		10.1001/archinte.166.10.1092	Silverchair:410326				JAMA Internal Medicine				Silverchair:71	2168-6106	2168-6114		Controlled	Unique_Item_Requests	1	1	0
"Addressing Social Determinants of Health in Federal Programs<alt-title alt-title-type=""running-head"">JAMA Forum</alt-title>"	American Medical Association		American Medical Association		2022-03-31		10.1001/jamahealthforum.2022.1064	Silverchair:2790811				JAMA Health Forum				Silverchair:185		2689-0186		OA_Gold	Total_Item_Requests	1	1	0
"Addressing Social Determinants of Health in Federal Programs<alt-title alt-title-type=""running-head"">JAMA Forum</alt-title>"	American Medical Association		American Medical Association		2022-03-31		10.1001/jamahealthforum.2022.1064	Silverchair:2790811				JAMA Health Forum				Silverchair:185		2689-0186		OA_Gold	Unique_Item_Requests	1	1	0
"Addressing Social Determinants of Health in Federal Programs<alt-title alt-title-type=""running-head"">JAMA Forum</alt-title>"	American Medical Association		American Medical Association		2022-03-31		10.1001/jamahealthforum.2022.1064	Silverchair:2790811				JAMA Health Forum				Silverchair:185		2689-0186		OA_Gold	Unique_Item_Requests	1	1	0
"Addressing Social Determinants of Health in Federal Programs<alt-title alt-title-type=""running-head"">JAMA Forum</alt-title>"	American Medical Association		American Medical Association		2022-03-31		10.1001/jamahealthforum.2022.1064	Silverchair:2790811				JAMA Health Forum				Silverchair:185		2689-0186		OA_Gold	Total_Item_Requests	1	1	0
"Amanda<alt-title alt-title-type=""headline"">Amanda</alt-title><alt-title alt-title-type=""running-head"">Poetry and Medicine</alt-title>"	American Medical Association		American Medical Association		2024-01-09		10.1001/jama.2023.22723	Silverchair:2813771				JAMA				Silverchair:67	0098-7484	1538-3598		Controlled	Total_Item_Requests	1	1	0
"Amanda<alt-title alt-title-type=""headline"">Amanda</alt-title><alt-title alt-title-type=""running-head"">Poetry and Medicine</alt-title>"	American Medical Association		American Medical Association		2024-01-09		10.1001/jama.2023.22723	Silverchair:2813771				JAMA				Silverchair:67	0098-7484	1538-3598		Controlled	Unique_Item_Requests	1	1	0
"Amanda<alt-title alt-title-type=""headline"">Amanda</alt-title><alt-title alt-title-type=""running-head"">Poetry and Medicine</alt-title>"	American Medical Association		American Medical Association		2024-01-09		10.1001/jama.2023.22723	Silverchair:2813771				JAMA				Silverchair:67	0098-7484	1538-3598		Controlled	Unique_Item_Requests	1	1	0
"Amanda<alt-title alt-title-type=""headline"">Amanda</alt-title><alt-title alt-title-type=""running-head"">Poetry and Medicine</alt-title>"	American Medical Association		American Medical Association		2024-01-09		10.1001/jama.2023.22723	Silverchair:2813771				JAMA				Silverchair:67	0098-7484	1538-3598		Controlled	Total_Item_Requests	1	1	0
