Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	Silverchair:491
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Parent_Data_Type=Journal; Data_Type=Article
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Gender Discrimination in Education Expenditure in Nepal: Evidence from Living Standards Surveys	MIT Press		MIT Press		2018-03-01		10.1162/adev_a_00109	Silverchair:9944				Asian Development Review				Silverchair:1000013	0116-1105	1996-7241		OA_Gold	Total_Item_Requests	2	2	0
Gender Discrimination in Education Expenditure in Nepal: Evidence from Living Standards Surveys	MIT Press		MIT Press		2018-03-01		10.1162/adev_a_00109	Silverchair:9944				Asian Development Review				Silverchair:1000013	0116-1105	1996-7241		OA_Gold	Unique_Item_Requests	1	1	0
White Supremacy, Terrorism, and the Failure of Reconstruction in the                     United States	MIT Press		MIT Press		2021-07-19		10.1162/isec_a_00410	Silverchair:102853				International Security				Silverchair:1000025	0162-2889	1531-4804		Controlled	Total_Item_Requests	1	1	0
White Supremacy, Terrorism, and the Failure of Reconstruction in the                     United States	MIT Press		MIT Press		2021-07-19		10.1162/isec_a_00410	Silverchair:102853				International Security				Silverchair:1000025	0162-2889	1531-4804		Controlled	Unique_Item_Requests	1	1	0
