Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	Silverchair:491
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|Access_Type|Access_Method|YOP
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Asian Development Review	MIT Press		MIT Press		Silverchair:1000013		0116-1105	1996-7241		Journal	Article	2018	OA_Gold	Regular	Total_Item_Requests	2	2	0
Asian Development Review	MIT Press		MIT Press		Silverchair:1000013		0116-1105	1996-7241		Journal	Article	2018	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Asian Development Review	MIT Press		MIT Press		Silverchair:1000013		0116-1105	1996-7241		Journal	Article	2018	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Asian Development Review	MIT Press		MIT Press		Silverchair:1000013		0116-1105	1996-7241		Journal	Article	2018	OA_Gold	Regular	Total_Item_Investigations	3	3	0
Circuits Signals and Systems	The MIT Press		MIT Press	10.7551/mitpress/1839.001.0001	Silverchair:4260	978-0-262-29096-8				Book	Book	1985	Controlled	Regular	Total_Item_Investigations	3	3	0
Circuits Signals and Systems	The MIT Press		MIT Press	10.7551/mitpress/1839.001.0001	Silverchair:4260	978-0-262-29096-8				Book	Book	1985	Controlled	Regular	Unique_Item_Investigations	3	3	0
Circuits Signals and Systems	The MIT Press		MIT Press	10.7551/mitpress/1839.001.0001	Silverchair:4260	978-0-262-29096-8				Book		1985	Controlled	Regular	Unique_Title_Investigations	3	3	0
Circuits Signals and Systems	The MIT Press		MIT Press	10.7551/mitpress/1839.001.0001	Silverchair:4260	978-0-262-29096-8				Book	Chapter	1985	Controlled	Regular	No_License	2	2	0
Circuits Signals and Systems	The MIT Press		MIT Press	10.7551/mitpress/1839.001.0001	Silverchair:4260	978-0-262-29096-8				Book	Chapter	1985	Controlled	Regular	Total_Item_Investigations	1	1	0
Circuits Signals and Systems	The MIT Press		MIT Press	10.7551/mitpress/1839.001.0001	Silverchair:4260	978-0-262-29096-8				Book	Chapter	1985	Controlled	Regular	Unique_Item_Investigations	1	1	0
Energy at the End of the WorldAn Orkney Islands Saga	The MIT Press		MIT Press	10.7551/mitpress/10910.001.0001	Silverchair:4509	978-0-262-34965-9				Book	Book	2019	Controlled	Regular	Unique_Item_Investigations	2	2	0
Energy at the End of the WorldAn Orkney Islands Saga	The MIT Press		MIT Press	10.7551/mitpress/10910.001.0001	Silverchair:4509	978-0-262-34965-9				Book	Book	2019	Controlled	Regular	Total_Item_Investigations	2	2	0
Energy at the End of the WorldAn Orkney Islands Saga	The MIT Press		MIT Press	10.7551/mitpress/10910.001.0001	Silverchair:4509	978-0-262-34965-9				Book		2019	Controlled	Regular	Unique_Title_Investigations	2	2	0
International Security	MIT Press		MIT Press		Silverchair:1000025		0162-2889	1531-4804		Journal	Article	2021	Controlled	Regular	Unique_Item_Investigations	1	1	0
International Security	MIT Press		MIT Press		Silverchair:1000025		0162-2889	1531-4804		Journal	Article	2021	Controlled	Regular	Total_Item_Requests	1	1	0
International Security	MIT Press		MIT Press		Silverchair:1000025		0162-2889	1531-4804		Journal	Article	2021	Controlled	Regular	Total_Item_Investigations	1	1	0
International Security	MIT Press		MIT Press		Silverchair:1000025		0162-2889	1531-4804		Journal	Article	2021	Controlled	Regular	Unique_Item_Requests	1	1	0
Knowledge JusticeDisrupting Library and Information Studies through Critical Race Theory	The MIT Press		MIT Press	10.7551/mitpress/11969.001.0001	Silverchair:5114	978-0-262-36320-4				Book	Chapter	2021	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Knowledge JusticeDisrupting Library and Information Studies through Critical Race Theory	The MIT Press		MIT Press	10.7551/mitpress/11969.001.0001	Silverchair:5114	978-0-262-36320-4				Book	Chapter	2021	OA_Gold	Regular	Total_Item_Investigations	2	2	0
Knowledge JusticeDisrupting Library and Information Studies through Critical Race Theory	The MIT Press		MIT Press	10.7551/mitpress/11969.001.0001	Silverchair:5114	978-0-262-36320-4				Book	Chapter	2021	OA_Gold	Regular	Total_Item_Requests	1	1	0
Knowledge JusticeDisrupting Library and Information Studies through Critical Race Theory	The MIT Press		MIT Press	10.7551/mitpress/11969.001.0001	Silverchair:5114	978-0-262-36320-4				Book	Chapter	2021	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Knowledge JusticeDisrupting Library and Information Studies through Critical Race Theory	The MIT Press		MIT Press	10.7551/mitpress/11969.001.0001	Silverchair:5114	978-0-262-36320-4				Book		2021	OA_Gold	Regular	Unique_Title_Requests	1	1	0
Knowledge JusticeDisrupting Library and Information Studies through Critical Race Theory	The MIT Press		MIT Press	10.7551/mitpress/11969.001.0001	Silverchair:5114	978-0-262-36320-4				Book		2021	OA_Gold	Regular	Unique_Title_Investigations	1	1	0
