Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	Silverchair:491
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Access_Method=Regular; Data_Type=Book
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Circuits Signals and Systems	The MIT Press		MIT Press	10.7551/mitpress/1839.001.0001	Silverchair:4260	978-0-262-29096-8				1985	Controlled	Total_Item_Investigations	4	4	0
Circuits Signals and Systems	The MIT Press		MIT Press	10.7551/mitpress/1839.001.0001	Silverchair:4260	978-0-262-29096-8				1985	Controlled	Unique_Item_Investigations	4	4	0
Circuits Signals and Systems	The MIT Press		MIT Press	10.7551/mitpress/1839.001.0001	Silverchair:4260	978-0-262-29096-8				1985	Controlled	Unique_Title_Investigations	3	3	0
Energy at the End of the WorldAn Orkney Islands Saga	The MIT Press		MIT Press	10.7551/mitpress/10910.001.0001	Silverchair:4509	978-0-262-34965-9				2019	Controlled	Unique_Title_Investigations	2	2	0
Energy at the End of the WorldAn Orkney Islands Saga	The MIT Press		MIT Press	10.7551/mitpress/10910.001.0001	Silverchair:4509	978-0-262-34965-9				2019	Controlled	Unique_Item_Investigations	2	2	0
Energy at the End of the WorldAn Orkney Islands Saga	The MIT Press		MIT Press	10.7551/mitpress/10910.001.0001	Silverchair:4509	978-0-262-34965-9				2019	Controlled	Total_Item_Investigations	2	2	0
Knowledge JusticeDisrupting Library and Information Studies through Critical Race Theory	The MIT Press		MIT Press	10.7551/mitpress/11969.001.0001	Silverchair:5114	978-0-262-36320-4				2021	OA_Gold	Unique_Item_Requests	1	1	0
Knowledge JusticeDisrupting Library and Information Studies through Critical Race Theory	The MIT Press		MIT Press	10.7551/mitpress/11969.001.0001	Silverchair:5114	978-0-262-36320-4				2021	OA_Gold	Total_Item_Investigations	2	2	0
Knowledge JusticeDisrupting Library and Information Studies through Critical Race Theory	The MIT Press		MIT Press	10.7551/mitpress/11969.001.0001	Silverchair:5114	978-0-262-36320-4				2021	OA_Gold	Total_Item_Requests	1	1	0
Knowledge JusticeDisrupting Library and Information Studies through Critical Race Theory	The MIT Press		MIT Press	10.7551/mitpress/11969.001.0001	Silverchair:5114	978-0-262-36320-4				2021	OA_Gold	Unique_Title_Requests	1	1	0
Knowledge JusticeDisrupting Library and Information Studies through Critical Race Theory	The MIT Press		MIT Press	10.7551/mitpress/11969.001.0001	Silverchair:5114	978-0-262-36320-4				2021	OA_Gold	Unique_Item_Investigations	1	1	0
Knowledge JusticeDisrupting Library and Information Studies through Critical Race Theory	The MIT Press		MIT Press	10.7551/mitpress/11969.001.0001	Silverchair:5114	978-0-262-36320-4				2021	OA_Gold	Unique_Title_Investigations	1	1	0
